                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
                   0        163        163         13          0          0        326
                   1        163        163         13          0          0        326
                   2        163        163         13          0          0        326
                   3        163        163         13          0          0        326
                   4        163        163         13          0          0        326
                   5        163        163         13          0          0        326
                   6        163        163         13          0          0        326
                   7        163        163         13          0          0        326
                   8        163        163         13          0          0        326
                   9        163        163         13          0          0        326
                  10        163        163         13          0          0        326
                  11        163        163         13          0          0        326
                  12        163        163         13          0          0        326
                  13        163        163         13          0          0        326
                  14        163        163         13          0          0        326
                  15        163        163         13          0          0        326
                  16        163        163         13          0          0        326
                  17        163        163         13          0          0        326
                  18        163        163         13          0          0        326
                  19        163        163         13          0          0        326
                  20        163        163         13          0          0        326
                  21        163        163         13          0          0        326
                  22        163        163         13          0          0        326
                  23        163        163         13          0          0        326
                  24        163        163         13          0          0        326
                  25        163        163         13          0          0        326
                  26        163        163         13          0          0        326
                  27        163        163         13          0          0        326
                  28        163        163         13          0          0        326
                  29        163        163         13          0          0        326
                  30        163        163         13          0          0        326
                  31        163        163         13          0          0        326
                  32        163        163         13          0          0        326
                  33        163        163         13          0          0        326
                  34        163        163         13          0          0        326
                  35        163        163         13          0          0        326
                  36        163        163         13          0          0        326
                  37        163        163         13          0          0        326
                  38        163        163         13          0          0        326
                  39        163        163         13          0          0        326
                  40        162        162         14          0          0        324
                  41        162        162         14          0          0        324
                  42        162        162         14          0          0        324
                  43        162        162         14          0          0        324
                  44        162        162         14          0          0        324
                  45        162        162         14          0          0        324
                  46        162        162         14          0          0        324
                  47        162        162         14          0          0        324
                  48        162        162         14          0          0        324
                  49        162        162         14          0          0        324
                  50        162        162         14          0          0        324
                  51        162        162         14          0          0        324
                  52        162        162         14          0          0        324
                  53        162        162         14          0          0        324
                  54        162        162         14          0          0        324
                  55        162        162         14          0          0        324
                  56        162        162         14          0          0        324
                  57        162        162         14          0          0        324
                  58        162        162         14          0          0        324
                  59        162        162         14          0          0        324
                  60        162        162         14          0          0        324
                  61        162        162         14          0          0        324
                  62        162        162         14          0          0        324
                  63        162        162         14          0          0        324
                  64        162        162         14          0          0        324
                  65        162        162         14          0          0        324
                  66        162        162         14          0          0        324
                  67        162        162         14          0          0        324
                  68        162        162         14          0          0        324
                  69        162        162         14          0          0        324
                  70        162        162         14          0          0        324
                  71        162        162         14          0          0        324
                  72        162        162         14          0          0        324
                  73        162        162         14          0          0        324
                  74        162        162         14          0          0        324
                  75        162        162         14          0          0        324
                  76        162        162         14          0          0        324
                  77        162        162         14          0          0        324
                  78        162        162         14          0          0        324
                  79        162        162         14          0          0        324
                  80        162        162         14          0          0        324
                  81        162        162         14          0          0        324
                  82        162        162         14          0          0        324
                  83        162        162         14          0          0        324
                  84        162        162         14          0          0        324
                  85        162        162         14          0          0        324
                  86        162        162         14          0          0        324
                  87        162        162         14          0          0        324
                  88        162        162         14          0          0        324
                  89        162        162         14          0          0        324
                  90        162        162         14          0          0        324
                  91        162        162         14          0          0        324
                  92        162        162         14          0          0        324
                  93        162        162         14          0          0        324
                  94        162        162         14          0          0        324
                  95        162        162         14          0          0        324
                  96        162        162         14          0          0        324
                  97        162        162         14          0          0        324
                  98        162        162         14          0          0        324
                  99        162        162         14          0          0        324
                 100        162        162         14          0          0        324
                 110        162        162         14          0          0        324
                 120        162        162         14          0          0        324
                 130        162        162         14          0          0        324
                 140        162        162         14          0          0        324
                 150        162        162         14          0          0        324
                 160        162        162         14          0          0        324
                 170        162        162         14          0          0        324
                 180        161        161         15          0          0        322
                 190        161        161         15          0          0        322
                 200        161        161         15          0          0        322
                 210        161        161         15          0          0        322
                 220        161        161         15          0          0        322
                 230        161        161         15          0          0        322
                 240        161        161         15          0          0        322
                 250        161        161         15          0          0        322
                 260        161        161         15          0          0        322
                 270        161        161         15          0          0        322
                 280        161        161         15          0          0        322
                 290        161        161         15          0          0        322
                 300        161        161         15          0          0        322
                 310        161        161         15          0          0        322
                 320        160        160         16          0          0        320
                 330        160        160         16          0          0        320
                 340        160        160         16          0          0        320
                 350        159        159         17          0          0        318
                 360        158        158         18          0          0        316
                 370        158        158         18          0          0        316
                 380        158        158         18          0          0        316
                 390        157        157         19          0          0        314
                 400        157        157         19          0          0        314
                 410        157        157         19          0          0        314
                 420        156        156         20          0          0        312
                 430        156        156         20          0          0        312
                 440        155        155         21          0          0        310
                 450        155        155         21          0          0        310
                 460        155        155         21          0          0        310
                 470        155        155         21          0          0        310
                 480        155        155         21          0          0        310
                 490        155        155         21          0          0        310
                 500        155        155         21          0          0        310
