                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        175        179          1          0          0        354
            100.0000        174        178          2          0          0        352
            200.0000        174        178          2          0          0        352
            300.0000        172        176          4          0          0        348
            400.0000        172        176          4          0          0        348
            500.0000        172        176          4          0          0        348
            600.0000        172        176          4          0          0        348
            700.0000        172        176          4          0          0        348
            800.0000        172        176          4          0          0        348
            900.0000        172        176          4          0          0        348
           1000.0000        172        176          4          0          0        348
           1100.0000        172        176          4          0          0        348
           1200.0000        171        175          5          0          0        346
           1300.0000        171        175          5          0          0        346
           1400.0000        171        175          5          0          0        346
           1500.0000        171        175          5          0          0        346
           1600.0000        171        175          5          0          0        346
           1700.0000        170        174          6          0          0        344
           1800.0000        170        174          6          0          0        344
           1900.0000        170        174          6          0          0        344
           2000.0000        170        174          6          0          0        344
           2100.0000        170        174          6          0          0        344
           2200.0000        169        173          7          0          0        342
           2300.0000        169        173          7          0          0        342
           2400.0000        169        173          7          0          0        342
           2500.0000        169        173          7          0          0        342
           2600.0000        169        173          7          0          0        342
           2700.0000        168        172          8          0          0        340
           2800.0000        168        172          8          0          0        340
           2900.0000        168        172          8          0          0        340
           3000.0000        168        172          8          0          0        340
           3100.0000        167        171          9          0          0        338
           3200.0000        167        171          9          0          0        338
           3300.0000        167        171          9          0          0        338
           3400.0000        167        171          9          0          0        338
           3500.0000        167        171          9          0          0        338
           3600.0000        167        171          9          0          0        338
           3700.0000        167        171          9          0          0        338
           3800.0000        167        171          9          0          0        338
           3900.0000        166        170         10          0          0        336
           4000.0000        166        170         10          0          0        336
           4100.0000        165        169         11          0          0        334
           4200.0000        165        169         11          0          0        334
           4300.0000        165        169         11          0          0        334
           4400.0000        165        169         11          0          0        334
           4500.0000        165        169         11          0          0        334
           4600.0000        165        169         11          0          0        334
           4700.0000        164        168         12          0          0        332
           4800.0000        164        168         12          0          0        332
           4900.0000        164        168         12          0          0        332
           5000.0000        163        167         13          0          0        330
           5100.0000        163        167         13          0          0        330
           5200.0000        163        167         13          0          0        330
           5300.0000        163        167         13          0          0        330
           5400.0000        163        167         13          0          0        330
           5500.0000        163        167         13          0          0        330
           5600.0000        163        167         13          0          0        330
           5700.0000        163        167         13          0          0        330
           5800.0000        162        166         14          0          0        328
           5900.0000        161        165         15          0          0        326
           6000.0000        161        165         15          0          0        326
           6100.0000        161        165         15          0          0        326
           6200.0000        161        165         15          0          0        326
           6300.0000        161        165         15          0          0        326
           6400.0000        161        165         15          0          0        326
           6500.0000        161        165         15          0          0        326
           6600.0000        161        165         15          0          0        326
           6700.0000        161        165         15          0          0        326
           6800.0000        161        165         15          0          0        326
           6900.0000        161        165         15          0          0        326
           7000.0000        160        164         16          0          0        324
           7100.0000        160        164         16          0          0        324
           7200.0000        158        162         18          0          0        320
