                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        174        173          2          0          0        347
            100.0000        174        173          2          0          0        347
            200.0000        174        173          2          0          0        347
            300.0000        174        173          2          0          0        347
            400.0000        174        173          2          0          0        347
            500.0000        174        173          2          0          0        347
            600.0000        173        172          3          0          0        345
            700.0000        173        172          3          0          0        345
            800.0000        172        171          4          0          0        343
            900.0000        172        171          4          0          0        343
           1000.0000        172        171          4          0          0        343
           2000.0000        170        169          6          0          0        339
           3000.0000        168        167          8          0          0        335
           4000.0000        167        166          9          0          0        333
           5000.0000        164        163         12          0          0        327
           6000.0000        164        163         12          0          0        327
           7000.0000        164        163         12          0          0        327
           8000.0000        163        162         13          0          0        325
           9000.0000        162        161         14          0          0        323
          10000.0000        161        160         15          0          0        321
          11000.0000        158        157         18          0          0        315
          12000.0000        158        157         18          0          0        315
          13000.0000        157        156         19          0          0        313
          14000.0000        157        156         19          0          0        313
          15000.0000        156        155         20          0          0        311
          16000.0000        155        154         21          0          0        309
          17000.0000        155        154         21          0          0        309
          18000.0000        155        154         21          0          0        309
          19000.0000        155        154         21          0          0        309
          20000.0000        155        154         21          0          0        309
          21000.0000        155        154         21          0          0        309
          22000.0000        155        154         21          0          0        309
          23000.0000        155        154         21          0          0        309
          24000.0000        154        153         22          0          0        307
          25000.0000        153        152         23          0          0        305
          26000.0000        153        152         23          0          0        305
          27000.0000        153        152         23          0          0        305
          28000.0000        153        152         23          0          0        305
          29000.0000        153        152         23          0          0        305
          30000.0000        153        152         23          0          0        305
          31000.0000        153        152         23          0          0        305
          32000.0000        153        152         23          0          0        305
          33000.0000        153        152         23          0          0        305
          34000.0000        152        151         24          0          0        303
          35000.0000        152        151         24          0          0        303
          36000.0000        152        151         24          0          0        303
          37000.0000        152        151         24          0          0        303
          38000.0000        152        151         24          0          0        303
          39000.0000        152        151         24          0          0        303
          40000.0000        152        151         24          0          0        303
          41000.0000        152        151         24          0          0        303
          42000.0000        152        151         24          0          0        303
          43000.0000        152        151         24          0          0        303
          44000.0000        152        151         24          0          0        303
          45000.0000        151        150         25          0          0        301
          46000.0000        151        150         25          0          0        301
          47000.0000        151        150         25          0          0        301
          48000.0000        151        150         25          0          0        301
          49000.0000        151        150         25          0          0        301
          50000.0000        151        150         25          0          0        301
          51000.0000        151        150         25          0          0        301
          52000.0000        151        150         25          0          0        301
          53000.0000        151        150         25          0          0        301
          54000.0000        151        150         25          0          0        301
          55000.0000        151        150         25          0          0        301
          56000.0000        151        150         25          0          0        301
          57000.0000        150        149         26          0          0        299
          58000.0000        150        149         26          0          0        299
          59000.0000        150        149         26          0          0        299
          60000.0000        150        149         26          0          0        299
          61000.0000        150        149         26          0          0        299
          62000.0000        150        149         26          0          0        299
          63000.0000        150        149         26          0          0        299
          64000.0000        150        149         26          0          0        299
          65000.0000        150        149         26          0          0        299
          66000.0000        150        149         26          0          0        299
          67000.0000        150        149         26          0          0        299
          68000.0000        150        149         26          0          0        299
          69000.0000        150        149         26          0          0        299
          70000.0000        150        149         26          0          0        299
          71000.0000        150        149         26          0          0        299
          72000.0000        150        149         26          0          0        299
          73000.0000        150        149         26          0          0        299
          74000.0000        150        149         26          0          0        299
          75000.0000        150        149         26          0          0        299
          76000.0000        150        149         26          0          0        299
          77000.0000        150        149         26          0          0        299
          78000.0000        149        149         26          0          1        298
          79000.0000        149        149         26          0          1        298
          80000.0000        148        149         26          0          2        297
          81000.0000        148        149         26          0          2        297
          82000.0000        148        149         26          0          2        297
          83000.0000        148        149         26          0          2        297
          84000.0000        148        149         26          0          2        297
          85000.0000        148        149         26          0          2        297
          86000.0000        148        149         26          0          2        297
          87000.0000        148        149         26          0          2        297
          88000.0000        148        149         26          0          2        297
          89000.0000        148        149         26          0          2        297
          90000.0000        148        149         26          0          2        297
          91000.0000        148        149         26          0          2        297
          92000.0000        148        149         26          0          2        297
          93000.0000        148        149         26          0          2        297
          94000.0000        148        149         26          0          2        297
          95000.0000        147        149         26          0          3        296
          96000.0000        147        149         26          0          3        296
          97000.0000        147        149         26          0          3        296
          98000.0000        147        149         26          0          3        296
          99000.0000        147        149         26          0          3        296
         100000.0000        146        149         26          0          4        295
         101000.0000        146        149         26          0          4        295
         102000.0000        145        149         26          0          5        294
         103000.0000        145        149         26          0          5        294
         104000.0000        145        149         26          0          5        294
         105000.0000        145        149         26          0          5        294
         106000.0000        145        149         26          0          5        294
         107000.0000        145        149         26          0          5        294
         108000.0000        145        149         26          0          5        294
         109000.0000        145        149         26          0          5        294
         110000.0000        145        149         26          0          5        294
         111000.0000        145        149         26          0          5        294
         112000.0000        145        149         26          0          5        294
         113000.0000        145        149         26          0          5        294
         114000.0000        145        149         26          0          5        294
         115000.0000        145        149         26          0          5        294
         116000.0000        145        149         26          0          5        294
         117000.0000        145        149         26          0          5        294
         118000.0000        145        149         26          0          5        294
         119000.0000        145        149         26          0          5        294
         120000.0000        145        149         26          0          5        294
         121000.0000        145        149         26          0          5        294
         122000.0000        145        149         26          0          5        294
         123000.0000        145        149         26          0          5        294
         124000.0000        145        149         26          0          5        294
         125000.0000        145        149         26          0          5        294
         126000.0000        145        149         26          0          5        294
         127000.0000        145        149         26          0          5        294
         128000.0000        145        149         26          0          5        294
         129000.0000        145        149         26          0          5        294
         130000.0000        145        149         26          0          5        294
         131000.0000        145        149         26          0          5        294
         132000.0000        145        149         26          0          5        294
         133000.0000        145        149         26          0          5        294
         134000.0000        145        149         26          0          5        294
         135000.0000        145        149         26          0          5        294
         136000.0000        145        149         26          0          5        294
         137000.0000        145        149         26          0          5        294
         138000.0000        145        149         26          0          5        294
         139000.0000        145        149         26          0          5        294
         140000.0000        145        149         26          0          5        294
         141000.0000        145        149         26          0          5        294
         142000.0000        144        149         26          0          6        293
         143000.0000        144        149         26          0          6        293
         144000.0000        144        149         26          0          6        293
         145000.0000        144        149         26          0          6        293
         146000.0000        144        149         26          0          6        293
         147000.0000        144        149         26          0          6        293
         148000.0000        142        149         26          0          8        291
         149000.0000        142        149         26          0          8        291
         150000.0000        142        149         26          0          8        291
         151000.0000        142        149         26          0          8        291
         152000.0000        142        149         26          0          8        291
         153000.0000        142        149         26          0          8        291
         154000.0000        142        149         26          0          8        291
         155000.0000        141        149         26          0          9        290
         156000.0000        141        149         26          0          9        290
         157000.0000        141        149         26          0          9        290
         158000.0000        141        149         26          0          9        290
         159000.0000        141        149         26          0          9        290
         160000.0000        141        149         26          0          9        290
         161000.0000        141        149         26          0          9        290
         162000.0000        141        149         26          0          9        290
         163000.0000        140        149         26          0         10        289
         164000.0000        140        149         26          0         10        289
         165000.0000        140        149         26          0         10        289
         166000.0000        140        149         26          0         10        289
         167000.0000        140        149         26          0         10        289
         168000.0000        140        149         26          0         10        289
         169000.0000        140        149         26          0         10        289
         170000.0000        140        149         26          0         10        289
         171000.0000        140        149         26          0         10        289
         172000.0000        140        149         26          0         10        289
         173000.0000        140        149         26          0         10        289
         174000.0000        140        149         26          0         10        289
         175000.0000        140        149         26          0         10        289
         176000.0000        139        149         26          0         11        288
         177000.0000        139        149         26          0         11        288
         178000.0000        139        149         26          0         11        288
         179000.0000        139        149         26          0         11        288
         180000.0000        139        149         26          0         11        288
         181000.0000        139        149         26          0         11        288
         182000.0000        139        149         26          0         11        288
         183000.0000        139        149         26          0         11        288
         184000.0000        139        149         26          0         11        288
         185000.0000        139        149         26          0         11        288
         186000.0000        139        149         26          0         11        288
         187000.0000        139        149         26          0         11        288
         188000.0000        138        149         26          0         12        287
         189000.0000        138        149         26          0         12        287
         190000.0000        138        149         26          0         12        287
         191000.0000        138        149         26          0         12        287
         192000.0000        138        149         26          0         12        287
         193000.0000        138        149         26          0         12        287
         194000.0000        138        149         26          0         12        287
         195000.0000        138        149         26          0         12        287
         196000.0000        138        149         26          0         12        287
         197000.0000        138        149         26          0         12        287
         198000.0000        138        149         26          0         12        287
         199000.0000        138        149         26          0         12        287
         200000.0000        138        149         26          0         12        287
         201000.0000        138        149         26          0         12        287
         202000.0000        138        149         26          0         12        287
         203000.0000        138        149         26          0         12        287
         204000.0000        138        149         26          0         12        287
         205000.0000        138        149         26          0         12        287
         206000.0000        138        149         26          0         12        287
         207000.0000        138        149         26          0         12        287
         208000.0000        138        149         26          0         12        287
         209000.0000        138        149         26          0         12        287
         210000.0000        138        149         26          0         12        287
         211000.0000        138        149         26          0         12        287
         212000.0000        138        149         26          0         12        287
         213000.0000        138        149         26          0         12        287
         214000.0000        138        149         26          0         12        287
         215000.0000        138        149         26          0         12        287
         216000.0000        138        149         26          0         12        287
         217000.0000        138        149         26          0         12        287
         218000.0000        138        149         26          0         12        287
         219000.0000        138        149         26          0         12        287
         220000.0000        138        149         26          0         12        287
         221000.0000        138        149         26          0         12        287
         222000.0000        138        149         26          0         12        287
         223000.0000        138        149         26          0         12        287
         224000.0000        138        149         26          0         12        287
         225000.0000        138        149         26          0         12        287
         226000.0000        138        149         26          0         12        287
         227000.0000        138        149         26          0         12        287
         228000.0000        138        149         26          0         12        287
         229000.0000        138        149         26          0         12        287
         230000.0000        138        149         26          0         12        287
         231000.0000        138        149         26          0         12        287
         232000.0000        138        149         26          0         12        287
         233000.0000        138        149         26          0         12        287
         234000.0000        138        149         26          0         12        287
         235000.0000        138        149         26          0         12        287
         236000.0000        138        149         26          0         12        287
         237000.0000        138        149         26          0         12        287
         238000.0000        137        149         26          0         13        286
         239000.0000        137        149         26          0         13        286
         240000.0000        137        149         26          0         13        286
         241000.0000        137        149         26          0         13        286
         242000.0000        137        149         26          0         13        286
         243000.0000        137        149         26          0         13        286
         244000.0000        137        149         26          0         13        286
         245000.0000        137        149         26          0         13        286
         246000.0000        137        149         26          0         13        286
         247000.0000        137        149         26          0         13        286
         248000.0000        137        149         26          0         13        286
         249000.0000        137        149         26          0         13        286
         250000.0000        137        149         26          0         13        286
         251000.0000        137        149         26          0         13        286
         252000.0000        137        149         26          0         13        286
         253000.0000        137        149         26          0         13        286
         254000.0000        137        149         26          0         13        286
         255000.0000        137        149         26          0         13        286
         256000.0000        137        149         26          0         13        286
         257000.0000        137        149         26          0         13        286
         258000.0000        137        149         26          0         13        286
         259000.0000        137        149         26          0         13        286
         260000.0000        137        149         26          0         13        286
         261000.0000        137        149         26          0         13        286
         262000.0000        137        149         26          0         13        286
         263000.0000        137        149         26          0         13        286
         264000.0000        137        149         26          0         13        286
         265000.0000        135        149         26          0         15        284
         266000.0000        135        149         26          0         15        284
         267000.0000        135        149         26          0         15        284
         268000.0000        135        149         26          0         15        284
         269000.0000        135        149         26          0         15        284
         270000.0000        135        149         26          0         15        284
         271000.0000        135        149         26          0         15        284
         272000.0000        135        149         26          0         15        284
         273000.0000        135        149         26          0         15        284
         274000.0000        135        149         26          0         15        284
         275000.0000        135        149         26          0         15        284
         276000.0000        135        149         26          0         15        284
         277000.0000        135        149         26          0         15        284
         278000.0000        135        149         26          0         15        284
         279000.0000        134        149         26          0         16        283
         280000.0000        134        149         26          0         16        283
         281000.0000        134        149         26          0         16        283
         282000.0000        134        149         26          0         16        283
         283000.0000        134        149         26          0         16        283
         284000.0000        134        149         26          0         16        283
         285000.0000        134        149         26          0         16        283
         286000.0000        134        149         26          0         16        283
         287000.0000        134        149         26          0         16        283
         288000.0000        134        149         26          0         16        283
         289000.0000        134        149         26          0         16        283
         290000.0000        134        149         26          0         16        283
         291000.0000        134        149         26          0         16        283
         292000.0000        134        149         26          0         16        283
         293000.0000        134        149         26          0         16        283
         294000.0000        134        149         26          0         16        283
         295000.0000        134        149         26          0         16        283
         296000.0000        134        149         26          0         16        283
         297000.0000        134        149         26          0         16        283
         298000.0000        133        149         26          0         17        282
         299000.0000        133        149         26          0         17        282
         300000.0000        133        149         26          0         17        282
         301000.0000        133        149         26          0         17        282
         302000.0000        133        149         26          0         17        282
         303000.0000        133        149         26          0         17        282
         304000.0000        133        149         26          0         17        282
         305000.0000        133        149         26          0         17        282
         306000.0000        133        149         26          0         17        282
         307000.0000        133        149         26          0         17        282
         308000.0000        133        149         26          0         17        282
         309000.0000        133        149         26          0         17        282
         310000.0000        133        149         26          0         17        282
         311000.0000        133        149         26          0         17        282
         312000.0000        133        149         26          0         17        282
         313000.0000        133        149         26          0         17        282
         314000.0000        133        149         26          0         17        282
         315000.0000        133        149         26          0         17        282
         316000.0000        133        149         26          0         17        282
         317000.0000        133        149         26          0         17        282
         318000.0000        133        149         26          0         17        282
         319000.0000        133        149         26          0         17        282
         320000.0000        133        149         26          0         17        282
         321000.0000        133        149         26          0         17        282
         322000.0000        133        149         26          0         17        282
         323000.0000        133        149         26          0         17        282
         324000.0000        133        149         26          0         17        282
         325000.0000        133        149         26          0         17        282
         326000.0000        133        149         26          0         17        282
         327000.0000        133        149         26          0         17        282
         328000.0000        133        149         26          0         17        282
         329000.0000        133        149         26          0         17        282
         330000.0000        133        149         26          0         17        282
         331000.0000        133        149         26          0         17        282
         332000.0000        133        149         26          0         17        282
         333000.0000        133        149         26          0         17        282
         334000.0000        133        149         26          0         17        282
         335000.0000        133        149         26          0         17        282
         336000.0000        133        149         26          0         17        282
         337000.0000        133        149         26          0         17        282
         338000.0000        132        149         26          0         18        281
         339000.0000        132        149         26          0         18        281
         340000.0000        132        149         26          0         18        281
         341000.0000        132        149         26          0         18        281
         342000.0000        132        149         26          0         18        281
         343000.0000        132        149         26          0         18        281
         344000.0000        132        149         26          0         18        281
         345000.0000        132        149         26          0         18        281
         346000.0000        132        149         26          0         18        281
         347000.0000        132        149         26          0         18        281
         348000.0000        132        149         26          0         18        281
         349000.0000        132        149         26          0         18        281
         350000.0000        130        149         26          0         20        279
         351000.0000        130        149         26          0         20        279
         352000.0000        130        149         26          0         20        279
         353000.0000        130        149         26          0         20        279
         354000.0000        130        149         26          0         20        279
         355000.0000        130        149         26          0         20        279
         356000.0000        129        149         26          0         21        278
         357000.0000        129        149         26          0         21        278
         358000.0000        129        149         26          0         21        278
         359000.0000        129        149         26          0         21        278
         360000.0000        129        149         26          0         21        278
         361000.0000        129        149         26          0         21        278
         362000.0000        129        149         26          0         21        278
         363000.0000        129        149         26          0         21        278
         364000.0000        129        149         26          0         21        278
         365000.0000        129        149         26          0         21        278
         366000.0000        129        149         26          0         21        278
         367000.0000        128        149         26          0         22        277
         368000.0000        128        149         26          0         22        277
         369000.0000        128        149         26          0         22        277
         370000.0000        128        149         26          0         22        277
         371000.0000        128        149         26          0         22        277
         372000.0000        128        149         26          0         22        277
