                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        172        175          4          0          0        347
            100.0000        169        172          7          0          0        341
            200.0000        168        171          8          0          0        339
            300.0000        168        171          8          0          0        339
            400.0000        166        169         10          0          0        335
            500.0000        165        168         11          0          0        333
            600.0000        165        168         11          0          0        333
            700.0000        165        168         11          0          0        333
            800.0000        164        167         12          0          0        331
            900.0000        164        167         12          0          0        331
           1000.0000        163        166         13          0          0        329
           2000.0000        155        158         21          0          0        313
           3000.0000        151        154         25          0          0        305
           4000.0000        146        149         30          0          0        295
           5000.0000        141        145         34          0          1        286
           6000.0000        135        139         40          0          1        274
           7000.0000        134        138         41          0          1        272
           8000.0000        127        131         48          0          1        258
           9000.0000        123        127         52          0          1        250
          10000.0000        122        126         53          0          1        248
          11000.0000        120        124         55          0          1        244
          12000.0000        118        122         57          0          1        240
          13000.0000        118        122         57          0          1        240
          14000.0000        116        120         59          0          1        236
          15000.0000        114        118         61          0          1        232
          16000.0000        113        117         62          0          1        230
          17000.0000        111        115         64          0          1        226
          18000.0000        109        113         66          0          1        222
          19000.0000        107        111         68          0          1        218
          20000.0000        106        110         69          0          1        216
          21000.0000        104        108         71          0          1        212
          22000.0000        104        108         71          0          1        212
          23000.0000        103        107         72          0          1        210
          24000.0000        102        106         73          0          1        208
          25000.0000        102        106         73          0          1        208
          26000.0000        102        106         73          0          1        208
          27000.0000        102        106         73          0          1        208
          28000.0000        102        106         73          0          1        208
          29000.0000        102        106         73          0          1        208
          30000.0000        102        106         73          0          1        208
          31000.0000        101        105         74          0          1        206
          32000.0000        101        105         74          0          1        206
          33000.0000        100        104         75          0          1        204
          34000.0000        100        104         75          0          1        204
          35000.0000        100        104         75          0          1        204
          36000.0000        100        104         75          0          1        204
          37000.0000        100        104         75          0          1        204
          38000.0000        100        104         75          0          1        204
          39000.0000         99        103         76          0          1        202
          40000.0000         99        103         76          0          1        202
          41000.0000         97        101         78          0          1        198
          42000.0000         96        100         79          0          1        196
          43000.0000         96        100         79          0          1        196
          44000.0000         96        100         79          0          1        196
          45000.0000         95         99         80          0          1        194
          46000.0000         93         97         82          0          1        190
          47000.0000         92         96         83          0          1        188
          48000.0000         90         94         85          0          1        184
          49000.0000         90         94         85          0          1        184
          50000.0000         89         93         86          0          1        182
          51000.0000         89         93         86          0          1        182
          52000.0000         89         93         86          0          1        182
          53000.0000         89         93         86          0          1        182
          54000.0000         88         92         87          0          1        180
          55000.0000         87         92         87          0          2        179
          56000.0000         86         91         88          0          2        177
          57000.0000         86         91         88          0          2        177
          58000.0000         86         91         88          0          2        177
          59000.0000         86         91         88          0          2        177
          60000.0000         86         91         88          0          2        177
          61000.0000         86         91         88          0          2        177
          62000.0000         86         91         88          0          2        177
          63000.0000         86         91         88          0          2        177
          64000.0000         86         91         88          0          2        177
          65000.0000         86         91         88          0          2        177
          66000.0000         86         91         88          0          2        177
          67000.0000         86         91         88          0          2        177
          68000.0000         86         91         88          0          2        177
          69000.0000         86         91         88          0          2        177
          70000.0000         86         91         88          0          2        177
          71000.0000         86         91         88          0          2        177
          72000.0000         86         91         88          0          2        177
          73000.0000         85         91         88          0          3        176
          74000.0000         85         91         88          0          3        176
          75000.0000         85         91         88          0          3        176
          76000.0000         84         90         89          0          3        174
          77000.0000         83         89         90          0          3        172
          78000.0000         83         89         90          0          3        172
          79000.0000         83         89         90          0          3        172
          80000.0000         83         89         90          0          3        172
          81000.0000         83         89         90          0          3        172
          82000.0000         83         89         90          0          3        172
          83000.0000         83         89         90          0          3        172
          84000.0000         82         88         91          0          3        170
          85000.0000         82         88         91          0          3        170
          86000.0000         82         88         91          0          3        170
          87000.0000         82         88         91          0          3        170
          88000.0000         82         88         91          0          3        170
          89000.0000         82         88         91          0          3        170
          90000.0000         82         88         91          0          3        170
          91000.0000         82         88         91          0          3        170
          92000.0000         81         87         92          0          3        168
          93000.0000         81         87         92          0          3        168
          94000.0000         81         87         92          0          3        168
          95000.0000         81         87         92          0          3        168
          96000.0000         81         87         92          0          3        168
          97000.0000         80         86         93          0          3        166
          98000.0000         80         86         93          0          3        166
          99000.0000         80         86         93          0          3        166
         100000.0000         80         86         93          0          3        166
         101000.0000         80         86         93          0          3        166
         102000.0000         80         86         93          0          3        166
         103000.0000         80         86         93          0          3        166
         104000.0000         80         86         93          0          3        166
         105000.0000         79         86         93          0          4        165
         106000.0000         78         85         94          0          4        163
         107000.0000         78         85         94          0          4        163
         108000.0000         78         85         94          0          4        163
         109000.0000         77         84         95          0          4        161
         110000.0000         77         84         95          0          4        161
         111000.0000         77         84         95          0          4        161
         112000.0000         77         84         95          0          4        161
