Time	Interstls	Vacancies	Recmbtns	VcncySfc	IntlnSfc	defects
0	175	175	1	0	0	350
100	175	175	1	0	0	350
200	172	172	4	0	0	344
300	171	171	5	0	0	342
400	168	168	8	0	0	336
500	168	168	8	0	0	336
600	168	168	8	0	0	336
700	168	168	8	0	0	336
800	168	168	8	0	0	336
900	166	166	10	0	0	332
1000	166	166	10	0	0	332
2000	161	161	15	0	0	322
3000	158	158	18	0	0	316
4000	158	158	18	0	0	316
5000	158	158	18	0	0	316
6000	158	158	18	0	0	316
7000	158	158	18	0	0	316
8000	158	158	18	0	0	316
9000	158	158	18	0	0	316
10000	158	158	18	0	0	316
11000	158	158	18	0	0	316
12000	158	158	18	0	0	316
13000	157	157	19	0	0	314
14000	156	156	20	0	0	312
15000	156	156	20	0	0	312
16000	156	156	20	0	0	312
17000	156	156	20	0	0	312
18000	156	156	20	0	0	312
19000	156	156	20	0	0	312
20000	154	154	22	0	0	308
21000	150	150	26	0	0	300
22000	149	149	27	0	0	298
23000	144	144	32	0	0	288
24000	144	144	32	0	0	288
25000	140	140	36	0	0	280
26000	140	140	36	0	0	280
27000	138	138	38	0	0	276
28000	138	138	38	0	0	276
29000	134	134	42	0	0	268
30000	132	132	44	0	0	264
31000	132	132	44	0	0	264
32000	132	132	44	0	0	264
33000	131	131	45	0	0	262
34000	129	129	47	0	0	258
35000	127	127	49	0	0	254
36000	125	125	51	0	0	250
37000	123	123	53	0	0	246
38000	123	123	53	0	0	246
39000	122	122	54	0	0	244
40000	119	119	57	0	0	238
41000	119	119	57	0	0	238
42000	119	119	57	0	0	238
43000	119	119	57	0	0	238
44000	115	115	61	0	0	230
45000	113	113	63	0	0	226
46000	113	113	63	0	0	226
47000	113	113	63	0	0	226
48000	113	113	63	0	0	226
49000	112	112	64	0	0	224
50000	112	112	64	0	0	224
51000	112	110	64	2	0	222
52000	109	107	67	2	0	216
53000	109	107	67	2	0	216
54000	109	107	67	2	0	216
55000	108	106	68	2	0	214
56000	108	106	68	2	0	214
57000	108	106	68	2	0	214
58000	107	105	69	2	0	212
59000	106	104	70	2	0	210
60000	106	104	70	2	0	210
61000	105	94	71	11	0	199
62000	105	88	71	17	0	193
63000	105	88	71	17	0	193
64000	104	84	72	20	0	188
65000	104	84	72	20	0	188
66000	103	81	73	22	0	184
67000	103	81	73	22	0	184
68000	102	80	74	22	0	182
69000	102	80	74	22	0	182
70000	102	80	74	22	0	182
71000	102	80	74	22	0	182
72000	101	78	75	23	0	179
73000	99	74	77	25	0	173
74000	99	74	77	25	0	173
75000	98	73	78	25	0	171
76000	97	72	79	25	0	169
77000	97	72	79	25	0	169
78000	97	72	79	25	0	169
79000	97	72	79	25	0	169
80000	96	71	80	25	0	167
81000	95	70	81	25	0	165
82000	94	69	82	25	0	163
83000	94	69	82	25	0	163
84000	92	67	84	25	0	159
85000	92	67	84	25	0	159
86000	91	66	85	25	0	157
87000	91	66	85	25	0	157
88000	90	65	86	25	0	155
89000	89	64	87	25	0	153
90000	89	64	87	25	0	153
91000	89	64	87	25	0	153
92000	89	64	87	25	0	153
93000	88	63	88	25	0	151
94000	88	63	88	25	0	151
95000	88	63	88	25	0	151
96000	87	62	89	25	0	149
97000	87	62	89	25	0	149
98000	87	62	89	25	0	149
99000	87	62	89	25	0	149
100000	86	61	90	25	0	147
101000	86	61	90	25	0	147
102000	86	61	90	25	0	147
103000	86	61	90	25	0	147
