                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        174        174          2          0          0        348
            100.0000        172        172          4          0          0        344
            200.0000        171        171          5          0          0        342
            300.0000        170        170          6          0          0        340
            400.0000        170        170          6          0          0        340
            500.0000        168        168          8          0          0        336
            600.0000        167        167          9          0          0        334
            700.0000        166        166         10          0          0        332
            800.0000        165        165         11          0          0        330
            900.0000        165        165         11          0          0        330
           1000.0000        165        165         11          0          0        330
           2000.0000        159        159         17          0          0        318
           3000.0000        157        157         19          0          0        314
           4000.0000        155        155         21          0          0        310
           5000.0000        151        151         25          0          0        302
           6000.0000        151        151         25          0          0        302
           7000.0000        149        149         27          0          0        298
           8000.0000        148        148         28          0          0        296
           9000.0000        148        148         28          0          0        296
          10000.0000        148        148         28          0          0        296
          11000.0000        148        148         28          0          0        296
          12000.0000        146        146         30          0          0        292
          13000.0000        144        144         32          0          0        288
          14000.0000        142        142         34          0          0        284
          15000.0000        142        142         34          0          0        284
          16000.0000        142        142         34          0          0        284
          17000.0000        142        142         34          0          0        284
          18000.0000        140        140         36          0          0        280
          19000.0000        138        138         38          0          0        276
          20000.0000        138        138         38          0          0        276
          21000.0000        138        138         38          0          0        276
          22000.0000        137        137         39          0          0        274
          23000.0000        137        137         39          0          0        274
          24000.0000        136        136         40          0          0        272
          25000.0000        136        136         40          0          0        272
          26000.0000        136        136         40          0          0        272
          27000.0000        136        136         40          0          0        272
          28000.0000        135        135         41          0          0        270
          29000.0000        133        133         43          0          0        266
          30000.0000        133        133         43          0          0        266
          31000.0000        133        133         43          0          0        266
          32000.0000        132        132         44          0          0        264
          33000.0000        132        132         44          0          0        264
          34000.0000        132        132         44          0          0        264
          35000.0000        132        132         44          0          0        264
          36000.0000        132        132         44          0          0        264
          37000.0000        132        132         44          0          0        264
          38000.0000        132        132         44          0          0        264
          39000.0000        132        132         44          0          0        264
          40000.0000        132        132         44          0          0        264
          41000.0000        132        132         44          0          0        264
          42000.0000        132        132         44          0          0        264
          43000.0000        132        132         44          0          0        264
          44000.0000        132        132         44          0          0        264
          45000.0000        132        132         44          0          0        264
          46000.0000        131        131         45          0          0        262
          47000.0000        131        131         45          0          0        262
          48000.0000        130        130         46          0          0        260
          49000.0000        130        130         46          0          0        260
          50000.0000        129        129         47          0          0        258
          51000.0000        129        129         47          0          0        258
          52000.0000        129        129         47          0          0        258
          53000.0000        129        129         47          0          0        258
          54000.0000        129        129         47          0          0        258
          55000.0000        129        129         47          0          0        258
          56000.0000        129        129         47          0          0        258
          57000.0000        129        129         47          0          0        258
          58000.0000        129        129         47          0          0        258
          59000.0000        129        129         47          0          0        258
          60000.0000        129        129         47          0          0        258
          61000.0000        129        129         47          0          0        258
          62000.0000        129        129         47          0          0        258
          63000.0000        129        129         47          0          0        258
          64000.0000        129        129         47          0          0        258
          65000.0000        129        129         47          0          0        258
          66000.0000        129        129         47          0          0        258
          67000.0000        129        129         47          0          0        258
          68000.0000        129        129         47          0          0        258
          69000.0000        128        128         48          0          0        256
          70000.0000        128        128         48          0          0        256
          71000.0000        128        128         48          0          0        256
          72000.0000        128        128         48          0          0        256
          73000.0000        128        128         48          0          0        256
          74000.0000        128        128         48          0          0        256
          75000.0000        128        128         48          0          0        256
          76000.0000        127        127         49          0          0        254
          77000.0000        126        126         50          0          0        252
          78000.0000        125        125         51          0          0        250
          79000.0000        125        125         51          0          0        250
          80000.0000        125        125         51          0          0        250
          81000.0000        124        124         52          0          0        248
          82000.0000        124        124         52          0          0        248
          83000.0000        124        124         52          0          0        248
          84000.0000        124        124         52          0          0        248
          85000.0000        123        123         53          0          0        246
          86000.0000        123        123         53          0          0        246
          87000.0000        123        123         53          0          0        246
          88000.0000        123        123         53          0          0        246
          89000.0000        123        123         53          0          0        246
          90000.0000        123        123         53          0          0        246
          91000.0000        123        123         53          0          0        246
          92000.0000        123        123         53          0          0        246
          93000.0000        123        123         53          0          0        246
          94000.0000        123        123         53          0          0        246
          95000.0000        123        123         53          0          0        246
          96000.0000        123        123         53          0          0        246
          97000.0000        123        123         53          0          0        246
          98000.0000        123        123         53          0          0        246
          99000.0000        123        123         53          0          0        246
         100000.0000        123        123         53          0          0        246
         101000.0000        123        123         53          0          0        246
         102000.0000        123        123         53          0          0        246
         103000.0000        123        123         53          0          0        246
         104000.0000        123        123         53          0          0        246
         105000.0000        122        122         54          0          0        244
         106000.0000        122        122         54          0          0        244
         107000.0000        121        121         55          0          0        242
         108000.0000        120        120         56          0          0        240
         109000.0000        120        120         56          0          0        240
         110000.0000        120        120         56          0          0        240
         111000.0000        119        119         57          0          0        238
         112000.0000        119        119         57          0          0        238
         113000.0000        119        119         57          0          0        238
         114000.0000        118        118         58          0          0        236
         115000.0000        118        118         58          0          0        236
         116000.0000        118        118         58          0          0        236
         117000.0000        117        117         59          0          0        234
         118000.0000        116        116         60          0          0        232
         119000.0000        116        116         60          0          0        232
         120000.0000        115        115         61          0          0        230
         121000.0000        115        115         61          0          0        230
         122000.0000        115        115         61          0          0        230
         123000.0000        115        115         61          0          0        230
         124000.0000        115        115         61          0          0        230
         125000.0000        115        115         61          0          0        230
         126000.0000        115        115         61          0          0        230
         127000.0000        115        115         61          0          0        230
         128000.0000        115        115         61          0          0        230
         129000.0000        115        115         61          0          0        230
         130000.0000        115        115         61          0          0        230
         131000.0000        115        115         61          0          0        230
         132000.0000        115        115         61          0          0        230
         133000.0000        115        115         61          0          0        230
         134000.0000        115        115         61          0          0        230
         135000.0000        115        115         61          0          0        230
         136000.0000        114        114         62          0          0        228
         137000.0000        114        114         62          0          0        228
         138000.0000        114        114         62          0          0        228
         139000.0000        114        114         62          0          0        228
         140000.0000        114        114         62          0          0        228
         141000.0000        113        113         63          0          0        226
         142000.0000        113        113         63          0          0        226
         143000.0000        113        113         63          0          0        226
         144000.0000        113        113         63          0          0        226
         145000.0000        113        113         63          0          0        226
         146000.0000        113        113         63          0          0        226
         147000.0000        113        113         63          0          0        226
         148000.0000        113        113         63          0          0        226
         149000.0000        113        113         63          0          0        226
         150000.0000        113        113         63          0          0        226
         151000.0000        113        113         63          0          0        226
         152000.0000        113        113         63          0          0        226
         153000.0000        113        113         63          0          0        226
         154000.0000        113        113         63          0          0        226
         155000.0000        113        113         63          0          0        226
         156000.0000        113        113         63          0          0        226
         157000.0000        112        112         64          0          0        224
         158000.0000        111        111         65          0          0        222
         159000.0000        111        111         65          0          0        222
         160000.0000        111        111         65          0          0        222
         161000.0000        110        110         66          0          0        220
         162000.0000        109        109         67          0          0        218
         163000.0000        108        108         68          0          0        216
         164000.0000        107        107         69          0          0        214
         165000.0000        106        106         70          0          0        212
         166000.0000        106        106         70          0          0        212
         167000.0000        105        105         71          0          0        210
         168000.0000        105        105         71          0          0        210
         169000.0000        105        105         71          0          0        210
         170000.0000        104        104         72          0          0        208
         171000.0000        104        104         72          0          0        208
         172000.0000        104        104         72          0          0        208
         173000.0000        104        104         72          0          0        208
         174000.0000        103        103         73          0          0        206
         175000.0000        103        103         73          0          0        206
         176000.0000        103        103         73          0          0        206
