                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        152        152         24          0          0        304
            100.0000        151        151         25          0          0        302
            200.0000        148        148         28          0          0        296
            300.0000        144        144         32          0          0        288
            400.0000        142        142         34          0          0        284
            500.0000        141        141         35          0          0        282
            600.0000        136        136         40          0          0        272
            700.0000        134        134         42          0          0        268
            800.0000        128        128         48          0          0        256
            900.0000        128        128         48          0          0        256
           1000.0000        126        126         50          0          0        252
           2000.0000        115        115         61          0          0        230
           3000.0000        104        104         72          0          0        208
           4000.0000         97         97         79          0          0        194
           5000.0000         92         92         84          0          0        184
           6000.0000         88         88         88          0          0        176
           7000.0000         87         87         89          0          0        174
           8000.0000         85         84         91          1          0        169
           9000.0000         84         83         92          1          0        167
          10000.0000         83         82         93          1          0        165
          11000.0000         80         79         96          1          0        159
          12000.0000         78         76         98          2          0        154
          13000.0000         76         74        100          2          0        150
          14000.0000         75         73        101          2          0        148
          15000.0000         74         72        102          2          0        146
          16000.0000         72         68        104          4          0        140
          17000.0000         72         68        104          4          0        140
          18000.0000         71         67        105          4          0        138
          19000.0000         70         66        106          4          0        136
          20000.0000         70         66        106          4          0        136
          21000.0000         68         64        108          4          0        132
          22000.0000         68         64        108          4          0        132
          23000.0000         67         63        109          4          0        130
          24000.0000         67         63        109          4          0        130
          25000.0000         66         61        110          5          0        127
          26000.0000         66         61        110          5          0        127
          27000.0000         66         61        110          5          0        127
          28000.0000         66         61        110          5          0        127
          29000.0000         65         60        111          5          0        125
          30000.0000         65         60        111          5          0        125
          31000.0000         65         60        111          5          0        125
          32000.0000         65         60        111          5          0        125
          33000.0000         65         60        111          5          0        125
          34000.0000         65         60        111          5          0        125
          35000.0000         65         60        111          5          0        125
          36000.0000         64         59        112          5          0        123
          37000.0000         64         59        112          5          0        123
          38000.0000         64         59        112          5          0        123
          39000.0000         63         57        113          6          0        120
          40000.0000         63         57        113          6          0        120
          41000.0000         63         57        113          6          0        120
          42000.0000         62         56        114          6          0        118
          43000.0000         62         56        114          6          0        118
          44000.0000         62         56        114          6          0        118
          45000.0000         62         56        114          6          0        118
          46000.0000         62         56        114          6          0        118
          47000.0000         62         56        114          6          0        118
