                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        173        178          3          0          0        351
            100.0000        172        177          4          0          0        349
            200.0000        172        178          4          0          0        350
            300.0000        172        178          4          0          0        350
            400.0000        171        177          5          0          0        348
            500.0000        169        175          7          0          0        344
            600.0000        169        175          7          0          0        344
            700.0000        169        175          7          0          0        344
            800.0000        168        175          8          0          0        343
            900.0000        168        175          8          0          0        343
           1000.0000        168        175          8          0          0        343
           2000.0000        160        173         16          0          0        333
           3000.0000        158        176         18          0          0        334
           4000.0000        152        173         24          0          0        325
           5000.0000        151        177         25          0          0        328
           6000.0000        148        174         28          0          0        322
           7000.0000        144        175         32          0          0        319
           8000.0000        143        175         33          0          0        318
           9000.0000        139        173         37          0          0        312
          10000.0000        137        172         39          0          0        309
          11000.0000        134        171         42          0          0        305
          12000.0000        134        171         42          0          0        305
          13000.0000        134        172         42          0          0        306
          14000.0000        132        173         44          0          0        305
          15000.0000        130        174         46          0          0        304
          16000.0000        124        170         52          0          0        294
          17000.0000        124        170         52          0          0        294
          18000.0000        122        168         54          0          0        290
          19000.0000        121        167         55          0          0        288
          20000.0000        118        165         58          0          0        283
          21000.0000        117        164         59          0          0        281
          22000.0000        117        164         59          0          0        281
          23000.0000        117        164         59          0          0        281
          24000.0000        117        164         59          0          0        281
          25000.0000        117        164         59          0          0        281
          26000.0000        117        164         59          0          0        281
          27000.0000        117        164         59          0          0        281
          28000.0000        115        165         61          0          0        280
          29000.0000        113        164         63          0          0        277
          30000.0000        113        164         63          0          0        277
          31000.0000        113        164         63          0          0        277
          32000.0000        113        164         63          0          0        277
          33000.0000        112        163         64          0          0        275
          34000.0000        112        163         64          0          0        275
          35000.0000        112        163         64          0          0        275
          36000.0000        112        163         64          0          0        275
          37000.0000        112        163         64          0          0        275
          38000.0000        112        163         64          0          0        275
          39000.0000        110        162         66          0          0        272
          40000.0000        109        162         67          0          0        271
          41000.0000        109        163         67          0          0        272
          42000.0000        109        163         67          0          0        272
          43000.0000        108        162         68          0          0        270
          44000.0000        107        161         69          0          0        268
          45000.0000        105        160         71          0          0        265
          46000.0000        105        160         71          0          0        265
          47000.0000        105        160         71          0          0        265
          48000.0000        104        160         71          0          1        264
          49000.0000        104        160         71          0          1        264
          50000.0000        104        160         71          0          1        264
          51000.0000        104        160         71          0          1        264
          52000.0000        103        159         72          0          1        262
          53000.0000        102        158         73          0          1        260
          54000.0000        101        158         73          0          2        259
          55000.0000        101        158         73          0          2        259
          56000.0000        101        158         73          0          2        259
          57000.0000        101        158         73          0          2        259
          58000.0000        101        158         73          0          2        259
          59000.0000        100        158         73          0          3        258
          60000.0000        100        158         73          0          3        258
          61000.0000        100        158         73          0          3        258
          62000.0000         99        157         74          0          3        256
          63000.0000         98        157         75          0          3        255
          64000.0000         97        157         76          0          3        254
          65000.0000         97        157         76          0          3        254
          66000.0000         97        157         76          0          3        254
          67000.0000         97        157         76          0          3        254
          68000.0000         97        157         76          0          3        254
          69000.0000         97        157         76          0          3        254
          70000.0000         97        157         76          0          3        254
          71000.0000         97        157         76          0          3        254
          72000.0000         96        156         77          0          3        252
          73000.0000         96        156         77          0          3        252
          74000.0000         96        156         77          0          3        252
          75000.0000         96        156         77          0          3        252
          76000.0000         96        156         77          0          3        252
          77000.0000         96        156         77          0          3        252
          78000.0000         96        157         77          0          3        253
          79000.0000         96        157         77          0          3        253
          80000.0000         96        157         77          0          3        253
          81000.0000         95        156         78          0          3        251
          82000.0000         95        156         78          0          3        251
          83000.0000         95        156         78          0          3        251
          84000.0000         95        156         78          0          3        251
          85000.0000         95        156         78          0          3        251
          86000.0000         95        156         78          0          3        251
          87000.0000         95        156         78          0          3        251
          88000.0000         95        157         78          0          3        252
          89000.0000         94        156         79          0          3        250
          90000.0000         93        155         80          0          3        248
          91000.0000         93        155         80          0          3        248
          92000.0000         93        155         80          0          3        248
          93000.0000         93        155         80          0          3        248
          94000.0000         93        155         80          0          3        248
          95000.0000         93        155         80          0          3        248
          96000.0000         93        155         80          0          3        248
          97000.0000         93        155         80          0          3        248
          98000.0000         93        155         80          0          3        248
          99000.0000         92        154         81          0          3        246
         100000.0000         92        154         81          0          3        246
         101000.0000         92        154         81          0          3        246
         102000.0000         92        154         81          0          3        246
         103000.0000         92        154         81          0          3        246
         104000.0000         92        154         81          0          3        246
         105000.0000         92        154         81          0          3        246
         106000.0000         92        154         81          0          3        246
         107000.0000         92        154         81          0          3        246
         108000.0000         92        154         81          0          3        246
         109000.0000         92        154         81          0          3        246
         110000.0000         92        154         81          0          3        246
         111000.0000         92        154         81          0          3        246
         112000.0000         92        154         81          0          3        246
         113000.0000         92        154         81          0          3        246
         114000.0000         92        154         81          0          3        246
         115000.0000         92        155         81          0          3        247
         116000.0000         91        154         82          0          3        245
         117000.0000         91        154         82          0          3        245
         118000.0000         91        154         82          0          3        245
         119000.0000         91        154         82          0          3        245
         120000.0000         91        154         82          0          3        245
         121000.0000         90        154         82          0          4        244
         122000.0000         90        154         82          0          4        244
         123000.0000         90        154         82          0          4        244
         124000.0000         90        154         82          0          4        244
         125000.0000         90        154         82          0          4        244
         126000.0000         90        154         82          0          4        244
         127000.0000         90        154         82          0          4        244
         128000.0000         90        154         82          0          4        244
         129000.0000         90        154         82          0          4        244
         130000.0000         90        154         82          0          4        244
         131000.0000         90        154         82          0          4        244
         132000.0000         90        154         82          0          4        244
         133000.0000         90        154         82          0          4        244
         134000.0000         90        154         82          0          4        244
         135000.0000         90        154         82          0          4        244
         136000.0000         90        154         82          0          4        244
         137000.0000         90        155         82          0          4        245
         138000.0000         90        156         82          0          4        246
         139000.0000         89        155         83          0          4        244
         140000.0000         89        155         83          0          4        244
         141000.0000         89        155         83          0          4        244
         142000.0000         89        156         83          0          4        245
         143000.0000         88        155         84          0          4        243
         144000.0000         88        155         84          0          4        243
         145000.0000         88        155         84          0          4        243
         146000.0000         88        155         84          0          4        243
         147000.0000         88        155         84          0          4        243
         148000.0000         87        154         85          0          4        241
         149000.0000         86        153         86          0          4        239
         150000.0000         86        153         86          0          4        239
         151000.0000         86        153         86          0          4        239
         152000.0000         86        153         86          0          4        239
         153000.0000         86        153         86          0          4        239
         154000.0000         86        154         86          0          4        240
         155000.0000         85        153         87          0          4        238
         156000.0000         85        153         87          0          4        238
         157000.0000         84        153         88          0          4        237
         158000.0000         84        153         88          0          4        237
         159000.0000         84        153         88          0          4        237
         160000.0000         84        153         88          0          4        237
         161000.0000         84        153         88          0          4        237
         162000.0000         84        153         88          0          4        237
         163000.0000         83        153         88          0          5        236
         164000.0000         83        153         88          0          5        236
         165000.0000         83        153         88          0          5        236
         166000.0000         83        153         88          0          5        236
         167000.0000         83        153         88          0          5        236
         168000.0000         83        153         88          0          5        236
         169000.0000         83        153         88          0          5        236
         170000.0000         83        153         88          0          5        236
         171000.0000         83        153         88          0          5        236
         172000.0000         83        153         88          0          5        236
         173000.0000         83        153         88          0          5        236
         174000.0000         83        153         88          0          5        236
         175000.0000         83        153         88          0          5        236
         176000.0000         83        153         88          0          5        236
         177000.0000         83        153         88          0          5        236
         178000.0000         83        153         88          0          5        236
         179000.0000         83        153         88          0          5        236
         180000.0000         82        153         88          0          6        235
         181000.0000         82        153         88          0          6        235
         182000.0000         82        153         88          0          6        235
         183000.0000         82        153         88          0          6        235
         184000.0000         82        153         88          0          6        235
         185000.0000         82        153         88          0          6        235
         186000.0000         82        153         88          0          6        235
         187000.0000         82        153         88          0          6        235
         188000.0000         81        153         88          0          7        234
         189000.0000         81        153         88          0          7        234
         190000.0000         81        153         88          0          7        234
         191000.0000         80        153         88          0          8        233
         192000.0000         80        153         88          0          8        233
         193000.0000         80        153         88          0          8        233
         194000.0000         80        153         88          0          8        233
         195000.0000         80        153         88          0          8        233
         196000.0000         80        153         88          0          8        233
         197000.0000         80        153         88          0          8        233
         198000.0000         80        153         88          0          8        233
         199000.0000         80        153         88          0          8        233
         200000.0000         80        153         88          0          8        233
         201000.0000         80        153         88          0          8        233
         202000.0000         80        153         88          0          8        233
         203000.0000         80        153         88          0          8        233
         204000.0000         79        153         88          0          9        232
         205000.0000         79        154         88          0          9        233
         206000.0000         79        154         88          0          9        233
         207000.0000         79        154         88          0          9        233
         208000.0000         79        154         88          0          9        233
         209000.0000         79        154         88          0          9        233
         210000.0000         79        154         88          0          9        233
         211000.0000         78        154         88          0         10        232
         212000.0000         78        154         88          0         10        232
         213000.0000         78        154         88          0         10        232
         214000.0000         78        154         88          0         10        232
         215000.0000         77        154         89          0         10        231
         216000.0000         77        154         89          0         10        231
         217000.0000         77        154         89          0         10        231
         218000.0000         77        154         89          0         10        231
         219000.0000         74        153         90          0         12        227
         220000.0000         74        153         90          0         12        227
         221000.0000         74        153         90          0         12        227
         222000.0000         73        153         91          0         12        226
         223000.0000         73        153         91          0         12        226
         224000.0000         73        153         91          0         12        226
         225000.0000         73        153         91          0         12        226
         226000.0000         73        154         91          0         12        227
         227000.0000         73        154         91          0         12        227
         228000.0000         72        153         92          0         12        225
         229000.0000         72        153         92          0         12        225
         230000.0000         72        153         92          0         12        225
         231000.0000         71        153         93          0         12        224
         232000.0000         71        153         93          0         12        224
         233000.0000         71        153         93          0         12        224
         234000.0000         71        153         93          0         12        224
         235000.0000         71        153         93          0         12        224
         236000.0000         71        153         93          0         12        224
         237000.0000         71        153         93          0         12        224
         238000.0000         71        153         93          0         12        224
         239000.0000         71        153         93          0         12        224
         240000.0000         71        153         93          0         12        224
         241000.0000         71        153         93          0         12        224
         242000.0000         71        153         93          0         12        224
         243000.0000         71        153         93          0         12        224
         244000.0000         70        153         93          0         13        223
         245000.0000         70        153         93          0         13        223
         246000.0000         70        153         93          0         13        223
         247000.0000         69        152         94          0         13        221
         248000.0000         69        152         94          0         13        221
         249000.0000         69        152         94          0         13        221
         250000.0000         69        152         94          0         13        221
         251000.0000         69        152         94          0         13        221
         252000.0000         68        152         94          0         14        220
         253000.0000         68        152         94          0         14        220
         254000.0000         68        152         94          0         14        220
         255000.0000         68        152         94          0         14        220
         256000.0000         68        152         94          0         14        220
         257000.0000         68        152         94          0         14        220
         258000.0000         68        152         94          0         14        220
         259000.0000         68        152         94          0         14        220
         260000.0000         68        152         94          0         14        220
         261000.0000         67        152         94          0         15        219
         262000.0000         66        152         95          0         15        218
         263000.0000         66        152         95          0         15        218
         264000.0000         66        152         95          0         15        218
         265000.0000         66        152         95          0         15        218
         266000.0000         66        152         95          0         15        218
         267000.0000         66        153         95          0         15        219
         268000.0000         65        152         96          0         15        217
         269000.0000         64        152         96          0         16        216
         270000.0000         64        152         96          0         16        216
         271000.0000         64        152         96          0         16        216
         272000.0000         64        152         96          0         16        216
         273000.0000         64        152         96          0         16        216
         274000.0000         64        152         96          0         16        216
         275000.0000         64        152         96          0         16        216
         276000.0000         64        152         96          0         16        216
         277000.0000         64        152         96          0         16        216
         278000.0000         64        152         96          0         16        216
         279000.0000         64        152         96          0         16        216
         280000.0000         64        152         96          0         16        216
         281000.0000         64        152         96          0         16        216
         282000.0000         64        153         96          0         16        217
         283000.0000         64        154         96          0         16        218
         284000.0000         64        154         96          0         16        218
         285000.0000         64        154         96          0         16        218
         286000.0000         62        153         97          0         17        215
         287000.0000         62        153         97          0         17        215
         288000.0000         62        153         97          0         17        215
         289000.0000         60        153         99          0         17        213
         290000.0000         60        153         99          0         17        213
         291000.0000         60        153         99          0         17        213
         292000.0000         60        153         99          0         17        213
         293000.0000         60        153         99          0         17        213
         294000.0000         60        153         99          0         17        213
         295000.0000         59        153         99          0         18        212
         296000.0000         59        153         99          0         18        212
         297000.0000         59        153         99          0         18        212
         298000.0000         59        153         99          0         18        212
         299000.0000         59        153         99          0         18        212
         300000.0000         58        153        100          0         18        211
         301000.0000         58        153        100          0         18        211
         302000.0000         58        153        100          0         18        211
         303000.0000         58        153        100          0         18        211
         304000.0000         58        154        100          0         18        212
         305000.0000         58        154        100          0         18        212
         306000.0000         58        154        100          0         18        212
         307000.0000         57        153        101          0         18        210
         308000.0000         57        153        101          0         18        210
         309000.0000         57        153        101          0         18        210
         310000.0000         57        153        101          0         18        210
         311000.0000         57        153        101          0         18        210
         312000.0000         57        153        101          0         18        210
         313000.0000         57        153        101          0         18        210
         314000.0000         56        152        102          0         18        208
         315000.0000         56        152        102          0         18        208
         316000.0000         56        152        102          0         18        208
         317000.0000         56        152        102          0         18        208
         318000.0000         56        152        102          0         18        208
         319000.0000         56        152        102          0         18        208
         320000.0000         56        152        102          0         18        208
         321000.0000         56        152        102          0         18        208
         322000.0000         56        152        102          0         18        208
         323000.0000         56        152        102          0         18        208
         324000.0000         56        152        102          0         18        208
         325000.0000         56        152        102          0         18        208
         326000.0000         56        152        102          0         18        208
