Time	Interstls	Vacancies	Recmbtns	VcncySfc	IntlnSfc	defects
0	167	167	9	0	0	334
1	167	167	9	0	0	334
2	167	167	9	0	0	334
3	167	167	9	0	0	334
4	167	167	9	0	0	334
5	167	167	9	0	0	334
6	167	167	9	0	0	334
7	167	167	9	0	0	334
8	167	167	9	0	0	334
9	167	167	9	0	0	334
10	167	167	9	0	0	334
11	167	167	9	0	0	334
12	167	167	9	0	0	334
13	167	167	9	0	0	334
14	167	167	9	0	0	334
15	167	167	9	0	0	334
16	167	167	9	0	0	334
17	167	167	9	0	0	334
18	167	167	9	0	0	334
19	167	167	9	0	0	334
20	167	167	9	0	0	334
21	167	167	9	0	0	334
22	167	167	9	0	0	334
23	167	167	9	0	0	334
24	167	167	9	0	0	334
25	167	167	9	0	0	334
26	167	167	9	0	0	334
27	167	167	9	0	0	334
28	167	167	9	0	0	334
29	167	167	9	0	0	334
30	167	167	9	0	0	334
31	167	167	9	0	0	334
32	167	167	9	0	0	334
33	167	167	9	0	0	334
34	167	167	9	0	0	334
35	167	167	9	0	0	334
36	167	167	9	0	0	334
37	167	167	9	0	0	334
38	167	167	9	0	0	334
39	167	167	9	0	0	334
40	167	167	9	0	0	334
41	167	167	9	0	0	334
42	167	167	9	0	0	334
43	167	167	9	0	0	334
44	167	167	9	0	0	334
45	167	167	9	0	0	334
46	167	167	9	0	0	334
47	167	167	9	0	0	334
48	167	167	9	0	0	334
49	167	167	9	0	0	334
50	167	167	9	0	0	334
51	167	167	9	0	0	334
52	167	167	9	0	0	334
53	167	167	9	0	0	334
54	167	167	9	0	0	334
55	167	167	9	0	0	334
56	167	167	9	0	0	334
57	167	167	9	0	0	334
58	167	167	9	0	0	334
59	167	167	9	0	0	334
60	167	167	9	0	0	334
61	167	167	9	0	0	334
62	167	167	9	0	0	334
63	167	167	9	0	0	334
64	167	167	9	0	0	334
65	167	167	9	0	0	334
66	167	167	9	0	0	334
67	167	167	9	0	0	334
68	167	167	9	0	0	334
69	167	167	9	0	0	334
70	166	166	10	0	0	332
71	166	166	10	0	0	332
72	166	166	10	0	0	332
73	166	166	10	0	0	332
74	166	166	10	0	0	332
75	166	166	10	0	0	332
76	166	166	10	0	0	332
77	166	166	10	0	0	332
78	166	166	10	0	0	332
79	166	166	10	0	0	332
80	166	166	10	0	0	332
81	166	166	10	0	0	332
82	166	166	10	0	0	332
83	166	166	10	0	0	332
84	166	166	10	0	0	332
85	166	166	10	0	0	332
86	166	166	10	0	0	332
87	166	166	10	0	0	332
88	166	166	10	0	0	332
89	166	166	10	0	0	332
90	166	166	10	0	0	332
91	166	166	10	0	0	332
92	166	166	10	0	0	332
93	166	166	10	0	0	332
94	166	166	10	0	0	332
95	166	166	10	0	0	332
96	166	166	10	0	0	332
97	166	166	10	0	0	332
98	166	166	10	0	0	332
99	166	166	10	0	0	332
100	166	166	10	0	0	332
