                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        163        163         13          0          0        326
              1.0000        163        163         13          0          0        326
              2.0000        163        163         13          0          0        326
              3.0000        163        163         13          0          0        326
              4.0000        163        163         13          0          0        326
              5.0000        163        163         13          0          0        326
              6.0000        163        163         13          0          0        326
              7.0000        163        163         13          0          0        326
              8.0000        163        163         13          0          0        326
              9.0000        163        163         13          0          0        326
             10.0000        163        163         13          0          0        326
             11.0000        163        163         13          0          0        326
             12.0000        163        163         13          0          0        326
             13.0000        163        163         13          0          0        326
             14.0000        163        163         13          0          0        326
             15.0000        162        162         14          0          0        324
             16.0000        162        162         14          0          0        324
             17.0000        162        162         14          0          0        324
             18.0000        162        162         14          0          0        324
             19.0000        162        162         14          0          0        324
             20.0000        162        162         14          0          0        324
             21.0000        162        162         14          0          0        324
             22.0000        162        162         14          0          0        324
             23.0000        162        162         14          0          0        324
             24.0000        162        162         14          0          0        324
             25.0000        162        162         14          0          0        324
             26.0000        162        162         14          0          0        324
             27.0000        162        162         14          0          0        324
             28.0000        162        162         14          0          0        324
             29.0000        162        162         14          0          0        324
             30.0000        162        162         14          0          0        324
             31.0000        162        162         14          0          0        324
             32.0000        162        162         14          0          0        324
             33.0000        162        162         14          0          0        324
             34.0000        162        162         14          0          0        324
             35.0000        162        162         14          0          0        324
             36.0000        162        162         14          0          0        324
             37.0000        162        162         14          0          0        324
             38.0000        162        162         14          0          0        324
             39.0000        162        162         14          0          0        324
             40.0000        162        162         14          0          0        324
             41.0000        162        162         14          0          0        324
             42.0000        162        162         14          0          0        324
             43.0000        162        162         14          0          0        324
             44.0000        162        162         14          0          0        324
             45.0000        162        162         14          0          0        324
             46.0000        162        162         14          0          0        324
             47.0000        162        162         14          0          0        324
             48.0000        162        162         14          0          0        324
             49.0000        162        162         14          0          0        324
             50.0000        162        162         14          0          0        324
             51.0000        162        162         14          0          0        324
             52.0000        161        161         15          0          0        322
             53.0000        161        161         15          0          0        322
             54.0000        161        161         15          0          0        322
             55.0000        161        161         15          0          0        322
             56.0000        161        161         15          0          0        322
             57.0000        161        161         15          0          0        322
             58.0000        161        161         15          0          0        322
             59.0000        161        161         15          0          0        322
             60.0000        161        161         15          0          0        322
             61.0000        161        161         15          0          0        322
             62.0000        161        161         15          0          0        322
             63.0000        161        161         15          0          0        322
             64.0000        161        161         15          0          0        322
             65.0000        161        161         15          0          0        322
             66.0000        161        161         15          0          0        322
             67.0000        161        161         15          0          0        322
             68.0000        161        161         15          0          0        322
             69.0000        161        161         15          0          0        322
             70.0000        161        161         15          0          0        322
             71.0000        161        161         15          0          0        322
             72.0000        161        161         15          0          0        322
             73.0000        160        160         16          0          0        320
             74.0000        160        160         16          0          0        320
             75.0000        160        160         16          0          0        320
             76.0000        160        160         16          0          0        320
             77.0000        160        160         16          0          0        320
             78.0000        160        160         16          0          0        320
             79.0000        160        160         16          0          0        320
             80.0000        160        160         16          0          0        320
             81.0000        160        160         16          0          0        320
             82.0000        160        160         16          0          0        320
             83.0000        160        160         16          0          0        320
             84.0000        160        160         16          0          0        320
             85.0000        160        160         16          0          0        320
             86.0000        160        160         16          0          0        320
             87.0000        160        160         16          0          0        320
             88.0000        160        160         16          0          0        320
             89.0000        160        160         16          0          0        320
             90.0000        160        160         16          0          0        320
             91.0000        160        160         16          0          0        320
             92.0000        160        160         16          0          0        320
             93.0000        160        160         16          0          0        320
             94.0000        160        160         16          0          0        320
             95.0000        160        160         16          0          0        320
             96.0000        160        160         16          0          0        320
             97.0000        160        160         16          0          0        320
             98.0000        160        160         16          0          0        320
             99.0000        160        160         16          0          0        320
            100.0000        160        160         16          0          0        320
            110.0000        160        160         16          0          0        320
            120.0000        160        160         16          0          0        320
            130.0000        160        160         16          0          0        320
            140.0000        160        160         16          0          0        320
            150.0000        159        159         17          0          0        318
            160.0000        159        159         17          0          0        318
            170.0000        158        158         18          0          0        316
            180.0000        158        158         18          0          0        316
            190.0000        158        158         18          0          0        316
            200.0000        158        158         18          0          0        316
            210.0000        157        157         19          0          0        314
            220.0000        156        156         20          0          0        312
            230.0000        155        155         21          0          0        310
            240.0000        155        155         21          0          0        310
            250.0000        155        155         21          0          0        310
            260.0000        153        153         23          0          0        306
            270.0000        153        153         23          0          0        306
            280.0000        152        152         24          0          0        304
