Time	Interstls	Vacancies	Recmbtns	VcncySfc	IntlnSfc	defects
0	158	158	18	0	0	316
100	153	153	23	0	0	306
200	152	152	24	0	0	304
300	150	150	26	0	0	300
400	149	149	27	0	0	298
500	148	148	28	0	0	296
600	146	146	30	0	0	292
700	145	145	31	0	0	290
800	145	145	31	0	0	290
900	145	145	31	0	0	290
1000	144	144	32	0	0	288
2000	140	140	36	0	0	280
3000	137	137	39	0	0	274
4000	134	134	42	0	0	268
5000	134	134	42	0	0	268
6000	134	134	42	0	0	268
7000	133	133	43	0	0	266
8000	133	133	43	0	0	266
9000	132	132	44	0	0	264
10000	131	131	45	0	0	262
11000	131	131	45	0	0	262
12000	130	130	46	0	0	260
13000	130	130	46	0	0	260
14000	130	130	46	0	0	260
15000	130	130	46	0	0	260
16000	130	130	46	0	0	260
17000	130	130	46	0	0	260
18000	130	130	46	0	0	260
19000	130	130	46	0	0	260
20000	130	130	46	0	0	260
21000	130	130	46	0	0	260
22000	130	130	46	0	0	260
23000	130	130	46	0	0	260
24000	130	130	46	0	0	260
25000	130	130	46	0	0	260
26000	130	130	46	0	0	260
27000	130	130	46	0	0	260
28000	130	130	46	0	0	260
29000	130	130	46	0	0	260
30000	130	130	46	0	0	260
31000	130	130	46	0	0	260
32000	130	130	46	0	0	260
33000	130	130	46	0	0	260
34000	130	130	46	0	0	260
35000	130	130	46	0	0	260
36000	130	130	46	0	0	260
37000	130	130	46	0	0	260
38000	130	130	46	0	0	260
39000	130	130	46	0	0	260
40000	130	130	46	0	0	260
41000	130	130	46	0	0	260
42000	130	130	46	0	0	260
43000	130	130	46	0	0	260
44000	130	130	46	0	0	260
45000	130	130	46	0	0	260
46000	130	130	46	0	0	260
47000	130	130	46	0	0	260
48000	130	130	46	0	0	260
49000	130	130	46	0	0	260
50000	130	130	46	0	0	260
51000	130	130	46	0	0	260
52000	130	130	46	0	0	260
53000	130	130	46	0	0	260
54000	130	130	46	0	0	260
55000	130	130	46	0	0	260
56000	130	130	46	0	0	260
57000	130	130	46	0	0	260
58000	130	130	46	0	0	260
59000	129	130	46	0	1	259
60000	129	130	46	0	1	259
61000	129	130	46	0	1	259
62000	129	130	46	0	1	259
63000	129	130	46	0	1	259
64000	129	130	46	0	1	259
65000	129	130	46	0	1	259
66000	129	130	46	0	1	259
67000	129	130	46	0	1	259
68000	129	130	46	0	1	259
69000	129	130	46	0	1	259
70000	129	130	46	0	1	259
71000	129	130	46	0	1	259
72000	129	130	46	0	1	259
73000	129	130	46	0	1	259
74000	129	130	46	0	1	259
75000	128	130	46	0	2	258
76000	128	130	46	0	2	258
77000	128	130	46	0	2	258
78000	128	130	46	0	2	258
79000	128	130	46	0	2	258
80000	128	130	46	0	2	258
81000	128	130	46	0	2	258
82000	128	130	46	0	2	258
83000	128	130	46	0	2	258
84000	128	130	46	0	2	258
85000	128	130	46	0	2	258
86000	128	130	46	0	2	258
87000	128	130	46	0	2	258
88000	128	130	46	0	2	258
89000	128	130	46	0	2	258
90000	128	130	46	0	2	258
91000	128	130	46	0	2	258
92000	128	130	46	0	2	258
93000	128	130	46	0	2	258
94000	127	130	46	0	3	257
95000	127	130	46	0	3	257
96000	127	130	46	0	3	257
97000	127	130	46	0	3	257
98000	126	130	46	0	4	256
99000	126	130	46	0	4	256
100000	126	130	46	0	4	256
101000	126	130	46	0	4	256
102000	125	129	47	0	4	254
103000	125	129	47	0	4	254
104000	125	129	47	0	4	254
105000	125	129	47	0	4	254
106000	125	129	47	0	4	254
107000	125	129	47	0	4	254
108000	125	129	47	0	4	254
109000	125	129	47	0	4	254
110000	125	129	47	0	4	254
111000	125	129	47	0	4	254
112000	125	129	47	0	4	254
113000	125	129	47	0	4	254
114000	125	129	47	0	4	254
115000	125	129	47	0	4	254
116000	125	129	47	0	4	254
117000	125	129	47	0	4	254
118000	124	129	47	0	5	253
119000	124	129	47	0	5	253
120000	124	129	47	0	5	253
121000	124	129	47	0	5	253
122000	124	129	47	0	5	253
123000	124	129	47	0	5	253
124000	124	129	47	0	5	253
125000	124	129	47	0	5	253
126000	124	129	47	0	5	253
127000	124	129	47	0	5	253
128000	124	129	47	0	5	253
129000	124	129	47	0	5	253
130000	124	129	47	0	5	253
131000	124	129	47	0	5	253
132000	124	129	47	0	5	253
133000	124	129	47	0	5	253
134000	124	129	47	0	5	253
135000	124	129	47	0	5	253
136000	123	129	47	0	6	252
137000	123	129	47	0	6	252
138000	123	129	47	0	6	252
139000	123	129	47	0	6	252
140000	123	129	47	0	6	252
141000	123	129	47	0	6	252
142000	122	129	47	0	7	251
143000	122	129	47	0	7	251
144000	121	129	47	0	8	250
145000	121	129	47	0	8	250
146000	121	129	47	0	8	250
147000	121	129	47	0	8	250
148000	121	129	47	0	8	250
149000	121	129	47	0	8	250
150000	120	129	47	0	9	249
151000	120	129	47	0	9	249
152000	120	129	47	0	9	249
153000	120	129	47	0	9	249
154000	120	129	47	0	9	249
155000	120	129	47	0	9	249
156000	120	129	47	0	9	249
157000	120	129	47	0	9	249
158000	120	129	47	0	9	249
159000	120	129	47	0	9	249
160000	120	129	47	0	9	249
161000	120	129	47	0	9	249
162000	120	129	47	0	9	249
163000	120	129	47	0	9	249
164000	120	129	47	0	9	249
165000	120	129	47	0	9	249
166000	120	129	47	0	9	249
167000	120	129	47	0	9	249
168000	120	129	47	0	9	249
169000	120	129	47	0	9	249
170000	120	129	47	0	9	249
171000	120	129	47	0	9	249
172000	119	129	47	0	10	248
173000	119	129	47	0	10	248
174000	119	129	47	0	10	248
175000	119	129	47	0	10	248
176000	119	129	47	0	10	248
177000	119	129	47	0	10	248
178000	119	129	47	0	10	248
179000	119	129	47	0	10	248
180000	119	129	47	0	10	248
181000	119	129	47	0	10	248
182000	119	129	47	0	10	248
183000	119	129	47	0	10	248
184000	119	129	47	0	10	248
185000	119	129	47	0	10	248
186000	119	129	47	0	10	248
187000	119	129	47	0	10	248
188000	119	129	47	0	10	248
189000	119	129	47	0	10	248
190000	119	129	47	0	10	248
191000	119	129	47	0	10	248
192000	119	129	47	0	10	248
193000	119	129	47	0	10	248
194000	119	129	47	0	10	248
195000	119	129	47	0	10	248
196000	119	129	47	0	10	248
197000	119	129	47	0	10	248
198000	119	129	47	0	10	248
199000	119	129	47	0	10	248
200000	119	129	47	0	10	248
201000	119	129	47	0	10	248
202000	119	129	47	0	10	248
203000	119	129	47	0	10	248
204000	119	129	47	0	10	248
205000	119	129	47	0	10	248
206000	119	129	47	0	10	248
207000	119	129	47	0	10	248
208000	119	129	47	0	10	248
209000	119	129	47	0	10	248
210000	119	129	47	0	10	248
211000	119	129	47	0	10	248
212000	119	129	47	0	10	248
213000	119	129	47	0	10	248
214000	119	129	47	0	10	248
215000	119	129	47	0	10	248
216000	119	129	47	0	10	248
217000	119	129	47	0	10	248
218000	119	129	47	0	10	248
219000	119	129	47	0	10	248
220000	119	129	47	0	10	248
221000	119	129	47	0	10	248
222000	119	129	47	0	10	248
223000	118	129	47	0	11	247
224000	118	129	47	0	11	247
225000	118	129	47	0	11	247
226000	118	129	47	0	11	247
227000	118	129	47	0	11	247
228000	118	129	47	0	11	247
229000	117	129	47	0	12	246
230000	117	129	47	0	12	246
231000	117	129	47	0	12	246
232000	117	129	47	0	12	246
233000	117	129	47	0	12	246
234000	117	129	47	0	12	246
235000	117	129	47	0	12	246
236000	117	129	47	0	12	246
237000	117	129	47	0	12	246
238000	117	129	47	0	12	246
239000	117	129	47	0	12	246
240000	117	129	47	0	12	246
241000	117	129	47	0	12	246
242000	117	129	47	0	12	246
243000	117	129	47	0	12	246
244000	117	129	47	0	12	246
245000	117	129	47	0	12	246
246000	117	129	47	0	12	246
247000	117	129	47	0	12	246
248000	117	129	47	0	12	246
249000	117	129	47	0	12	246
250000	117	129	47	0	12	246
251000	117	129	47	0	12	246
252000	117	129	47	0	12	246
253000	117	129	47	0	12	246
254000	117	129	47	0	12	246
255000	117	129	47	0	12	246
256000	117	129	47	0	12	246
257000	117	129	47	0	12	246
258000	117	129	47	0	12	246
259000	116	129	47	0	13	245
260000	116	129	47	0	13	245
261000	115	129	47	0	14	244
262000	115	129	47	0	14	244
263000	115	129	47	0	14	244
264000	115	129	47	0	14	244
265000	115	129	47	0	14	244
266000	115	129	47	0	14	244
267000	114	129	47	0	15	243
268000	114	129	47	0	15	243
269000	114	129	47	0	15	243
270000	114	129	47	0	15	243
271000	114	129	47	0	15	243
272000	114	129	47	0	15	243
273000	114	129	47	0	15	243
274000	114	129	47	0	15	243
275000	114	129	47	0	15	243
276000	114	129	47	0	15	243
277000	114	129	47	0	15	243
278000	114	129	47	0	15	243
279000	114	129	47	0	15	243
280000	114	129	47	0	15	243
281000	114	129	47	0	15	243
282000	112	129	47	0	17	241
283000	112	129	47	0	17	241
284000	112	129	47	0	17	241
285000	111	129	47	0	18	240
286000	111	129	47	0	18	240
287000	111	129	47	0	18	240
288000	111	129	47	0	18	240
289000	111	129	47	0	18	240
290000	111	129	47	0	18	240
291000	110	129	47	0	19	239
292000	109	129	47	0	20	238
293000	109	129	47	0	20	238
294000	109	129	47	0	20	238
295000	109	129	47	0	20	238
296000	109	129	47	0	20	238
297000	109	129	47	0	20	238
298000	109	129	47	0	20	238
299000	109	129	47	0	20	238
300000	109	129	47	0	20	238
301000	109	129	47	0	20	238
302000	109	129	47	0	20	238
303000	109	129	47	0	20	238
304000	109	129	47	0	20	238
305000	109	129	47	0	20	238
306000	109	129	47	0	20	238
307000	109	129	47	0	20	238
308000	109	129	47	0	20	238
309000	109	129	47	0	20	238
310000	109	129	47	0	20	238
311000	109	129	47	0	20	238
312000	109	129	47	0	20	238
313000	109	129	47	0	20	238
314000	109	129	47	0	20	238
315000	109	129	47	0	20	238
316000	109	129	47	0	20	238
317000	109	129	47	0	20	238
318000	109	129	47	0	20	238
319000	109	129	47	0	20	238
320000	109	129	47	0	20	238
321000	109	129	47	0	20	238
322000	109	129	47	0	20	238
323000	109	129	47	0	20	238
324000	109	129	47	0	20	238
325000	109	129	47	0	20	238
326000	109	129	47	0	20	238
327000	109	129	47	0	20	238
328000	109	129	47	0	20	238
329000	109	129	47	0	20	238
330000	109	129	47	0	20	238
331000	109	129	47	0	20	238
332000	109	129	47	0	20	238
333000	109	129	47	0	20	238
334000	109	129	47	0	20	238
335000	109	129	47	0	20	238
336000	109	129	47	0	20	238
337000	109	129	47	0	20	238
338000	109	129	47	0	20	238
339000	109	129	47	0	20	238
340000	109	129	47	0	20	238
341000	108	129	47	0	21	237
342000	107	129	47	0	22	236
343000	107	129	47	0	22	236
344000	107	129	47	0	22	236
345000	107	129	47	0	22	236
346000	107	129	47	0	22	236
347000	107	129	47	0	22	236
348000	107	129	47	0	22	236
349000	107	129	47	0	22	236
350000	107	129	47	0	22	236
351000	107	129	47	0	22	236
352000	107	129	47	0	22	236
353000	107	129	47	0	22	236
354000	107	129	47	0	22	236
355000	107	129	47	0	22	236
356000	107	129	47	0	22	236
357000	107	129	47	0	22	236
358000	107	129	47	0	22	236
359000	106	129	47	0	23	235
360000	106	129	47	0	23	235
361000	106	129	47	0	23	235
362000	106	129	47	0	23	235
363000	106	129	47	0	23	235
364000	105	129	47	0	24	234
365000	105	129	47	0	24	234
366000	105	129	47	0	24	234
367000	105	129	47	0	24	234
368000	105	129	47	0	24	234
369000	105	129	47	0	24	234
370000	105	129	47	0	24	234
371000	104	129	47	0	25	233
372000	104	129	47	0	25	233
373000	104	129	47	0	25	233
374000	104	129	47	0	25	233
375000	104	129	47	0	25	233
376000	104	129	47	0	25	233
377000	103	129	47	0	26	232
378000	103	129	47	0	26	232
379000	103	129	47	0	26	232
380000	103	129	47	0	26	232
381000	103	129	47	0	26	232
382000	103	129	47	0	26	232
383000	103	129	47	0	26	232
384000	103	129	47	0	26	232
385000	103	129	47	0	26	232
386000	103	129	47	0	26	232
387000	103	129	47	0	26	232
388000	103	129	47	0	26	232
389000	103	129	47	0	26	232
390000	103	129	47	0	26	232
391000	103	129	47	0	26	232
392000	103	129	47	0	26	232
393000	103	129	47	0	26	232
394000	103	129	47	0	26	232
395000	103	129	47	0	26	232
396000	103	129	47	0	26	232
397000	103	129	47	0	26	232
398000	103	129	47	0	26	232
399000	103	129	47	0	26	232
400000	103	129	47	0	26	232
401000	103	129	47	0	26	232
402000	103	129	47	0	26	232
403000	103	129	47	0	26	232
404000	103	129	47	0	26	232
405000	103	129	47	0	26	232
406000	103	129	47	0	26	232
407000	102	129	47	0	27	231
