                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        153        153         23          0          0        306
            100.0000        149        149         27          0          0        298
            200.0000        147        147         29          0          0        294
            300.0000        145        145         31          0          0        290
            400.0000        145        145         31          0          0        290
            500.0000        144        144         32          0          0        288
            600.0000        144        144         32          0          0        288
            700.0000        144        144         32          0          0        288
            800.0000        144        144         32          0          0        288
            900.0000        144        144         32          0          0        288
           1000.0000        144        144         32          0          0        288
           2000.0000        142        142         34          0          0        284
           3000.0000        141        141         35          0          0        282
           4000.0000        138        138         38          0          0        276
           5000.0000        137        137         39          0          0        274
           6000.0000        137        137         39          0          0        274
           7000.0000        137        137         39          0          0        274
           8000.0000        137        137         39          0          0        274
           9000.0000        137        137         39          0          0        274
          10000.0000        137        137         39          0          0        274
          11000.0000        137        137         39          0          0        274
          12000.0000        137        137         39          0          0        274
          13000.0000        137        137         39          0          0        274
          14000.0000        136        136         40          0          0        272
          15000.0000        135        135         41          0          0        270
          16000.0000        135        135         41          0          0        270
          17000.0000        135        135         41          0          0        270
          18000.0000        135        135         41          0          0        270
          19000.0000        135        135         41          0          0        270
          20000.0000        135        135         41          0          0        270
          21000.0000        135        135         41          0          0        270
          22000.0000        135        135         41          0          0        270
          23000.0000        135        135         41          0          0        270
          24000.0000        135        135         41          0          0        270
          25000.0000        135        135         41          0          0        270
          26000.0000        135        135         41          0          0        270
          27000.0000        135        135         41          0          0        270
          28000.0000        135        135         41          0          0        270
          29000.0000        135        135         41          0          0        270
          30000.0000        135        135         41          0          0        270
          31000.0000        135        135         41          0          0        270
          32000.0000        135        135         41          0          0        270
          33000.0000        135        135         41          0          0        270
          34000.0000        135        135         41          0          0        270
          35000.0000        135        135         41          0          0        270
          36000.0000        135        135         41          0          0        270
          37000.0000        135        135         41          0          0        270
          38000.0000        135        135         41          0          0        270
          39000.0000        135        135         41          0          0        270
          40000.0000        134        134         42          0          0        268
          41000.0000        134        134         42          0          0        268
          42000.0000        134        134         42          0          0        268
          43000.0000        134        134         42          0          0        268
          44000.0000        134        134         42          0          0        268
          45000.0000        134        134         42          0          0        268
          46000.0000        134        134         42          0          0        268
          47000.0000        134        134         42          0          0        268
          48000.0000        134        134         42          0          0        268
          49000.0000        134        134         42          0          0        268
          50000.0000        134        134         42          0          0        268
          51000.0000        134        134         42          0          0        268
          52000.0000        134        134         42          0          0        268
          53000.0000        134        134         42          0          0        268
          54000.0000        133        134         42          0          1        267
          55000.0000        133        134         42          0          1        267
          56000.0000        133        134         42          0          1        267
          57000.0000        133        134         42          0          1        267
          58000.0000        133        134         42          0          1        267
          59000.0000        133        134         42          0          1        267
          60000.0000        133        134         42          0          1        267
          61000.0000        132        134         42          0          2        266
          62000.0000        132        134         42          0          2        266
          63000.0000        132        134         42          0          2        266
          64000.0000        132        134         42          0          2        266
          65000.0000        132        134         42          0          2        266
          66000.0000        132        134         42          0          2        266
          67000.0000        132        134         42          0          2        266
          68000.0000        132        134         42          0          2        266
          69000.0000        132        134         42          0          2        266
          70000.0000        132        134         42          0          2        266
          71000.0000        132        134         42          0          2        266
          72000.0000        132        134         42          0          2        266
          73000.0000        132        134         42          0          2        266
          74000.0000        132        134         42          0          2        266
          75000.0000        132        134         42          0          2        266
          76000.0000        132        134         42          0          2        266
          77000.0000        132        134         42          0          2        266
          78000.0000        132        134         42          0          2        266
          79000.0000        132        134         42          0          2        266
          80000.0000        132        134         42          0          2        266
          81000.0000        132        134         42          0          2        266
          82000.0000        132        134         42          0          2        266
          83000.0000        132        134         42          0          2        266
          84000.0000        132        134         42          0          2        266
          85000.0000        132        134         42          0          2        266
          86000.0000        132        134         42          0          2        266
          87000.0000        132        134         42          0          2        266
          88000.0000        132        134         42          0          2        266
          89000.0000        132        134         42          0          2        266
          90000.0000        132        134         42          0          2        266
          91000.0000        132        134         42          0          2        266
          92000.0000        132        134         42          0          2        266
          93000.0000        132        134         42          0          2        266
          94000.0000        132        134         42          0          2        266
          95000.0000        132        134         42          0          2        266
          96000.0000        132        134         42          0          2        266
          97000.0000        132        134         42          0          2        266
          98000.0000        132        134         42          0          2        266
          99000.0000        132        134         42          0          2        266
         100000.0000        132        134         42          0          2        266
         101000.0000        132        134         42          0          2        266
         102000.0000        131        134         42          0          3        265
         103000.0000        131        134         42          0          3        265
         104000.0000        131        134         42          0          3        265
