                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        159        159         17          0          0        318
            100.0000        156        156         20          0          0        312
            200.0000        154        154         22          0          0        308
            300.0000        150        150         26          0          0        300
            400.0000        149        149         27          0          0        298
            500.0000        149        149         27          0          0        298
            600.0000        149        149         27          0          0        298
            700.0000        149        149         27          0          0        298
            800.0000        149        149         27          0          0        298
            900.0000        149        149         27          0          0        298
           1000.0000        149        149         27          0          0        298
           2000.0000        148        148         28          0          0        296
           3000.0000        147        147         29          0          0        294
           4000.0000        147        147         29          0          0        294
           5000.0000        147        147         29          0          0        294
           6000.0000        147        147         29          0          0        294
           7000.0000        146        146         30          0          0        292
           8000.0000        146        146         30          0          0        292
           9000.0000        146        146         30          0          0        292
          10000.0000        145        145         31          0          0        290
          11000.0000        145        145         31          0          0        290
          12000.0000        145        145         31          0          0        290
          13000.0000        145        145         31          0          0        290
          14000.0000        145        145         31          0          0        290
          15000.0000        145        145         31          0          0        290
          16000.0000        145        145         31          0          0        290
          17000.0000        145        145         31          0          0        290
          18000.0000        145        145         31          0          0        290
          19000.0000        145        145         31          0          0        290
          20000.0000        145        145         31          0          0        290
          21000.0000        145        145         31          0          0        290
          22000.0000        145        145         31          0          0        290
          23000.0000        145        145         31          0          0        290
          24000.0000        145        145         31          0          0        290
          25000.0000        145        145         31          0          0        290
          26000.0000        144        145         31          0          1        289
          27000.0000        144        145         31          0          1        289
          28000.0000        144        145         31          0          1        289
          29000.0000        144        145         31          0          1        289
          30000.0000        144        145         31          0          1        289
          31000.0000        144        145         31          0          1        289
          32000.0000        144        145         31          0          1        289
          33000.0000        144        145         31          0          1        289
          34000.0000        144        145         31          0          1        289
          35000.0000        144        145         31          0          1        289
          36000.0000        144        145         31          0          1        289
          37000.0000        144        145         31          0          1        289
          38000.0000        144        145         31          0          1        289
          39000.0000        144        145         31          0          1        289
          40000.0000        144        145         31          0          1        289
          41000.0000        144        145         31          0          1        289
          42000.0000        144        145         31          0          1        289
          43000.0000        144        145         31          0          1        289
          44000.0000        144        145         31          0          1        289
          45000.0000        144        145         31          0          1        289
          46000.0000        144        145         31          0          1        289
          47000.0000        144        145         31          0          1        289
          48000.0000        144        145         31          0          1        289
          49000.0000        144        145         31          0          1        289
          50000.0000        144        145         31          0          1        289
          51000.0000        144        145         31          0          1        289
          52000.0000        144        145         31          0          1        289
          53000.0000        144        145         31          0          1        289
          54000.0000        144        145         31          0          1        289
          55000.0000        144        145         31          0          1        289
          56000.0000        144        145         31          0          1        289
          57000.0000        144        145         31          0          1        289
          58000.0000        144        145         31          0          1        289
          59000.0000        144        145         31          0          1        289
          60000.0000        144        145         31          0          1        289
          61000.0000        144        145         31          0          1        289
          62000.0000        144        145         31          0          1        289
          63000.0000        143        145         31          0          2        288
          64000.0000        143        145         31          0          2        288
          65000.0000        143        145         31          0          2        288
          66000.0000        142        144         32          0          2        286
          67000.0000        142        144         32          0          2        286
          68000.0000        142        144         32          0          2        286
          69000.0000        142        144         32          0          2        286
          70000.0000        142        144         32          0          2        286
          71000.0000        142        144         32          0          2        286
          72000.0000        142        144         32          0          2        286
          73000.0000        142        144         32          0          2        286
          74000.0000        142        144         32          0          2        286
          75000.0000        142        144         32          0          2        286
          76000.0000        142        144         32          0          2        286
          77000.0000        142        144         32          0          2        286
          78000.0000        142        144         32          0          2        286
          79000.0000        142        144         32          0          2        286
          80000.0000        142        144         32          0          2        286
          81000.0000        142        144         32          0          2        286
          82000.0000        142        144         32          0          2        286
          83000.0000        142        144         32          0          2        286
          84000.0000        142        144         32          0          2        286
          85000.0000        142        144         32          0          2        286
          86000.0000        142        144         32          0          2        286
          87000.0000        142        144         32          0          2        286
          88000.0000        142        144         32          0          2        286
          89000.0000        142        144         32          0          2        286
          90000.0000        142        144         32          0          2        286
          91000.0000        142        144         32          0          2        286
          92000.0000        142        144         32          0          2        286
          93000.0000        142        144         32          0          2        286
          94000.0000        142        144         32          0          2        286
          95000.0000        142        144         32          0          2        286
          96000.0000        141        144         32          0          3        285
          97000.0000        141        144         32          0          3        285
          98000.0000        141        144         32          0          3        285
          99000.0000        141        144         32          0          3        285
         100000.0000        141        144         32          0          3        285
         101000.0000        141        144         32          0          3        285
         102000.0000        141        144         32          0          3        285
         103000.0000        141        144         32          0          3        285
         104000.0000        141        144         32          0          3        285
         105000.0000        141        144         32          0          3        285
         106000.0000        141        144         32          0          3        285
         107000.0000        141        144         32          0          3        285
         108000.0000        141        144         32          0          3        285
         109000.0000        141        144         32          0          3        285
         110000.0000        141        144         32          0          3        285
         111000.0000        141        144         32          0          3        285
         112000.0000        141        144         32          0          3        285
         113000.0000        141        144         32          0          3        285
         114000.0000        141        144         32          0          3        285
         115000.0000        141        144         32          0          3        285
         116000.0000        141        144         32          0          3        285
         117000.0000        141        144         32          0          3        285
         118000.0000        141        144         32          0          3        285
         119000.0000        141        144         32          0          3        285
         120000.0000        141        144         32          0          3        285
         121000.0000        141        144         32          0          3        285
         122000.0000        141        144         32          0          3        285
         123000.0000        141        144         32          0          3        285
         124000.0000        141        144         32          0          3        285
         125000.0000        141        144         32          0          3        285
         126000.0000        141        144         32          0          3        285
         127000.0000        141        144         32          0          3        285
         128000.0000        141        144         32          0          3        285
         129000.0000        141        144         32          0          3        285
         130000.0000        141        144         32          0          3        285
         131000.0000        141        144         32          0          3        285
         132000.0000        141        144         32          0          3        285
         133000.0000        141        144         32          0          3        285
         134000.0000        141        144         32          0          3        285
         135000.0000        141        144         32          0          3        285
         136000.0000        141        144         32          0          3        285
         137000.0000        141        144         32          0          3        285
         138000.0000        141        144         32          0          3        285
         139000.0000        141        144         32          0          3        285
         140000.0000        141        144         32          0          3        285
         141000.0000        141        144         32          0          3        285
         142000.0000        141        144         32          0          3        285
         143000.0000        140        144         32          0          4        284
         144000.0000        140        144         32          0          4        284
         145000.0000        140        144         32          0          4        284
         146000.0000        140        144         32          0          4        284
         147000.0000        140        144         32          0          4        284
         148000.0000        140        144         32          0          4        284
         149000.0000        140        144         32          0          4        284
         150000.0000        140        144         32          0          4        284
         151000.0000        140        144         32          0          4        284
         152000.0000        140        144         32          0          4        284
         153000.0000        140        144         32          0          4        284
         154000.0000        140        144         32          0          4        284
         155000.0000        140        144         32          0          4        284
         156000.0000        140        144         32          0          4        284
         157000.0000        140        144         32          0          4        284
         158000.0000        140        144         32          0          4        284
         159000.0000        140        144         32          0          4        284
         160000.0000        140        144         32          0          4        284
         161000.0000        140        144         32          0          4        284
         162000.0000        140        144         32          0          4        284
         163000.0000        140        144         32          0          4        284
         164000.0000        139        144         32          0          5        283
         165000.0000        139        144         32          0          5        283
         166000.0000        139        144         32          0          5        283
         167000.0000        139        144         32          0          5        283
         168000.0000        139        144         32          0          5        283
         169000.0000        139        144         32          0          5        283
         170000.0000        139        144         32          0          5        283
         171000.0000        139        144         32          0          5        283
         172000.0000        139        144         32          0          5        283
         173000.0000        139        144         32          0          5        283
         174000.0000        139        144         32          0          5        283
         175000.0000        139        144         32          0          5        283
         176000.0000        139        144         32          0          5        283
         177000.0000        139        144         32          0          5        283
         178000.0000        138        144         32          0          6        282
         179000.0000        138        144         32          0          6        282
         180000.0000        138        144         32          0          6        282
         181000.0000        137        144         32          0          7        281
         182000.0000        137        144         32          0          7        281
         183000.0000        137        144         32          0          7        281
         184000.0000        137        144         32          0          7        281
         185000.0000        137        144         32          0          7        281
         186000.0000        137        144         32          0          7        281
         187000.0000        137        144         32          0          7        281
         188000.0000        137        144         32          0          7        281
         189000.0000        137        144         32          0          7        281
         190000.0000        137        144         32          0          7        281
         191000.0000        137        144         32          0          7        281
         192000.0000        137        144         32          0          7        281
         193000.0000        137        144         32          0          7        281
         194000.0000        137        144         32          0          7        281
         195000.0000        137        144         32          0          7        281
         196000.0000        137        144         32          0          7        281
         197000.0000        137        144         32          0          7        281
         198000.0000        137        144         32          0          7        281
         199000.0000        137        144         32          0          7        281
         200000.0000        137        144         32          0          7        281
         201000.0000        137        144         32          0          7        281
         202000.0000        137        144         32          0          7        281
         203000.0000        137        144         32          0          7        281
         204000.0000        137        144         32          0          7        281
         205000.0000        137        144         32          0          7        281
         206000.0000        137        144         32          0          7        281
         207000.0000        137        144         32          0          7        281
         208000.0000        137        144         32          0          7        281
         209000.0000        137        144         32          0          7        281
         210000.0000        137        144         32          0          7        281
         211000.0000        137        144         32          0          7        281
         212000.0000        137        144         32          0          7        281
         213000.0000        137        144         32          0          7        281
         214000.0000        137        144         32          0          7        281
         215000.0000        137        144         32          0          7        281
         216000.0000        137        144         32          0          7        281
         217000.0000        137        144         32          0          7        281
         218000.0000        137        144         32          0          7        281
         219000.0000        137        144         32          0          7        281
         220000.0000        137        144         32          0          7        281
         221000.0000        136        144         32          0          8        280
         222000.0000        136        144         32          0          8        280
         223000.0000        136        144         32          0          8        280
