Time	Interstls	Vacancies	Recmbtns	VcncySfc	IntlnSfc	defects
0	164	164	12	0	0	328
100	163	163	13	0	0	326
200	161	161	15	0	0	322
300	160	160	16	0	0	320
400	158	158	18	0	0	316
500	158	158	18	0	0	316
600	157	157	19	0	0	314
700	155	155	21	0	0	310
800	154	154	22	0	0	308
900	154	154	22	0	0	308
1000	154	154	22	0	0	308
2000	152	152	24	0	0	304
3000	150	150	26	0	0	300
4000	150	150	26	0	0	300
5000	149	149	27	0	0	298
6000	148	148	28	0	0	296
7000	148	148	28	0	0	296
8000	148	148	28	0	0	296
9000	148	148	28	0	0	296
10000	148	148	28	0	0	296
11000	148	148	28	0	0	296
12000	148	148	28	0	0	296
13000	148	148	28	0	0	296
14000	147	147	29	0	0	294
15000	147	147	29	0	0	294
16000	147	147	29	0	0	294
17000	147	147	29	0	0	294
18000	147	147	29	0	0	294
19000	147	147	29	0	0	294
20000	147	147	29	0	0	294
21000	147	147	29	0	0	294
22000	146	146	30	0	0	292
23000	146	146	30	0	0	292
24000	146	146	30	0	0	292
25000	145	145	31	0	0	290
26000	145	145	31	0	0	290
27000	145	145	31	0	0	290
28000	145	145	31	0	0	290
29000	145	145	31	0	0	290
30000	145	145	31	0	0	290
31000	145	145	31	0	0	290
32000	145	145	31	0	0	290
33000	145	145	31	0	0	290
34000	145	145	31	0	0	290
35000	145	145	31	0	0	290
36000	145	145	31	0	0	290
37000	145	145	31	0	0	290
38000	145	145	31	0	0	290
39000	145	145	31	0	0	290
40000	144	144	32	0	0	288
41000	143	144	32	0	1	287
42000	143	144	32	0	1	287
43000	143	144	32	0	1	287
44000	143	144	32	0	1	287
45000	143	144	32	0	1	287
46000	143	144	32	0	1	287
47000	143	144	32	0	1	287
48000	143	144	32	0	1	287
49000	143	144	32	0	1	287
50000	143	144	32	0	1	287
51000	143	144	32	0	1	287
52000	143	144	32	0	1	287
53000	143	144	32	0	1	287
54000	143	144	32	0	1	287
55000	143	144	32	0	1	287
56000	143	144	32	0	1	287
57000	143	144	32	0	1	287
58000	143	144	32	0	1	287
59000	143	144	32	0	1	287
60000	143	144	32	0	1	287
61000	143	144	32	0	1	287
62000	143	144	32	0	1	287
63000	143	144	32	0	1	287
64000	143	144	32	0	1	287
65000	143	144	32	0	1	287
66000	143	144	32	0	1	287
67000	143	144	32	0	1	287
68000	143	144	32	0	1	287
69000	143	144	32	0	1	287
70000	143	144	32	0	1	287
71000	143	144	32	0	1	287
72000	143	144	32	0	1	287
73000	143	144	32	0	1	287
74000	143	144	32	0	1	287
75000	143	144	32	0	1	287
76000	143	144	32	0	1	287
77000	143	144	32	0	1	287
78000	143	144	32	0	1	287
79000	143	144	32	0	1	287
80000	143	144	32	0	1	287
81000	143	144	32	0	1	287
82000	143	144	32	0	1	287
83000	143	144	32	0	1	287
84000	143	144	32	0	1	287
85000	143	144	32	0	1	287
86000	143	144	32	0	1	287
87000	143	144	32	0	1	287
88000	143	144	32	0	1	287
89000	143	144	32	0	1	287
90000	143	144	32	0	1	287
91000	143	144	32	0	1	287
92000	143	144	32	0	1	287
93000	143	144	32	0	1	287
94000	142	144	32	0	2	286
95000	142	144	32	0	2	286
96000	142	144	32	0	2	286
97000	142	144	32	0	2	286
98000	142	144	32	0	2	286
99000	142	144	32	0	2	286
100000	142	144	32	0	2	286
101000	142	144	32	0	2	286
102000	142	144	32	0	2	286
103000	142	144	32	0	2	286
104000	142	144	32	0	2	286
105000	142	144	32	0	2	286
106000	142	144	32	0	2	286
107000	142	144	32	0	2	286
108000	142	144	32	0	2	286
109000	142	144	32	0	2	286
110000	142	144	32	0	2	286
111000	142	144	32	0	2	286
112000	142	144	32	0	2	286
113000	142	144	32	0	2	286
114000	142	144	32	0	2	286
115000	142	144	32	0	2	286
116000	142	144	32	0	2	286
117000	142	144	32	0	2	286
118000	142	144	32	0	2	286
119000	142	144	32	0	2	286
120000	142	144	32	0	2	286
121000	142	144	32	0	2	286
122000	142	144	32	0	2	286
123000	142	144	32	0	2	286
124000	142	144	32	0	2	286
125000	141	144	32	0	3	285
126000	141	144	32	0	3	285
127000	141	144	32	0	3	285
128000	141	144	32	0	3	285
129000	141	144	32	0	3	285
130000	141	144	32	0	3	285
131000	141	144	32	0	3	285
132000	141	144	32	0	3	285
133000	141	144	32	0	3	285
134000	141	144	32	0	3	285
135000	141	144	32	0	3	285
136000	141	144	32	0	3	285
137000	141	144	32	0	3	285
138000	141	144	32	0	3	285
139000	141	144	32	0	3	285
140000	141	144	32	0	3	285
141000	141	144	32	0	3	285
142000	141	144	32	0	3	285
143000	141	144	32	0	3	285
144000	141	144	32	0	3	285
145000	140	144	32	0	4	284
146000	139	144	32	0	5	283
147000	139	144	32	0	5	283
148000	139	144	32	0	5	283
149000	139	144	32	0	5	283
150000	139	144	32	0	5	283
151000	139	144	32	0	5	283
152000	139	144	32	0	5	283
153000	139	144	32	0	5	283
154000	139	144	32	0	5	283
155000	139	144	32	0	5	283
156000	139	144	32	0	5	283
157000	139	144	32	0	5	283
158000	139	144	32	0	5	283
159000	139	144	32	0	5	283
160000	139	144	32	0	5	283
161000	139	144	32	0	5	283
162000	139	144	32	0	5	283
163000	139	144	32	0	5	283
164000	139	144	32	0	5	283
