                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
                   0        170        170          6          0          0        340
                 100        169        169          7          0          0        338
                 200        169        169          7          0          0        338
                 300        169        169          7          0          0        338
                 400        169        169          7          0          0        338
                 500        169        169          7          0          0        338
                 600        169        169          7          0          0        338
                 700        169        169          7          0          0        338
                 800        169        169          7          0          0        338
                 900        169        169          7          0          0        338
                1000        169        169          7          0          0        338
                1100        169        169          7          0          0        338
                1200        169        169          7          0          0        338
                1300        169        169          7          0          0        338
                1400        169        169          7          0          0        338
                1500        169        169          7          0          0        338
                1600        169        169          7          0          0        338
                1700        169        169          7          0          0        338
                1800        169        169          7          0          0        338
                1900        169        169          7          0          0        338
                2000        169        169          7          0          0        338
                2100        169        169          7          0          0        338
                2200        169        169          7          0          0        338
                2300        169        169          7          0          0        338
                2400        169        169          7          0          0        338
                2500        169        169          7          0          0        338
                2600        169        169          7          0          0        338
                2700        169        169          7          0          0        338
                2800        169        169          7          0          0        338
                2900        169        169          7          0          0        338
                3000        169        169          7          0          0        338
                3100        169        169          7          0          0        338
                3200        169        169          7          0          0        338
                3300        169        169          7          0          0        338
                3400        169        169          7          0          0        338
                3500        169        169          7          0          0        338
                3600        169        169          7          0          0        338
                3700        169        169          7          0          0        338
                3800        169        169          7          0          0        338
                3900        169        169          7          0          0        338
                4000        169        169          7          0          0        338
                4100        169        169          7          0          0        338
                4200        169        169          7          0          0        338
                4300        169        169          7          0          0        338
                4400        169        169          7          0          0        338
                4500        169        169          7          0          0        338
                4600        169        169          7          0          0        338
                4700        169        169          7          0          0        338
                4800        169        169          7          0          0        338
                4900        169        169          7          0          0        338
                5000        169        169          7          0          0        338
                5100        169        169          7          0          0        338
                5200        169        169          7          0          0        338
                5300        169        169          7          0          0        338
                5400        169        169          7          0          0        338
                5500        169        169          7          0          0        338
                5600        169        169          7          0          0        338
                5700        169        169          7          0          0        338
                5800        169        169          7          0          0        338
                5900        169        169          7          0          0        338
                6000        169        169          7          0          0        338
                6100        169        169          7          0          0        338
                6200        169        169          7          0          0        338
                6300        169        169          7          0          0        338
                6400        169        169          7          0          0        338
                6500        169        169          7          0          0        338
                6600        169        169          7          0          0        338
                6700        169        169          7          0          0        338
                6800        169        169          7          0          0        338
                6900        169        169          7          0          0        338
                7000        169        169          7          0          0        338
                7100        169        169          7          0          0        338
                7200        169        169          7          0          0        338
                7300        169        169          7          0          0        338
                7400        169        169          7          0          0        338
                7500        169        169          7          0          0        338
                7600        169        169          7          0          0        338
                7700        169        169          7          0          0        338
                7800        169        169          7          0          0        338
                7900        169        169          7          0          0        338
                8000        169        169          7          0          0        338
                8100        169        169          7          0          0        338
                8200        169        169          7          0          0        338
                8300        169        169          7          0          0        338
                8400        169        169          7          0          0        338
                8500        169        169          7          0          0        338
                8600        169        169          7          0          0        338
                8700        169        169          7          0          0        338
                8800        169        169          7          0          0        338
                8900        169        169          7          0          0        338
                9000        169        169          7          0          0        338
                9100        169        169          7          0          0        338
                9200        169        169          7          0          0        338
                9300        169        169          7          0          0        338
                9400        169        169          7          0          0        338
                9500        169        169          7          0          0        338
                9600        169        169          7          0          0        338
                9700        169        169          7          0          0        338
                9800        169        169          7          0          0        338
                9900        169        169          7          0          0        338
               10000        169        169          7          0          0        338
               11000        169        169          7          0          0        338
               12000        169        169          7          0          0        338
               13000        169        169          7          0          0        338
               14000        169        169          7          0          0        338
               15000        169        169          7          0          0        338
