                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
        8023479.0000        176        176          0          0          0        352
       16367215.0000        173        173          3          0          0        346
       24408970.0000        172        172          4          0          0        344
       32415024.0000        171        171          5          0          0        342
       40611568.0000        171        170          5          1          0        341
       48741044.0000        171        169          5          2          0        340
       56860544.0000        171        168          5          3          0        339
       65122152.0000        169        166          7          3          0        335
       73417888.0000        169        165          7          4          0        334
       81459136.0000        168        164          8          4          0        332
       89545544.0000        167        163          9          4          0        330
       97722752.0000        167        162          9          5          0        329
      105880472.0000        165        160         11          5          0        325
      114084576.0000        164        158         12          6          0        322
      122135280.0000        162        154         14          8          0        316
      130386168.0000        161        153         15          8          0        314
      138561824.0000        159        150         17          9          0        309
      146644624.0000        159        149         17         10          0        308
      154740320.0000        159        148         17         11          0        307
      162809360.0000        159        148         17         11          0        307
      170928560.0000        156        144         20         12          0        300
      178931840.0000        153        141         23         12          0        294
      186947120.0000        153        141         23         12          0        294
      195132256.0000        151        139         25         12          0        290
      203224144.0000        150        138         26         12          0        288
      211473744.0000        149        136         27         13          0        285
      219612880.0000        149        136         27         13          0        285
      227686480.0000        147        133         29         14          0        280
      235825824.0000        147        132         29         15          0        279
      244059200.0000        147        132         29         15          0        279
      252060544.0000        146        130         30         16          0        276
      260185024.0000        146        129         30         17          0        275
      268420432.0000        145        127         31         18          0        272
      276611488.0000        145        127         31         18          0        272
      284760384.0000        143        124         33         19          0        267
      292998112.0000        143        124         33         19          0        267
      301107040.0000        141        122         35         19          0        263
      309316160.0000        141        121         35         20          0        262
      317493440.0000        141        119         35         22          0        260
      325603904.0000        141        119         35         22          0        260
      333532608.0000        141        118         35         23          0        259
      341691808.0000        141        118         35         23          0        259
      349907392.0000        141        118         35         23          0        259
      358167456.0000        140        115         36         25          0        255
      366231520.0000        139        114         37         25          0        253
      374288960.0000        138        113         38         25          0        251
      382303968.0000        138        113         38         25          0        251
      390520960.0000        134        108         42         26          0        242
      398602048.0000        133        106         43         27          0        239
      406655136.0000        132        105         44         27          0        237
      414893376.0000        132        104         44         28          0        236
      422972608.0000        132        103         44         29          0        235
      431170976.0000        132        103         44         29          0        235
      439378176.0000        132        103         44         29          0        235
      447519040.0000        131        101         45         30          0        232
      455649216.0000        131        100         45         31          0        231
      463774752.0000        130         99         46         31          0        229
