Time	Interstls	Vacancies	Recmbtns	VcncySfc	IntlnSfc	defects
0	176	176	0	0	0	352
8172902.5	176	175	0	1	0	351
16246517	173	172	3	1	0	345
24325538	169	166	7	3	0	335
32550176	165	162	11	3	0	327
40653828	161	158	15	3	0	319
48792844	161	158	15	3	0	319
56864356	160	157	16	3	0	317
65054372	159	156	17	3	0	315
73130112	156	152	20	4	0	308
81166712	156	152	20	4	0	308
89283920	156	150	20	6	0	306
97418640	154	147	22	7	0	301
105735712	153	145	23	8	0	298
113902032	148	140	28	8	0	288
121966680	145	137	31	8	0	282
130051616	140	132	36	8	0	272
138228496	140	131	36	9	0	271
146347120	140	131	36	9	0	271
154539008	140	129	36	11	0	269
162761808	138	127	38	11	0	265
170980512	134	122	42	12	0	256
179056096	133	121	43	12	0	254
187126528	133	121	43	12	0	254
195155456	131	118	45	13	0	249
203415776	130	117	46	13	0	247
211556928	126	111	50	15	0	237
219638544	123	107	53	16	0	230
227784896	122	104	54	18	0	226
235930320	121	103	55	18	0	224
243996352	117	98	59	19	0	215
252065616	115	95	61	20	0	210
260237824	115	94	61	21	0	209
268335536	113	90	63	23	0	203
276553536	113	90	63	23	0	203
284763968	110	85	66	25	0	195
292894304	108	82	68	26	0	190
301068096	106	79	70	27	0	185
309102368	106	79	70	27	0	185
317108928	105	78	71	27	0	183
325200192	105	77	71	28	0	182
333318880	104	75	72	29	0	179
341629952	104	75	72	29	0	179
349845984	103	74	73	29	0	177
357830368	103	74	73	29	0	177
365870848	101	72	75	29	0	173
374106016	101	72	75	29	0	173
382282976	101	72	75	29	0	173
390374432	100	71	76	29	0	171
398419296	99	70	77	29	0	169
406464608	98	69	77	30	1	167
414677088	97	66	78	32	1	163
422785760	97	66	78	32	1	163
430970272	96	65	79	32	1	161
439056288	95	63	80	33	1	158
447120416	95	63	80	33	1	158
455066720	95	63	80	33	1	158
463071808	95	62	80	34	1	157
471193536	93	60	82	34	1	153
479280928	93	58	82	36	1	151
487503744	92	57	83	36	1	149
495585248	91	56	84	36	1	147
503716800	90	54	85	37	1	144
511852160	90	54	85	37	1	144
520056384	89	51	86	39	1	140
528286496	88	49	87	40	1	137
536399328	87	47	88	41	1	134
544511680	87	47	88	41	1	134
552554304	87	47	88	41	1	134
560581248	86	46	89	41	1	132
568847680	86	46	89	41	1	132
577059072	84	44	91	41	1	128
585277184	83	42	92	42	1	125
593399488	83	40	92	44	1	123
601634624	83	40	92	44	1	123
609778944	83	40	92	44	1	123
617802944	83	40	92	44	1	123
625840384	82	38	93	45	1	120
633902784	82	38	93	45	1	120
642175232	81	37	94	45	1	118
650434368	81	37	94	45	1	118
658684800	80	36	95	45	1	116
666875968	80	36	95	45	1	116
675115584	79	35	96	45	1	114
683373632	79	35	96	45	1	114
691425536	79	34	96	46	1	113
699653248	79	33	96	47	1	112
707861376	79	33	96	47	1	112
716046912	79	32	96	48	1	111
724083584	79	32	96	48	1	111
732197760	78	31	97	48	1	109
740253824	78	31	97	48	1	109
748417984	78	31	97	48	1	109
756655680	78	31	97	48	1	109
764763648	78	31	97	48	1	109
772936256	77	30	98	48	1	107
781147328	77	30	98	48	1	107
789274560	77	30	98	48	1	107
797278080	77	30	98	48	1	107
805406272	77	29	98	49	1	106
813750336	77	29	98	49	1	106
821836608	76	28	99	49	1	104
829954240	75	27	100	49	1	102
838023040	75	27	100	49	1	102
846268544	75	27	100	49	1	102
854439936	74	26	101	49	1	100
862410368	74	26	101	49	1	100
870567872	74	26	101	49	1	100
878776192	73	25	102	49	1	98
886909888	73	25	102	49	1	98
895057728	73	25	102	49	1	98
903146880	73	25	102	49	1	98
911261824	72	23	103	50	1	95
919433024	72	23	103	50	1	95
