                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
        8155793.0000        173        173          3          0          0        346
       16362908.0000        173        173          3          0          0        346
       24548884.0000        171        171          5          0          0        342
       32622592.0000        171        171          5          0          0        342
       40759768.0000        170        170          6          0          0        340
       48906572.0000        170        169          6          1          0        339
       57005744.0000        168        167          8          1          0        335
       65175424.0000        168        167          8          1          0        335
       73309624.0000        168        167          8          1          0        335
       81474576.0000        168        166          8          2          0        334
       89667296.0000        166        164         10          2          0        330
       97697952.0000        164        162         12          2          0        326
      105734432.0000        161        158         15          3          0        319
      113994824.0000        160        157         16          3          0        317
      121966416.0000        160        157         16          3          0        317
      129998368.0000        159        155         17          4          0        314
      138282304.0000        157        152         19          5          0        309
      146304736.0000        156        148         20          8          0        304
      154596864.0000        154        146         22          8          0        300
      162817952.0000        153        145         23          8          0        298
      170743072.0000        153        145         23          8          0        298
      178882352.0000        153        144         23          9          0        297
      187000352.0000        153        143         23         10          0        296
      195091296.0000        152        141         24         11          0        293
      203133728.0000        151        140         25         11          0        291
      211276944.0000        149        137         27         12          0        286
      219346400.0000        149        135         27         14          0        284
      227490624.0000        148        134         28         14          0        282
      235560480.0000        148        134         28         14          0        282
      243655552.0000        147        131         29         16          0        278
      251933328.0000        143        126         33         17          0        269
      260143648.0000        141        122         35         19          0        263
      268377024.0000        140        121         36         19          0        261
      276584928.0000        139        120         37         19          0        259
      284809216.0000        138        115         38         23          0        253
      293034112.0000        138        114         38         24          0        252
      301237920.0000        138        111         38         27          0        249
      309365024.0000        138        111         38         27          0        249
      317322176.0000        138        111         38         27          0        249
      325360672.0000        136        107         40         29          0        243
      333565536.0000        136        106         40         30          0        242
      341572640.0000        136        105         40         31          0        241
      349814048.0000        136        104         40         32          0        240
      358053120.0000        135        103         41         32          0        238
      366191616.0000        133        100         43         33          0        233
      374467424.0000        133         99         43         34          0        232
      382455424.0000        132         97         44         35          0        229
      390613792.0000        132         94         44         38          0        226
      398751104.0000        131         93         45         38          0        224
      406922560.0000        131         92         45         39          0        223
      415137312.0000        130         91         46         39          0        221
      423285088.0000        130         91         46         39          0        221
      431349632.0000        127         87         49         40          0        214
      439499168.0000        124         84         52         40          0        208
      447557056.0000        123         83         53         40          0        206
      455760384.0000        122         82         54         40          0        204
      464042752.0000        122         81         54         41          0        203
      472319808.0000        122         79         54         43          0        201
      480376256.0000        121         76         55         45          0        197
      488491360.0000        119         74         57         45          0        193
      496610784.0000        119         74         57         45          0        193
      504685248.0000        118         73         58         45          0        191
      512811872.0000        117         72         59         45          0        189
      520958304.0000        117         72         59         45          0        189
      529092448.0000        115         67         61         48          0        182
      537368832.0000        112         62         64         50          0        174
      545540672.0000        112         62         64         50          0        174
      553511360.0000        109         59         67         50          0        168
      561657984.0000        109         58         67         51          0        167
      569634624.0000        108         57         68         51          0        165
      577766272.0000        108         57         68         51          0        165
      585727488.0000        108         56         68         52          0        164
      593826304.0000        108         55         68         53          0        163
      601970368.0000        106         52         70         54          0        158
      610074176.0000        106         52         70         54          0        158
      618276288.0000        105         50         71         55          0        155
      626525248.0000        104         49         72         55          0        153
      634747264.0000        104         49         72         55          0        153
      642943040.0000        104         49         72         55          0        153
      651123008.0000        102         47         74         55          0        149
      659343744.0000        102         47         74         55          0        149
      667455296.0000        102         46         74         56          0        148
      675669248.0000        102         45         74         57          0        147
      683767232.0000        101         44         75         57          0        145
      691920000.0000        101         44         75         57          0        145
      700025920.0000        101         43         75         58          0        144
      708143680.0000        101         43         75         58          0        144
      716298752.0000        101         43         75         58          0        144
      724603840.0000        101         43         75         58          0        144
      732636928.0000        101         43         75         58          0        144
      740624896.0000        101         43         75         58          0        144
      748679680.0000        101         43         75         58          0        144
      756946048.0000        101         43         75         58          0        144
      765092544.0000        101         43         75         58          0        144
      773145792.0000        101         43         75         58          0        144
      781383296.0000        101         43         75         58          0        144
      789508288.0000        101         42         75         59          0        143
      797640064.0000        101         42         75         59          0        143
      805665920.0000        101         42         75         59          0        143
      813827200.0000        101         42         75         59          0        143
      822023424.0000        101         42         75         59          0        143
      830172096.0000        101         42         75         59          0        143
      838335744.0000        101         42         75         59          0        143
      846445824.0000        100         41         76         59          0        141
      854635712.0000        100         41         76         59          0        141
      862738112.0000         99         40         77         59          0        139
      870767040.0000         99         40         77         59          0        139
      878811840.0000         98         39         78         59          0        137
      887007360.0000         98         38         78         60          0        136
      895142720.0000         98         38         78         60          0        136
      903321280.0000         97         37         79         60          0        134
      911390848.0000         97         37         79         60          0        134
      919504512.0000         95         35         81         60          0        130
      927704640.0000         95         35         81         60          0        130
      935822848.0000         95         35         81         60          0        130
      943926144.0000         95         35         81         60          0        130
      951897216.0000         95         35         81         60          0        130
      960133568.0000         95         35         81         60          0        130
      968223360.0000         94         34         82         60          0        128
      976299456.0000         94         34         82         60          0        128
      984219392.0000         94         34         82         60          0        128
      992367488.0000         94         34         82         60          0        128
     1000554880.0000         94         34         82         60          0        128
     1008557760.0000         94         33         82         61          0        127
     1016758400.0000         94         33         82         61          0        127
     1024966528.0000         94         33         82         61          0        127
     1033109696.0000         94         33         82         61          0        127
     1041273472.0000         94         33         82         61          0        127
     1049394176.0000         94         32         82         62          0        126
     1057656256.0000         94         32         82         62          0        126
     1065859008.0000         94         32         82         62          0        126
     1074032000.0000         94         32         82         62          0        126
     1082156160.0000         94         32         82         62          0        126
     1090347264.0000         92         31         83         62          1        123
     1098462976.0000         91         30         84         62          1        121
     1106516992.0000         91         30         84         62          1        121
     1114518912.0000         91         30         84         62          1        121
     1122566656.0000         91         29         84         63          1        120
     1130701824.0000         90         28         85         63          1        118
     1138852736.0000         90         28         85         63          1        118
     1147013376.0000         90         28         85         63          1        118
     1155132288.0000         90         28         85         63          1        118
     1163239424.0000         90         28         85         63          1        118
     1171522560.0000         90         28         85         63          1        118
     1179570048.0000         89         27         86         63          1        116
     1187830272.0000         89         27         86         63          1        116
     1195942272.0000         89         27         86         63          1        116
     1203991552.0000         89         27         86         63          1        116
     1212066304.0000         89         27         86         63          1        116
     1220111744.0000         88         26         87         63          1        114
     1228280576.0000         88         26         87         63          1        114
     1236344320.0000         87         25         88         63          1        112
     1244390144.0000         87         25         88         63          1        112
     1252407680.0000         87         25         88         63          1        112
     1260550784.0000         87         25         88         63          1        112
     1268605440.0000         87         25         88         63          1        112
     1276599040.0000         87         25         88         63          1        112
     1284665984.0000         87         25         88         63          1        112
     1292655744.0000         87         25         88         63          1        112
     1300815488.0000         87         25         88         63          1        112
     1308822656.0000         87         25         88         63          1        112
     1316915456.0000         86         24         89         63          1        110
     1324907648.0000         86         24         89         63          1        110
     1333034112.0000         86         24         89         63          1        110
     1341157888.0000         86         24         89         63          1        110
     1349393536.0000         86         24         89         63          1        110
     1357505152.0000         86         24         89         63          1        110
     1365653632.0000         86         24         89         63          1        110
     1373800576.0000         86         24         89         63          1        110
     1381871488.0000         86         24         89         63          1        110
     1389946624.0000         86         24         89         63          1        110
     1397960064.0000         86         24         89         63          1        110
     1406034944.0000         86         24         89         63          1        110
     1414102272.0000         86         24         89         63          1        110
     1422208512.0000         86         24         89         63          1        110
     1430356096.0000         86         24         89         63          1        110
     1438508288.0000         86         24         89         63          1        110
     1446727168.0000         85         23         90         63          1        108
     1454831360.0000         85         23         90         63          1        108
     1463061760.0000         85         23         90         63          1        108
     1471230208.0000         85         23         90         63          1        108
     1479427968.0000         84         22         91         63          1        106
     1487593600.0000         84         22         91         63          1        106
     1495669376.0000         84         22         91         63          1        106
     1503779072.0000         84         22         91         63          1        106
     1511901312.0000         84         22         91         63          1        106
     1520030336.0000         84         22         91         63          1        106
     1528070656.0000         84         22         91         63          1        106
     1536170752.0000         84         22         91         63          1        106
     1544297984.0000         84         22         91         63          1        106
     1552497536.0000         84         22         91         63          1        106
     1560611456.0000         84         22         91         63          1        106
     1568651008.0000         84         22         91         63          1        106
     1576737280.0000         84         22         91         63          1        106
     1584814464.0000         84         22         91         63          1        106
     1592942080.0000         84         22         91         63          1        106
     1600998144.0000         83         22         91         63          2        105
     1609112576.0000         83         22         91         63          2        105
     1617147264.0000         82         21         92         63          2        103
     1625192064.0000         82         21         92         63          2        103
     1633365376.0000         82         21         92         63          2        103
     1641691392.0000         82         21         92         63          2        103
     1649843328.0000         82         21         92         63          2        103
     1657906944.0000         82         21         92         63          2        103
     1666064000.0000         82         21         92         63          2        103
     1674292992.0000         82         21         92         63          2        103
     1682440704.0000         82         21         92         63          2        103
     1690665088.0000         82         21         92         63          2        103
     1698819328.0000         82         21         92         63          2        103
     1706781696.0000         82         21         92         63          2        103
     1714863616.0000         82         21         92         63          2        103
     1723025408.0000         82         21         92         63          2        103
     1731074816.0000         81         20         93         63          2        101
     1739162624.0000         81         20         93         63          2        101
     1747362688.0000         81         20         93         63          2        101
     1755631232.0000         81         20         93         63          2        101
     1763779200.0000         81         20         93         63          2        101
     1771865984.0000         81         20         93         63          2        101
     1780109568.0000         81         20         93         63          2        101
     1788285184.0000         81         20         93         63          2        101
     1796519936.0000         81         20         93         63          2        101
     1804702208.0000         81         20         93         63          2        101
     1812733952.0000         81         20         93         63          2        101
     1820764032.0000         81         20         93         63          2        101
     1828799744.0000         80         19         94         63          2         99
     1837115136.0000         80         19         94         63          2         99
     1845005696.0000         80         19         94         63          2         99
     1853209856.0000         80         19         94         63          2         99
     1861407360.0000         80         19         94         63          2         99
     1869550336.0000         80         19         94         63          2         99
     1877565440.0000         80         19         94         63          2         99
     1885668096.0000         80         19         94         63          2         99
     1893801472.0000         79         18         95         63          2         97
     1901914112.0000         79         18         95         63          2         97
     1910045440.0000         79         18         95         63          2         97
     1918088704.0000         79         18         95         63          2         97
     1926296832.0000         79         18         95         63          2         97
     1934304128.0000         79         18         95         63          2         97
     1942449408.0000         79         18         95         63          2         97
     1950726144.0000         79         18         95         63          2         97
     1958743168.0000         79         18         95         63          2         97
     1966853632.0000         79         18         95         63          2         97
     1974923648.0000         79         18         95         63          2         97
     1983195392.0000         79         18         95         63          2         97
     1991308544.0000         79         18         95         63          2         97
     1999390720.0000         79         18         95         63          2         97
     2007373696.0000         79         18         95         63          2         97
     2015569024.0000         79         18         95         63          2         97
     2023739520.0000         79         18         95         63          2         97
     2031802496.0000         79         18         95         63          2         97
     2039861504.0000         79         18         95         63          2         97
     2047987072.0000         78         17         96         63          2         95
     2056218496.0000         78         17         96         63          2         95
     2064262528.0000         78         17         96         63          2         95
     2072140416.0000         78         17         96         63          2         95
     2080267520.0000         78         17         96         63          2         95
     2088391680.0000         78         17         96         63          2         95
     2096597248.0000         78         17         96         63          2         95
     2104706048.0000         78         17         96         63          2         95
     2112828160.0000         78         17         96         63          2         95
     2121015552.0000         78         17         96         63          2         95
     2129255552.0000         78         17         96         63          2         95
     2137441280.0000         78         17         96         63          2         95
     2145692928.0000         78         17         96         63          2         95
     2153826048.0000         78         17         96         63          2         95
     2161824512.0000         78         17         96         63          2         95
     2169947136.0000         78         17         96         63          2         95
     2178148864.0000         78         17         96         63          2         95
     2186379520.0000         78         17         96         63          2         95
     2194513664.0000         78         17         96         63          2         95
     2202599168.0000         78         17         96         63          2         95
     2210621696.0000         78         17         96         63          2         95
     2218783744.0000         78         17         96         63          2         95
     2226999808.0000         78         17         96         63          2         95
     2235165184.0000         78         17         96         63          2         95
     2243243520.0000         78         17         96         63          2         95
     2251255808.0000         78         17         96         63          2         95
     2259452160.0000         78         17         96         63          2         95
     2267605504.0000         78         17         96         63          2         95
     2275804160.0000         78         17         96         63          2         95
     2283925760.0000         78         17         96         63          2         95
     2292050432.0000         78         17         96         63          2         95
     2300290048.0000         78         17         96         63          2         95
     2308583936.0000         78         17         96         63          2         95
     2316523264.0000         78         17         96         63          2         95
     2324454400.0000         78         17         96         63          2         95
     2332432640.0000         78         17         96         63          2         95
     2340421376.0000         78         17         96         63          2         95
     2348579840.0000         78         17         96         63          2         95
     2356674048.0000         78         17         96         63          2         95
     2364768256.0000         78         17         96         63          2         95
     2372843264.0000         78         17         96         63          2         95
     2381041408.0000         78         17         96         63          2         95
     2389000960.0000         78         17         96         63          2         95
     2397050368.0000         78         17         96         63          2         95
     2404987392.0000         78         17         96         63          2         95
     2413081088.0000         78         17         96         63          2         95
     2421107712.0000         78         17         96         63          2         95
     2429174016.0000         78         17         96         63          2         95
     2437179648.0000         78         17         96         63          2         95
     2445264896.0000         78         17         96         63          2         95
     2453418752.0000         78         17         96         63          2         95
     2461568000.0000         78         17         96         63          2         95
     2469609472.0000         78         17         96         63          2         95
     2477664256.0000         78         17         96         63          2         95
     2485708800.0000         78         17         96         63          2         95
     2493873664.0000         78         17         96         63          2         95
     2501818624.0000         78         17         96         63          2         95
     2509964800.0000         78         17         96         63          2         95
     2517930752.0000         78         17         96         63          2         95
     2526146304.0000         78         17         96         63          2         95
     2534252800.0000         78         17         96         63          2         95
     2542318080.0000         78         17         96         63          2         95
     2550493696.0000         78         17         96         63          2         95
     2558608384.0000         78         17         96         63          2         95
     2566616832.0000         78         17         96         63          2         95
     2574619648.0000         78         17         96         63          2         95
     2582629376.0000         78         17         96         63          2         95
     2590780160.0000         78         17         96         63          2         95
     2598793984.0000         78         16         96         64          2         94
     2606844672.0000         78         16         96         64          2         94
     2614932224.0000         78         16         96         64          2         94
     2623051520.0000         78         16         96         64          2         94
     2631291648.0000         78         16         96         64          2         94
     2639413248.0000         78         16         96         64          2         94
     2647545344.0000         78         16         96         64          2         94
     2655554560.0000         77         15         97         64          2         92
     2663681792.0000         77         15         97         64          2         92
     2672021248.0000         77         15         97         64          2         92
     2680187648.0000         77         15         97         64          2         92
     2688165376.0000         77         15         97         64          2         92
     2696440320.0000         76         14         98         64          2         90
     2704506368.0000         76         14         98         64          2         90
     2712434688.0000         76         14         98         64          2         90
     2720615936.0000         76         14         98         64          2         90
     2728834816.0000         76         14         98         64          2         90
     2736940800.0000         76         14         98         64          2         90
     2744982016.0000         76         14         98         64          2         90
     2753169920.0000         76         13         98         65          2         89
     2761392128.0000         76         13         98         65          2         89
     2769518336.0000         76         13         98         65          2         89
     2777580032.0000         76         13         98         65          2         89
     2785706240.0000         76         13         98         65          2         89
     2793788672.0000         76         13         98         65          2         89
     2801809664.0000         76         13         98         65          2         89
     2809967360.0000         76         13         98         65          2         89
     2817889024.0000         76         13         98         65          2         89
     2825888512.0000         76         13         98         65          2         89
     2834120448.0000         76         13         98         65          2         89
     2842238464.0000         76         13         98         65          2         89
     2850400768.0000         76         13         98         65          2         89
     2858487296.0000         76         13         98         65          2         89
     2866770432.0000         76         13         98         65          2         89
     2874936576.0000         76         13         98         65          2         89
     2883143680.0000         76         13         98         65          2         89
     2891078912.0000         76         13         98         65          2         89
     2899238144.0000         76         13         98         65          2         89
     2907236608.0000         76         13         98         65          2         89
     2915442176.0000         76         13         98         65          2         89
     2923764480.0000         76         13         98         65          2         89
     2932035072.0000         76         13         98         65          2         89
     2940172032.0000         76         13         98         65          2         89
     2948162560.0000         76         13         98         65          2         89
     2956151552.0000         76         13         98         65          2         89
     2964176896.0000         76         13         98         65          2         89
     2972194816.0000         76         13         98         65          2         89
     2980260608.0000         76         13         98         65          2         89
     2988446208.0000         76         13         98         65          2         89
     2996563712.0000         76         13         98         65          2         89
     3004589312.0000         76         13         98         65          2         89
     3012682496.0000         76         13         98         65          2         89
