                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
        8268511.0000        175        175          1          0          0        350
       16382727.0000        174        174          2          0          0        348
       24559218.0000        174        174          2          0          0        348
       32508554.0000        172        172          4          0          0        344
       40616440.0000        168        167          8          1          0        335
       48835064.0000        166        165         10          1          0        331
       56988184.0000        165        163         11          2          0        328
       65234364.0000        160        158         16          2          0        318
       73305976.0000        160        158         16          2          0        318
       81280104.0000        160        157         16          3          0        317
       89533680.0000        160        154         16          6          0        314
       97657736.0000        154        147         22          7          0        301
      105801440.0000        153        146         23          7          0        299
      114075696.0000        152        145         24          7          0        297
      122213664.0000        151        144         25          7          0        295
      130110192.0000        151        142         25          9          0        293
      138353968.0000        151        141         25         10          0        292
      146666176.0000        151        139         25         12          0        290
      154914080.0000        149        137         27         12          0        286
      162971088.0000        149        135         27         14          0        284
      171158192.0000        149        135         27         14          0        284
      179226368.0000        149        134         27         15          0        283
      187321600.0000        145        127         31         18          0        272
      195447840.0000        145        127         31         18          0        272
      203609568.0000        144        122         32         22          0        266
      211869120.0000        143        120         33         23          0        263
      219976864.0000        143        120         33         23          0        263
      228150624.0000        143        119         33         24          0        262
      236246336.0000        140        115         36         25          0        255
      244387072.0000        138        112         38         26          0        250
      252582224.0000        137        108         39         29          0        245
      260716512.0000        134        103         42         31          0        237
      269010592.0000        134        103         42         31          0        237
      277250304.0000        134        103         42         31          0        237
      285335936.0000        134        101         42         33          0        235
      293486432.0000        133         98         43         35          0        231
      301623584.0000        133         98         43         35          0        231
      309801696.0000        130         94         46         36          0        224
      317885280.0000        126         89         50         37          0        215
      325955744.0000        126         88         50         38          0        214
      334098848.0000        125         84         51         41          0        209
      342228672.0000        124         83         52         41          0        207
      350324096.0000        122         80         54         42          0        202
      358728224.0000        122         80         54         42          0        202
      366852992.0000        122         80         54         42          0        202
      375050400.0000        121         78         55         43          0        199
      383321312.0000        117         74         59         43          0        191
      391497440.0000        117         70         59         47          0        187
      399634912.0000        115         68         61         47          0        183
      407807520.0000        114         66         62         48          0        180
      415942656.0000        112         63         64         49          0        175
      424204384.0000        112         62         64         50          0        174
      432486432.0000        111         59         65         52          0        170
      440657216.0000        110         58         66         52          0        168
      448923904.0000        110         58         66         52          0        168
      457163584.0000        110         56         66         54          0        166
      465264352.0000        110         55         66         55          0        165
      473463360.0000        110         55         66         55          0        165
      481605728.0000        110         55         66         55          0        165
      489735840.0000        110         55         66         55          0        165
      497786560.0000        110         55         66         55          0        165
      505869728.0000        108         53         68         55          0        161
      514004128.0000        108         52         68         56          0        160
      522127968.0000        108         52         68         56          0        160
      530274304.0000        108         51         68         57          0        159
      538377536.0000        108         50         68         58          0        158
      546554048.0000        106         48         70         58          0        154
      554666880.0000        104         46         72         58          0        150
      562827008.0000        103         45         73         58          0        148
      570912448.0000        103         45         73         58          0        148
      579031872.0000        101         42         75         59          0        143
      587275840.0000         99         40         77         59          0        139
      595448768.0000         99         39         77         60          0        138
      603528064.0000         99         39         77         60          0        138
      611601920.0000         98         38         78         60          0        136
      619802560.0000         97         37         79         60          0        134
      627931776.0000         97         37         79         60          0        134
      636124672.0000         97         37         79         60          0        134
      644173952.0000         95         34         81         61          0        129
      652319936.0000         95         34         81         61          0        129
      660473408.0000         95         33         81         62          0        128
      668534848.0000         95         33         81         62          0        128
      676600128.0000         95         33         81         62          0        128
      684755520.0000         95         33         81         62          0        128
      692831104.0000         94         32         82         62          0        126
      701024192.0000         94         32         82         62          0        126
      709045184.0000         94         32         82         62          0        126
      717119552.0000         94         32         82         62          0        126
      725223360.0000         94         32         82         62          0        126
