Time	Interstls	Vacancies	Recmbtns	VcncySfc	IntlnSfc	defects
0	176	176	0	0	0	352
480052.8125	145	142	31	3	0	287
1479417	66	47	110	19	0	113
6751765	40	9	136	31	0	49
20212248	35	3	141	32	0	38
43467604	34	3	141	32	1	37
66798308	34	3	141	32	1	37
90253072	32	3	141	32	3	35
113781896	32	3	141	32	3	35
137422272	31	3	141	32	4	34
160928656	31	3	141	32	4	34
192098768	30	2	142	32	4	32
225584944	29	2	142	32	5	31
259022320	28	2	142	32	6	30
293262848	27	2	142	32	7	29
327268128	27	2	142	32	7	29
361334048	27	2	142	32	7	29
398612096	24	1	143	32	9	25
459882144	21	1	143	32	12	22
522777888	19	1	143	32	14	20
586782528	18	1	143	32	15	19
653047936	15	1	143	32	18	16
719905408	14	1	143	32	19	15
787488896	14	1	143	32	19	15
855247680	14	1	143	32	19	15
922737088	13	1	143	32	20	14
991041024	13	1	143	32	20	14
1059587008	13	1	143	32	20	14
1128028288	13	1	143	32	20	14
1196593408	13	1	143	32	20	14
1265729664	12	1	143	32	21	13
1334815488	12	1	143	32	21	13
1404231808	12	1	143	32	21	13
1473666944	12	1	143	32	21	13
1543081600	12	1	143	32	21	13
1612633344	12	1	143	32	21	13
1682071552	12	1	143	32	21	13
1751564160	12	1	143	32	21	13
1820812032	12	1	143	32	21	13
1891042560	11	1	143	32	22	12
1961427712	10	1	143	32	23	11
2033247744	9	1	143	32	24	10
2105348608	9	1	143	32	24	10
2177598208	9	1	143	32	24	10
2248908544	9	1	143	32	24	10
2320644096	9	1	143	32	24	10
2392725504	9	1	143	32	24	10
2464812032	9	1	143	32	24	10
2537119744	9	1	143	32	24	10
2609180160	9	1	143	32	24	10
2681174784	9	1	143	32	24	10
2753190400	9	1	143	32	24	10
2825268736	9	1	143	32	24	10
2897293056	9	1	143	32	24	10
2969433856	9	1	143	32	24	10
3041284864	9	1	143	32	24	10
3112935424	9	1	143	32	24	10
3184985088	9	1	143	32	24	10
3257017088	9	1	143	32	24	10
3329008384	9	1	143	32	24	10
3400881920	9	1	143	32	24	10
3472863744	9	1	143	32	24	10
3545408512	9	1	143	32	24	10
3617389056	9	1	143	32	24	10
3689256960	9	1	143	32	24	10
3761188096	9	1	143	32	24	10
3833201920	9	1	143	32	24	10
3905421824	9	1	143	32	24	10
3977644288	9	1	143	32	24	10
4049750272	9	1	143	32	24	10
4121775616	9	1	143	32	24	10
4193664768	9	1	143	32	24	10
4265646848	9	1	143	32	24	10
4337052160	9	1	143	32	24	10
4407836160	9	1	143	32	24	10
4478790656	8	1	143	32	25	9
4550987776	8	1	143	32	25	9
4623071744	8	1	143	32	25	9
4694732800	8	1	143	32	25	9
4766439936	8	1	143	32	25	9
4838130688	8	1	143	32	25	9
4910002688	8	1	143	32	25	9
5305207808	7	0	144	32	25	7
6126823936	6	0	144	32	26	6
6988443648	6	0	144	32	26	6
7919388672	5	0	144	32	27	5
8961562624	5	0	144	32	27	5
10001470464	5	0	144	32	27	5
11042277376	5	0	144	32	27	5
12074249216	5	0	144	32	27	5
13109171200	5	0	144	32	27	5
14146600960	5	0	144	32	27	5
15186046976	5	0	144	32	27	5
16225107968	5	0	144	32	27	5
17263456256	5	0	144	32	27	5
18297931776	5	0	144	32	27	5
19451641856	4	0	144	32	28	4
20747493376	4	0	144	32	28	4
22071797760	3	0	144	32	29	3
23793383424	3	0	144	32	29	3
