                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
             54.7171        176        176          0          0          0        352
            135.5820        176        176          0          0          0        352
            176.6600        176        176          0          0          0        352
            205.3425        176        176          0          0          0        352
            238.1289        176        176          0          0          0        352
            297.9968        176        176          0          0          0        352
            358.2571        176        176          0          0          0        352
            394.9129        176        176          0          0          0        352
            460.8715        176        176          0          0          0        352
            484.8141        176        176          0          0          0        352
            512.5204        176        176          0          0          0        352
            544.9698        176        176          0          0          0        352
            603.6574        176        176          0          0          0        352
            678.3740        176        176          0          0          0        352
            717.2065        176        176          0          0          0        352
            740.2117        176        176          0          0          0        352
            781.6048        176        176          0          0          0        352
            827.7136        176        176          0          0          0        352
            882.5918        176        176          0          0          0        352
            933.3262        176        176          0          0          0        352
           1366.6871        176        176          0          0          0        352
           1810.7275        176        176          0          0          0        352
           2288.8406        176        176          0          0          0        352
           2803.4927        176        176          0          0          0        352
           3237.7400        176        176          0          0          0        352
           3647.9348        176        176          0          0          0        352
           4198.3521        176        176          0          0          0        352
           4564.1099        176        176          0          0          0        352
           5013.5811        176        176          0          0          0        352
           5460.3633        176        176          0          0          0        352
           5910.1011        176        176          0          0          0        352
           6331.4507        176        176          0          0          0        352
           6803.0996        176        176          0          0          0        352
           7204.2715        176        176          0          0          0        352
           7722.4590        176        176          0          0          0        352
           8118.2188        176        176          0          0          0        352
           8575.6328        176        176          0          0          0        352
           9021.3818        176        176          0          0          0        352
           9458.9492        176        176          0          0          0        352
           9963.1318        176        176          0          0          0        352
          10478.1738        176        176          0          0          0        352
          10925.7002        176        176          0          0          0        352
          11361.1826        176        176          0          0          0        352
          11812.4219        176        176          0          0          0        352
          12349.7627        176        176          0          0          0        352
          12858.3574        176        176          0          0          0        352
          13218.4043        176        176          0          0          0        352
          13708.9775        176        176          0          0          0        352
          14142.5156        176        176          0          0          0        352
          14684.6484        176        176          0          0          0        352
          15087.1396        176        176          0          0          0        352
          15470.1221        176        176          0          0          0        352
          15915.6748        176        176          0          0          0        352
          16385.1465        176        176          0          0          0        352
          16766.9570        173        173          3          0          0        346
          17231.6582        173        173          3          0          0        346
          17670.5586        173        173          3          0          0        346
          18130.4629        173        173          3          0          0        346
          18602.4434        173        173          3          0          0        346
          19077.9238        173        173          3          0          0        346
          19632.8145        173        173          3          0          0        346
          20037.7910        173        173          3          0          0        346
          20511.5684        173        173          3          0          0        346
          20989.8613        173        173          3          0          0        346
          21457.8516        173        173          3          0          0        346
          21921.3750        173        173          3          0          0        346
          22352.0684        171        171          5          0          0        342
          22830.8633        171        171          5          0          0        342
          23225.5957        171        171          5          0          0        342
          23716.1055        171        171          5          0          0        342
          24211.3809        171        171          5          0          0        342
          24655.2559        171        171          5          0          0        342
          25123.4551        171        171          5          0          0        342
