                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
              2.1768        176        176          0          0          0        352
             15.0524        176        176          0          0          0        352
             21.5328        176        176          0          0          0        352
             22.1344        176        176          0          0          0        352
             41.2529        176        176          0          0          0        352
             48.6363        176        176          0          0          0        352
             50.1104        176        176          0          0          0        352
             54.9382        176        176          0          0          0        352
             56.6220        176        176          0          0          0        352
             63.4504        176        176          0          0          0        352
             76.1143        176        176          0          0          0        352
             85.3166        176        176          0          0          0        352
             87.6620        176        176          0          0          0        352
             90.9430        176        176          0          0          0        352
             96.2078        176        176          0          0          0        352
             99.7296        176        176          0          0          0        352
            117.9647        176        176          0          0          0        352
            169.1105        176        176          0          0          0        352
            224.6489        176        176          0          0          0        352
            276.7098        176        176          0          0          0        352
            332.4686        176        176          0          0          0        352
            390.1121        176        176          0          0          0        352
            440.3865        176        176          0          0          0        352
            505.7580        176        176          0          0          0        352
            571.1914        176        176          0          0          0        352
            604.8820        176        176          0          0          0        352
            656.1552        176        176          0          0          0        352
            693.3398        176        176          0          0          0        352
            763.1808        176        176          0          0          0        352
            792.7001        176        176          0          0          0        352
            838.0336        176        176          0          0          0        352
            876.3264        176        176          0          0          0        352
            931.2831        176        176          0          0          0        352
            958.8864        176        176          0          0          0        352
           1013.8822        176        176          0          0          0        352
           1428.7362        175        175          1          0          0        350
           1916.1559        175        175          1          0          0        350
           2449.6851        175        175          1          0          0        350
           2904.3645        175        175          1          0          0        350
           3541.0442        175        175          1          0          0        350
           3879.8057        175        175          1          0          0        350
           4265.2905        175        175          1          0          0        350
           4692.1558        175        175          1          0          0        350
           5231.8843        175        175          1          0          0        350
           5691.9185        175        175          1          0          0        350
           6142.8472        175        175          1          0          0        350
           6600.3848        175        175          1          0          0        350
           7056.4175        175        175          1          0          0        350
           7551.7383        175        175          1          0          0        350
           7987.6357        175        175          1          0          0        350
           8472.1035        175        175          1          0          0        350
           9025.8643        175        175          1          0          0        350
           9502.4346        175        175          1          0          0        350
           9957.2002        175        175          1          0          0        350
          10441.1309        175        175          1          0          0        350
