                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        175        175          1          0          0        350
              2.1499        174        174          2          0          0        348
              3.8193        173        173          3          0          0        346
              7.7764        173        173          3          0          0        346
             12.2861        173        173          3          0          0        346
             20.5974        173        173          3          0          0        346
             22.2265        173        173          3          0          0        346
             30.1370        173        173          3          0          0        346
             43.8087        173        173          3          0          0        346
             55.4624        173        173          3          0          0        346
             63.4699        173        173          3          0          0        346
             71.4698        173        173          3          0          0        346
             71.8073        173        173          3          0          0        346
             76.1314        173        173          3          0          0        346
             77.1871        173        173          3          0          0        346
             84.8136        173        173          3          0          0        346
             86.7854        173        173          3          0          0        346
             92.2012        173        173          3          0          0        346
             93.3761        173        173          3          0          0        346
             94.3820        173        173          3          0          0        346
            107.2519        173        173          3          0          0        346
            175.6855        173        173          3          0          0        346
            273.1748        173        173          3          0          0        346
            331.7259        173        173          3          0          0        346
            389.9403        173        173          3          0          0        346
            458.4033        173        173          3          0          0        346
            526.1476        173        173          3          0          0        346
            555.1365        173        173          3          0          0        346
            600.6218        173        173          3          0          0        346
            662.8632        173        173          3          0          0        346
            724.7078        173        173          3          0          0        346
            763.7020        173        173          3          0          0        346
            835.2430        173        173          3          0          0        346
            948.2032        173        173          3          0          0        346
            992.7957        173        173          3          0          0        346
           1231.3276        173        173          3          0          0        346
           1946.2498        173        173          3          0          0        346
           2620.2271        173        173          3          0          0        346
           3174.6324        173        173          3          0          0        346
           3782.3791        173        173          3          0          0        346
           4454.3431        173        173          3          0          0        346
           5043.5422        173        173          3          0          0        346
           5673.6413        173        173          3          0          0        346
           6295.4615        173        173          3          0          0        346
           6946.5471        173        173          3          0          0        346
           7593.3072        173        173          3          0          0        346
           8154.2875        173        173          3          0          0        346
           8664.8769        173        173          3          0          0        346
           9269.1829        173        173          3          0          0        346
           9885.7988        173        173          3          0          0        346
          10569.1178        173        173          3          0          0        346
          11192.5243        173        173          3          0          0        346
          11904.1918        173        173          3          0          0        346
          12566.6623        173        173          3          0          0        346
          13196.9551        173        173          3          0          0        346
          13879.9239        173        173          3          0          0        346
          14423.9036        173        173          3          0          0        346
          15035.6876        173        173          3          0          0        346
          15649.1922        173        173          3          0          0        346
          16302.3625        173        173          3          0          0        346
          16926.9691        173        173          3          0          0        346
          17547.7688        173        173          3          0          0        346
          18209.3012        173        173          3          0          0        346
          18828.2816        173        173          3          0          0        346
          19522.9503        173        173          3          0          0        346
          20027.8598        173        173          3          0          0        346
          20645.8477        173        173          3          0          0        346
          21359.6195        173        173          3          0          0        346
          21851.6847        173        173          3          0          0        346
          22508.0414        173        173          3          0          0        346
          23167.3328        173        173          3          0          0        346
          23813.4557        173        173          3          0          0        346
          24440.7966        173        173          3          0          0        346
          25071.7911        173        172          3          1          0        345
          25659.4055        173        172          3          1          0        345
          26337.4516        173        172          3          1          0        345
          26900.8271        173        172          3          1          0        345
          27541.6269        173        172          3          1          0        345
          28137.3918        173        172          3          1          0        345
          28773.3955        173        172          3          1          0        345
          29464.6191        173        172          3          1          0        345
          30030.6067        173        172          3          1          0        345
          30640.6433        173        172          3          1          0        345
          31376.7800        173        172          3          1          0        345
          32119.3386        173        172          3          1          0        345
          32666.7598        173        172          3          1          0        345
          33221.9742        173        172          3          1          0        345
          33881.5898        173        172          3          1          0        345
          34526.3854        173        172          3          1          0        345
          35163.6605        173        172          3          1          0        345
          35830.5913        173        172          3          1          0        345
          36463.8981        173        172          3          1          0        345
          37121.7380        173        172          3          1          0        345
          37762.0531        173        172          3          1          0        345
          38383.0797        173        172          3          1          0        345
          38942.3904        173        172          3          1          0        345
          39557.6363        173        172          3          1          0        345
          40123.8048        173        172          3          1          0        345
          40739.2417        173        172          3          1          0        345
          41364.1294        173        172          3          1          0        345
          42047.4601        173        172          3          1          0        345
          42615.9790        173        172          3          1          0        345
          43256.5361        173        172          3          1          0        345
          43899.8136        173        172          3          1          0        345
          44470.6745        173        172          3          1          0        345
          45139.4924        173        172          3          1          0        345
          45771.6440        173        172          3          1          0        345
          46361.9965        173        172          3          1          0        345
          46862.5990        173        172          3          1          0        345
          47521.7469        173        172          3          1          0        345
          48170.5326        173        172          3          1          0        345
          48694.1509        173        172          3          1          0        345
          49349.9819        173        172          3          1          0        345
          49985.1837        173        172          3          1          0        345
          50679.6299        173        172          3          1          0        345
          51369.3103        173        172          3          1          0        345
          52016.4615        173        172          3          1          0        345
          52576.9581        173        172          3          1          0        345
          53194.9378        173        172          3          1          0        345
          53731.9886        173        172          3          1          0        345
          54288.7908        173        172          3          1          0        345
          54945.1592        173        172          3          1          0        345
          55669.5337        173        172          3          1          0        345
          56177.6874        173        172          3          1          0        345
          56887.1037        173        172          3          1          0        345
          57579.9935        173        172          3          1          0        345
          58127.8063        173        172          3          1          0        345
          58777.2549        173        172          3          1          0        345
          59316.4422        173        172          3          1          0        345
          59973.7685        173        172          3          1          0        345
          60539.2662        173        172          3          1          0        345
          61310.4339        173        172          3          1          0        345
          61970.2732        173        172          3          1          0        345
          62538.0497        173        172          3          1          0        345
          63113.4770        173        172          3          1          0        345
          63759.2564        173        172          3          1          0        345
          64360.7228        173        172          3          1          0        345
          65101.8462        173        172          3          1          0        345
          65816.9622        173        172          3          1          0        345
          66435.2192        173        172          3          1          0        345
          67055.8785        173        172          3          1          0        345
          67625.6982        173        172          3          1          0        345
          68147.9512        173        172          3          1          0        345
          68794.4108        173        172          3          1          0        345
          69367.7298        173        172          3          1          0        345
          69898.1816        173        172          3          1          0        345
          70579.0847        173        172          3          1          0        345
          71156.2740        173        172          3          1          0        345
          71747.9419        173        172          3          1          0        345
          72388.4549        173        172          3          1          0        345
          73025.0178        173        172          3          1          0        345
          73659.8320        173        172          3          1          0        345
          74342.8916        173        172          3          1          0        345
          75010.6290        173        172          3          1          0        345
          75603.5689        173        172          3          1          0        345
          76404.2222        173        172          3          1          0        345
          77065.8176        173        172          3          1          0        345
          77716.6214        173        172          3          1          0        345
          78400.6112        173        172          3          1          0        345
          79067.5817        173        172          3          1          0        345
          79700.7512        173        172          3          1          0        345
          80442.0786        173        172          3          1          0        345
          81021.0072        173        172          3          1          0        345
          81728.7670        173        172          3          1          0        345
          82328.8259        173        172          3          1          0        345
          82932.2055        173        172          3          1          0        345
          83512.6192        173        172          3          1          0        345
          84092.3805        173        172          3          1          0        345
          84780.3326        173        172          3          1          0        345
          85351.2826        173        172          3          1          0        345
          85989.7294        173        172          3          1          0        345
          86680.4763        173        172          3          1          0        345
          87267.5490        173        172          3          1          0        345
          87891.6356        173        172          3          1          0        345
          88480.9085        173        172          3          1          0        345
          89077.1857        173        172          3          1          0        345
          89604.5241        173        172          3          1          0        345
          90307.1337        173        172          3          1          0        345
          90965.3003        173        172          3          1          0        345
          91598.1545        173        172          3          1          0        345
          92226.7185        173        172          3          1          0        345
          92804.0462        173        172          3          1          0        345
          93504.6800        173        172          3          1          0        345
          94160.3127        173        172          3          1          0        345
          94760.9078        172        171          4          1          0        343
          95407.7841        172        171          4          1          0        343
          96083.5595        172        171          4          1          0        343
          96753.8417        171        170          5          1          0        341
          97438.3075        171        170          5          1          0        341
          98039.5450        170        169          6          1          0        339
          98780.3653        170        169          6          1          0        339
          99285.4560        170        169          6          1          0        339
          99911.5289        170        169          6          1          0        339
         100561.1666        170        169          6          1          0        339
         107067.8991        165        164         11          1          0        329
         113767.1730        164        163         12          1          0        327
         120567.3338        164        163         12          1          0        327
         127348.6176        164        163         12          1          0        327
         133959.1336        164        163         12          1          0        327
         140687.5922        162        161         14          1          0        323
         147288.8282        162        161         14          1          0        323
         154014.4398        162        161         14          1          0        323
         160872.1862        162        161         14          1          0        323
         167600.4631        162        161         14          1          0        323
         174698.1607        162        161         14          1          0        323
         181521.6399        162        161         14          1          0        323
         188003.6370        162        161         14          1          0        323
         194768.9481        162        161         14          1          0        323
         201804.2821        162        161         14          1          0        323
         208531.0591        162        161         14          1          0        323
         215338.5946        162        161         14          1          0        323
         221685.2801        162        161         14          1          0        323
         228810.6309        162        161         14          1          0        323
         235546.6971        162        161         14          1          0        323
         242682.7371        162        161         14          1          0        323
         249365.5703        162        160         14          2          0        322
         256129.1325        162        160         14          2          0        322
         262555.7527        162        160         14          2          0        322
         269265.3488        162        160         14          2          0        322
         276130.9853        162        160         14          2          0        322
         282807.1779        161        159         15          2          0        320
         289809.6859        161        159         15          2          0        320
         296940.0569        161        159         15          2          0        320
         303984.8413        161        159         15          2          0        320
         310781.0512        160        158         16          2          0        318
         318049.3027        160        158         16          2          0        318
         325286.3310        160        158         16          2          0        318
         332327.6467        160        158         16          2          0        318
         339013.6002        160        158         16          2          0        318
         345519.7266        160        158         16          2          0        318
         352488.9656        160        158         16          2          0        318
         359407.6149        160        158         16          2          0        318
         365955.7928        160        158         16          2          0        318
