                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
              4.7227        176        176          0          0          0        352
              7.3508        176        176          0          0          0        352
             18.3684        176        176          0          0          0        352
             22.9567        176        176          0          0          0        352
             31.9752        176        176          0          0          0        352
             38.7182        176        176          0          0          0        352
             54.4476        176        176          0          0          0        352
             72.9302        176        176          0          0          0        352
             73.3133        176        176          0          0          0        352
             77.8379        176        176          0          0          0        352
             95.8192        176        176          0          0          0        352
            175.3443        176        176          0          0          0        352
            206.1026        176        176          0          0          0        352
            269.4539        176        176          0          0          0        352
            349.5970        176        176          0          0          0        352
            402.5180        176        176          0          0          0        352
            486.8352        176        176          0          0          0        352
            529.8138        176        176          0          0          0        352
            572.0787        176        176          0          0          0        352
            660.8191        176        176          0          0          0        352
            721.9813        176        176          0          0          0        352
            793.7620        176        176          0          0          0        352
            848.2717        176        176          0          0          0        352
            928.6514        176        176          0          0          0        352
            965.0314        176        176          0          0          0        352
           1202.0464        176        176          0          0          0        352
           1712.1792        176        176          0          0          0        352
           2266.8812        172        172          4          0          0        344
           2917.2255        172        172          4          0          0        344
           3708.7397        172        172          4          0          0        344
           4248.0178        172        172          4          0          0        344
           4964.8791        172        172          4          0          0        344
           5537.0905        171        171          5          0          0        342
           6194.8906        171        171          5          0          0        342
           6870.6859        163        163         13          0          0        326
           7731.4561        163        163         13          0          0        326
           8532.7309        163        163         13          0          0        326
           9175.4678        163        163         13          0          0        326
           9926.7059        163        163         13          0          0        326
          10584.5005        163        163         13          0          0        326
          11211.2855        163        163         13          0          0        326
          11990.0420        163        163         13          0          0        326
          12612.4866        163        163         13          0          0        326
          13319.9305        163        163         13          0          0        326
          13971.6835        163        163         13          0          0        326
          14687.3699        159        159         17          0          0        318
          15379.6918        157        157         19          0          0        314
          15983.3618        157        157         19          0          0        314
          16762.6475        156        156         20          0          0        312
          17466.7382        156        156         20          0          0        312
          18103.4426        156        156         20          0          0        312
          18693.8448        156        156         20          0          0        312
          19517.8105        156        156         20          0          0        312
          20132.4957        156        156         20          0          0        312
          20854.3346        156        156         20          0          0        312
          21513.1442        156        156         20          0          0        312
          22146.5533        156        156         20          0          0        312
          22949.2331        156        156         20          0          0        312
          23628.7545        150        150         26          0          0        300
          24414.7532        150        150         26          0          0        300
          24987.7860        150        150         26          0          0        300
          25676.5917        150        150         26          0          0        300
          26332.2260        150        150         26          0          0        300
          26983.4597        150        150         26          0          0        300
          27790.5921        150        150         26          0          0        300
          28417.6344        150        150         26          0          0        300
          29113.6474        150        150         26          0          0        300
          29878.3588        150        150         26          0          0        300
          30552.2017        150        150         26          0          0        300
          31184.2185        150        150         26          0          0        300
          31845.4159        150        150         26          0          0        300
          32590.0296        150        150         26          0          0        300
          33314.0379        150        150         26          0          0        300
          34005.8272        150        150         26          0          0        300
          34742.3481        150        150         26          0          0        300
          35597.1966        149        149         27          0          0        298
          36394.8530        149        149         27          0          0        298
          37125.4047        149        149         27          0          0        298
          37784.7402        149        149         27          0          0        298
          38511.1832        149        149         27          0          0        298
          39101.2265        149        149         27          0          0        298
          39803.1103        149        149         27          0          0        298
          40559.6810        149        149         27          0          0        298
          41245.6809        149        149         27          0          0        298
          41938.7219        149        149         27          0          0        298
          42619.9433        149        149         27          0          0        298
          43385.7169        149        149         27          0          0        298
          43950.8049        148        148         28          0          0        296
          44742.7858        148        148         28          0          0        296
          45518.8750        144        144         32          0          0        288
          46342.7736        144        144         32          0          0        288
          47036.5250        144        144         32          0          0        288
          47786.5894        142        142         34          0          0        284
          48704.1170        142        142         34          0          0        284
          49509.1620        142        142         34          0          0        284
          50321.4640        142        142         34          0          0        284
          51046.8258        142        142         34          0          0        284
          51865.3404        142        142         34          0          0        284
          52796.0257        142        142         34          0          0        284
          53654.4012        142        142         34          0          0        284
          54381.0346        142        142         34          0          0        284
          55203.1002        140        140         36          0          0        280
          55961.3069        140        140         36          0          0        280
          56811.7355        140        140         36          0          0        280
          57510.0449        140        140         36          0          0        280
          58257.3507        140        140         36          0          0        280
          59129.1834        140        140         36          0          0        280
          59935.1770        140        140         36          0          0        280
          60720.1294        140        140         36          0          0        280
          61330.6485        140        140         36          0          0        280
          62022.1507        140        140         36          0          0        280
          62739.7759        140        140         36          0          0        280
          63490.2781        140        140         36          0          0        280
          64278.3961        140        140         36          0          0        280
          64984.3493        140        140         36          0          0        280
          65686.3584        140        140         36          0          0        280
          66429.0500        140        140         36          0          0        280
          67210.9752        140        140         36          0          0        280
          67990.1696        140        140         36          0          0        280
          68826.2317        139        139         37          0          0        278
          69604.0950        139        139         37          0          0        278
          70403.4047        139        139         37          0          0        278
          71149.3721        139        139         37          0          0        278
          71934.3656        139        139         37          0          0        278
          72680.4453        139        139         37          0          0        278
          73608.4098        139        139         37          0          0        278
          74567.0506        139        139         37          0          0        278
          75382.1785        139        139         37          0          0        278
          76170.2315        139        139         37          0          0        278
          77011.7560        139        139         37          0          0        278
          77660.5208        139        139         37          0          0        278
          78343.5890        139        139         37          0          0        278
          79175.4241        139        139         37          0          0        278
          79944.2885        139        139         37          0          0        278
          80690.0733        139        139         37          0          0        278
          81539.0644        139        139         37          0          0        278
          82452.5859        139        139         37          0          0        278
          83128.0558        139        139         37          0          0        278
          83791.2822        139        139         37          0          0        278
          84593.7068        139        139         37          0          0        278
          85301.1373        139        139         37          0          0        278
          86063.9808        139        139         37          0          0        278
          86815.9642        139        139         37          0          0        278
          87507.4241        139        139         37          0          0        278
          88308.6221        139        139         37          0          0        278
          89048.1084        139        139         37          0          0        278
          89920.0603        139        139         37          0          0        278
          90701.2634        139        139         37          0          0        278
          91450.4175        139        139         37          0          0        278
          92364.1266        139        139         37          0          0        278
          93023.5031        139        139         37          0          0        278
          93738.0555        139        139         37          0          0        278
          94544.3788        139        139         37          0          0        278
          95342.6577        139        139         37          0          0        278
          96206.4995        139        139         37          0          0        278
          97075.1619        139        139         37          0          0        278
          97922.1017        139        139         37          0          0        278
          98484.2603        139        139         37          0          0        278
          99413.6231        139        139         37          0          0        278
         103292.7848        139        139         37          0          0        278
         111289.7116        139        139         37          0          0        278
         119118.8011        139        139         37          0          0        278
         126811.9872        139        138         37          1          0        277
         134782.7122        139        138         37          1          0        277
         142976.0829        139        138         37          1          0        277
         150764.0995        139        137         37          2          0        276
         158193.8600        139        137         37          2          0        276
         165781.1661        139        137         37          2          0        276
         173965.3624        138        136         38          2          0        274
         182148.1665        138        136         38          2          0        274
         190096.4772        137        135         39          2          0        272
         198279.6572        137        135         39          2          0        272
         206640.0338        135        133         41          2          0        268
         214981.3201        135        133         41          2          0        268
         223200.4165        135        133         41          2          0        268
