                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        175        175          1          0          0        350
             13.2421        174        174          2          0          0        348
             23.6755        173        173          3          0          0        346
             25.3378        172        172          4          0          0        344
             31.6569        172        172          4          0          0        344
             33.1756        172        172          4          0          0        344
             41.1302        172        172          4          0          0        344
             43.3597        172        172          4          0          0        344
             43.3667        172        172          4          0          0        344
             43.8842        172        172          4          0          0        344
             47.9268        172        172          4          0          0        344
             48.9301        172        172          4          0          0        344
             51.1754        172        172          4          0          0        344
             65.4710        172        172          4          0          0        344
             72.8300        172        172          4          0          0        344
             76.8348        172        172          4          0          0        344
            121.3184        172        172          4          0          0        344
            162.4967        172        172          4          0          0        344
            261.1420        172        172          4          0          0        344
            314.6398        172        172          4          0          0        344
            381.2227        172        172          4          0          0        344
            445.2628        172        172          4          0          0        344
            502.8325        172        172          4          0          0        344
            577.9854        172        172          4          0          0        344
            639.3107        172        172          4          0          0        344
            678.6410        172        172          4          0          0        344
            737.8749        172        172          4          0          0        344
            824.4534        172        172          4          0          0        344
            864.7757        172        172          4          0          0        344
            932.4714        172        172          4          0          0        344
           1238.8300        172        172          4          0          0        344
           1778.1201        172        172          4          0          0        344
           2512.0844        172        172          4          0          0        344
           3002.4182        172        172          4          0          0        344
           3678.7448        172        172          4          0          0        344
           4508.5134        172        172          4          0          0        344
           5023.9123        172        172          4          0          0        344
           5669.6557        172        172          4          0          0        344
           6396.4590        172        172          4          0          0        344
           6991.2457        172        172          4          0          0        344
           7627.8211        172        172          4          0          0        344
           8117.1880        172        172          4          0          0        344
           8701.0851        172        172          4          0          0        344
           9250.0720        172        172          4          0          0        344
           9901.3275        172        172          4          0          0        344
          10531.2493        172        172          4          0          0        344
          11125.3689        172        172          4          0          0        344
          11725.1085        172        172          4          0          0        344
          12455.6286        172        172          4          0          0        344
          13000.0323        172        172          4          0          0        344
          13682.0374        172        172          4          0          0        344
          14417.6151        172        172          4          0          0        344
          15018.7520        172        172          4          0          0        344
          15525.7662        172        172          4          0          0        344
          16300.9909        172        172          4          0          0        344
          16910.4636        172        172          4          0          0        344
          17483.2497        168        168          8          0          0        336
          18061.1627        168        168          8          0          0        336
          18660.4016        168        168          8          0          0        336
          19297.9142        167        167          9          0          0        334
          20073.9752        162        162         14          0          0        324
          20654.9691        162        162         14          0          0        324
          21338.2885        160        160         16          0          0        320
          22081.2759        160        160         16          0          0        320
          22872.4975        160        160         16          0          0        320
          23544.2283        160        160         16          0          0        320
          24182.2332        160        160         16          0          0        320
          24837.3037        160        160         16          0          0        320
          25437.8985        160        160         16          0          0        320
          26156.5109        160        160         16          0          0        320
          26769.9451        160        160         16          0          0        320
          27422.6441        160        160         16          0          0        320
          28131.6248        160        160         16          0          0        320
          28724.2062        160        160         16          0          0        320
          29463.7772        160        160         16          0          0        320
          30030.1042        160        160         16          0          0        320
          30766.9764        160        160         16          0          0        320
          31437.5151        160        160         16          0          0        320
          32043.0511        160        160         16          0          0        320
          32697.5965        160        160         16          0          0        320
          33453.6226        160        160         16          0          0        320
          34120.0729        160        160         16          0          0        320
          34737.5129        160        160         16          0          0        320
          35447.9131        160        160         16          0          0        320
          36229.4540        160        160         16          0          0        320
          36849.8118        160        160         16          0          0        320
          37456.2760        160        160         16          0          0        320
          38155.6705        160        160         16          0          0        320
          38722.3475        160        160         16          0          0        320
          39392.3042        160        160         16          0          0        320
          40206.2774        160        160         16          0          0        320
          40838.5367        160        160         16          0          0        320
          41414.6403        160        160         16          0          0        320
          42056.8217        160        160         16          0          0        320
          42707.8162        160        160         16          0          0        320
          43390.0337        160        160         16          0          0        320
          43990.5528        160        160         16          0          0        320
          44674.3181        160        160         16          0          0        320
          45382.6209        160        160         16          0          0        320
          46076.4098        160        160         16          0          0        320
          46699.6652        160        160         16          0          0        320
          47414.5762        160        160         16          0          0        320
          48134.8934        160        160         16          0          0        320
          48722.4750        160        160         16          0          0        320
          49477.7432        160        160         16          0          0        320
          50147.6368        160        160         16          0          0        320
          50844.6107        160        160         16          0          0        320
          51496.8267        160        160         16          0          0        320
          52210.2147        160        160         16          0          0        320
          52885.2003        160        160         16          0          0        320
          53760.0876        160        160         16          0          0        320
          54377.0977        160        160         16          0          0        320
          55056.0367        160        160         16          0          0        320
          55711.9216        160        160         16          0          0        320
          56523.5560        160        160         16          0          0        320
          57234.5482        160        160         16          0          0        320
          57845.2301        160        160         16          0          0        320
          58687.3103        160        160         16          0          0        320
          59279.2805        160        160         16          0          0        320
          59938.9511        160        160         16          0          0        320
          60569.9613        160        160         16          0          0        320
          61318.4362        160        160         16          0          0        320
          62008.5712        160        160         16          0          0        320
          62691.2288        160        160         16          0          0        320
