                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        175        175          1          0          0        350
              1.5457        175        175          1          0          0        350
              8.8013        175        175          1          0          0        350
             16.1298        175        175          1          0          0        350
             29.3819        175        175          1          0          0        350
             34.7381        175        175          1          0          0        350
             35.6142        175        175          1          0          0        350
             36.3351        175        175          1          0          0        350
             37.8764        175        175          1          0          0        350
             38.7987        175        175          1          0          0        350
             48.6557        175        175          1          0          0        350
             50.5693        175        175          1          0          0        350
             51.7366        175        175          1          0          0        350
             52.7400        175        175          1          0          0        350
             53.4314        175        175          1          0          0        350
             56.7604        175        175          1          0          0        350
             57.9121        175        175          1          0          0        350
             63.1512        175        175          1          0          0        350
             65.8949        175        175          1          0          0        350
             67.0232        175        175          1          0          0        350
             72.2626        175        175          1          0          0        350
             79.5866        175        175          1          0          0        350
             80.8964        175        175          1          0          0        350
             90.6932        175        175          1          0          0        350
             90.9364        175        175          1          0          0        350
             99.2261        175        175          1          0          0        350
            120.5115        175        175          1          0          0        350
            150.1921        175        175          1          0          0        350
            260.0170        175        175          1          0          0        350
            380.9302        175        175          1          0          0        350
            440.9501        175        175          1          0          0        350
            490.2763        175        175          1          0          0        350
            530.0993        175        175          1          0          0        350
            530.4901        175        175          1          0          0        350
            540.5035        175        175          1          0          0        350
            620.5964        175        175          1          0          0        350
            620.7778        175        175          1          0          0        350
            810.7143        175        175          1          0          0        350
            850.3165        175        175          1          0          0        350
            850.7475        175        175          1          0          0        350
            880.8473        175        175          1          0          0        350
            890.6442        175        175          1          0          0        350
            930.1501        175        175          1          0          0        350
           1100.1578        175        175          1          0          0        350
           2400.4489        175        175          1          0          0        350
           2800.0923        175        175          1          0          0        350
           3400.6475        175        175          1          0          0        350
           3600.3652        175        175          1          0          0        350
           3900.0235        175        175          1          0          0        350
           4200.7214        175        175          1          0          0        350
           4700.1458        175        175          1          0          0        350
           5200.5315        175        175          1          0          0        350
           5600.9143        175        175          1          0          0        350
           6500.5937        175        175          1          0          0        350
           6500.8132        175        175          1          0          0        350
           6600.1496        175        175          1          0          0        350
           7000.6595        175        175          1          0          0        350
           7100.9723        175        175          1          0          0        350
           7300.9821        175        175          1          0          0        350
           8000.4915        175        175          1          0          0        350
           8300.7118        175        175          1          0          0        350
           8600.3620        175        175          1          0          0        350
           9500.5823        175        175          1          0          0        350
           9500.8397        175        175          1          0          0        350
          10100.6417        175        175          1          0          0        350
          10100.7343        175        175          1          0          0        350
          10500.0254        175        175          1          0          0        350
          11300.7776        175        175          1          0          0        350
          11500.2029        175        175          1          0          0        350
          12200.5316        175        175          1          0          0        350
          12600.1597        175        175          1          0          0        350
