                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
              2.1161        176        176          0          0          0        352
              2.5050        176        176          0          0          0        352
              3.2636        176        176          0          0          0        352
              8.0965        176        176          0          0          0        352
             16.2908        176        176          0          0          0        352
             24.5894        176        176          0          0          0        352
             27.0068        176        176          0          0          0        352
             32.4321        176        176          0          0          0        352
             39.1958        176        176          0          0          0        352
             43.8316        176        176          0          0          0        352
             46.5262        176        176          0          0          0        352
             58.7728        176        176          0          0          0        352
             62.0597        176        176          0          0          0        352
             72.6705        176        176          0          0          0        352
             76.7867        176        176          0          0          0        352
             80.6984        176        176          0          0          0        352
             82.0106        176        176          0          0          0        352
             86.5886        176        176          0          0          0        352
             86.7686        176        176          0          0          0        352
             93.8000        176        176          0          0          0        352
             96.7739        176        176          0          0          0        352
            110.0097        176        176          0          0          0        352
            180.2028        176        176          0          0          0        352
            190.5525        176        176          0          0          0        352
            300.4271        176        176          0          0          0        352
            310.6247        176        176          0          0          0        352
            400.3227        176        176          0          0          0        352
            470.8455        176        176          0          0          0        352
            520.6284        176        176          0          0          0        352
            560.5150        176        176          0          0          0        352
            580.1881        176        176          0          0          0        352
            660.7227        176        176          0          0          0        352
            730.9477        176        176          0          0          0        352
            860.6944        176        176          0          0          0        352
            960.6114        176        176          0          0          0        352
            990.0607        176        176          0          0          0        352
           1600.0737        176        176          0          0          0        352
           1800.5353        176        176          0          0          0        352
           3500.1236        176        176          0          0          0        352
           3500.1474        176        176          0          0          0        352
           4000.9048        176        175          0          1          0        351
           4600.3121        176        175          0          1          0        351
           5100.1122        176        175          0          1          0        351
           5200.4552        176        175          0          1          0        351
           5600.5396        176        175          0          1          0        351
           6100.2565        176        175          0          1          0        351
           6100.3987        176        175          0          1          0        351
           6700.9465        176        175          0          1          0        351
           6900.8400        176        175          0          1          0        351
           7100.6159        176        175          0          1          0        351
           7800.1447        176        175          0          1          0        351
           7900.3190        176        175          0          1          0        351
           8200.4831        176        175          0          1          0        351
           9000.1963        176        175          0          1          0        351
           9000.4403        176        175          0          1          0        351
           9200.6834        176        175          0          1          0        351
           9400.5051        176        175          0          1          0        351
           9500.8137        176        175          0          1          0        351
           9500.9648        176        175          0          1          0        351
          11000.4613        176        175          0          1          0        351
          11000.7731        176        175          0          1          0        351
          11900.3176        176        175          0          1          0        351
          12200.7560        176        175          0          1          0        351
          13400.0557        176        175          0          1          0        351
          14000.9389        176        175          0          1          0        351
          14400.1613        176        175          0          1          0        351
          14400.6575        176        175          0          1          0        351
          14400.6812        176        175          0          1          0        351
          14500.8280        176        175          0          1          0        351
          14800.2459        176        175          0          1          0        351
          15900.1020        176        175          0          1          0        351
          16000.5492        176        175          0          1          0        351
          17300.2908        176        175          0          1          0        351
          17300.7301        176        175          0          1          0        351
          17300.8839        176        175          0          1          0        351
          17900.2722        176        175          0          1          0        351
          18100.3248        176        175          0          1          0        351
          18900.5692        176        175          0          1          0        351
          19700.5723        176        175          0          1          0        351
          19900.4296        176        175          0          1          0        351
          20100.6805        176        175          0          1          0        351
          20400.9268        176        175          0          1          0        351
          20600.5064        176        175          0          1          0        351
          20700.3332        176        175          0          1          0        351
          21700.1477        176        175          0          1          0        351
          23000.7284        176        175          0          1          0        351
          23500.1184        176        175          0          1          0        351
          23900.4047        176        175          0          1          0        351
          24200.0728        176        175          0          1          0        351
          25300.8317        176        175          0          1          0        351
          25600.9495        176        175          0          1          0        351
          25700.3265        176        175          0          1          0        351
          25900.4897        176        175          0          1          0        351
          26600.8259        176        175          0          1          0        351
          27700.5365        176        175          0          1          0        351
          29100.7062        176        175          0          1          0        351
          29400.3118        176        175          0          1          0        351
          29500.7202        176        175          0          1          0        351
          30800.0571        176        175          0          1          0        351
          31000.5776        176        175          0          1          0        351
          31700.6564        176        175          0          1          0        351
          33000.2445        176        175          0          1          0        351
          33000.3562        176        175          0          1          0        351
          33100.4338        176        175          0          1          0        351
          34600.9825        176        175          0          1          0        351
          35700.1357        176        175          0          1          0        351
          36500.1775        176        175          0          1          0        351
          36700.8406        176        175          0          1          0        351
          38700.3344        176        175          0          1          0        351
