                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        175        175          1          0          0        350
              0.8097        174        174          2          0          0        348
             12.8272        173        173          3          0          0        346
             35.6125        173        173          3          0          0        346
             50.9777        173        173          3          0          0        346
             62.6292        173        173          3          0          0        346
             66.4458        173        173          3          0          0        346
             67.2410        173        173          3          0          0        346
             70.2569        173        173          3          0          0        346
             73.0555        173        173          3          0          0        346
            160.2331        173        173          3          0          0        346
            250.3979        173        173          3          0          0        346
            330.8863        173        173          3          0          0        346
            390.4701        173        173          3          0          0        346
            590.3005        173        173          3          0          0        346
            640.1290        173        173          3          0          0        346
            670.2677        173        173          3          0          0        346
            670.3299        173        173          3          0          0        346
            780.4081        173        173          3          0          0        346
           1200.6633        173        173          3          0          0        346
           1200.6715        173        173          3          0          0        346
           1300.8772        173        173          3          0          0        346
           1700.3308        173        173          3          0          0        346
           2100.7017        173        173          3          0          0        346
           2700.5721        173        173          3          0          0        346
           3400.2770        173        173          3          0          0        346
           3900.4813        173        173          3          0          0        346
           4200.0453        173        173          3          0          0        346
           5100.6564        173        173          3          0          0        346
           6100.0627        173        173          3          0          0        346
           6300.0183        173        173          3          0          0        346
           8300.1418        173        173          3          0          0        346
           9200.2082        173        173          3          0          0        346
           9600.1172        173        173          3          0          0        346
          10500.7975        173        173          3          0          0        346
          10700.1634        173        173          3          0          0        346
          11900.8042        173        173          3          0          0        346
          12700.4521        173        173          3          0          0        346
          13000.3968        173        173          3          0          0        346
          14200.4853        173        173          3          0          0        346
          14700.8694        173        173          3          0          0        346
          15400.7132        173        173          3          0          0        346
          16700.0969        173        173          3          0          0        346
          17200.3525        173        173          3          0          0        346
          17700.2184        173        173          3          0          0        346
          19000.3278        173        173          3          0          0        346
          20300.2063        173        173          3          0          0        346
          20300.9387        173        173          3          0          0        346
          20900.5749        173        173          3          0          0        346
          22000.4633        173        173          3          0          0        346
          23200.7545        173        173          3          0          0        346
          23600.5150        173        173          3          0          0        346
          25100.6207        173        173          3          0          0        346
          25200.4077        173        173          3          0          0        346
          27700.4718        173        173          3          0          0        346
          27800.0248        173        173          3          0          0        346
          29600.7661        173        173          3          0          0        346
          29900.6139        173        173          3          0          0        346
          30200.4926        173        173          3          0          0        346
          30400.1546        173        173          3          0          0        346
          32100.1538        173        173          3          0          0        346
          33800.1286        173        173          3          0          0        346
          34300.5800        173        173          3          0          0        346
          35400.5753        173        173          3          0          0        346
          35500.6892        173        173          3          0          0        346
          36500.4325        173        173          3          0          0        346
          37100.3892        173        173          3          0          0        346
          37300.1975        173        173          3          0          0        346
          37400.5031        173        173          3          0          0        346
