                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        175        175          1          0          0        350
             18.4428        174        174          2          0          0        348
             27.5053        173        173          3          0          0        346
             28.9375        173        173          3          0          0        346
             36.1221        173        173          3          0          0        346
             46.8535        173        173          3          0          0        346
             61.4042        173        173          3          0          0        346
             63.3214        173        173          3          0          0        346
             67.0046        173        173          3          0          0        346
             68.4079        173        173          3          0          0        346
             87.8649        173        173          3          0          0        346
             90.1775        173        173          3          0          0        346
             94.0706        173        173          3          0          0        346
             97.7967        173        173          3          0          0        346
            129.0009        173        173          3          0          0        346
            201.6525        173        173          3          0          0        346
            231.7939        173        173          3          0          0        346
            292.6314        173        173          3          0          0        346
            364.2363        173        173          3          0          0        346
            432.7301        173        173          3          0          0        346
            513.5448        173        173          3          0          0        346
            566.5678        173        173          3          0          0        346
            620.1112        173        173          3          0          0        346
            668.6302        173        173          3          0          0        346
            720.6553        173        173          3          0          0        346
            806.4131        173        173          3          0          0        346
            919.2987        173        173          3          0          0        346
            991.1521        173        173          3          0          0        346
           1291.2486        173        173          3          0          0        346
           1844.5177        173        173          3          0          0        346
           2462.2683        173        173          3          0          0        346
           3146.5432        172        172          4          0          0        344
           3744.8636        172        172          4          0          0        344
           4332.7368        172        172          4          0          0        344
           4989.6024        172        172          4          0          0        344
           5554.8820        172        172          4          0          0        344
           6231.0278        172        172          4          0          0        344
           6785.7954        172        172          4          0          0        344
           7505.7182        172        172          4          0          0        344
           8180.4235        172        172          4          0          0        344
           8857.8575        172        172          4          0          0        344
           9514.3688        171        171          5          0          0        342
          10157.6379        171        171          5          0          0        342
          10862.3347        171        171          5          0          0        342
          11411.5047        171        171          5          0          0        342
          12126.5471        171        171          5          0          0        342
          12811.4890        170        170          6          0          0        340
          13367.4291        170        170          6          0          0        340
          14142.1113        165        165         11          0          0        330
          14898.6140        165        165         11          0          0        330
          15526.4371        165        165         11          0          0        330
          16233.5498        163        163         13          0          0        326
          16872.7059        163        163         13          0          0        326
          17540.0116        163        163         13          0          0        326
          18074.3120        163        163         13          0          0        326
          18680.2825        163        163         13          0          0        326
          19341.5184        163        163         13          0          0        326
          19939.3861        163        163         13          0          0        326
          20671.3756        163        163         13          0          0        326
          21268.1027        163        163         13          0          0        326
          21985.5134        163        163         13          0          0        326
          22643.8882        163        163         13          0          0        326
          23349.5393        163        163         13          0          0        326
          23968.8411        163        163         13          0          0        326
          24687.9806        163        163         13          0          0        326
          25284.1352        163        163         13          0          0        326
          25841.8810        163        163         13          0          0        326
          26492.0796        163        163         13          0          0        326
          27076.0448        163        163         13          0          0        326
          27748.6810        163        163         13          0          0        326
          28296.6519        163        163         13          0          0        326
          29025.3311        163        163         13          0          0        326
          29740.3937        163        163         13          0          0        326
          30442.1202        163        163         13          0          0        326
          31077.3540        163        163         13          0          0        326
          31763.4327        163        163         13          0          0        326
          32423.4924        163        163         13          0          0        326
          33036.7816        161        161         15          0          0        322
          33816.4895        158        158         18          0          0        316
          34555.0434        158        158         18          0          0        316
          35201.4559        158        158         18          0          0        316
          35935.8564        158        158         18          0          0        316
          36618.6796        158        158         18          0          0        316
          37240.5196        158        158         18          0          0        316
          37870.5817        158        158         18          0          0        316
          38552.0950        158        158         18          0          0        316
          39304.3270        158        158         18          0          0        316
          39957.0596        158        158         18          0          0        316
          40609.6861        158        158         18          0          0        316
          41232.8669        158        158         18          0          0        316
          41922.9832        158        158         18          0          0        316
          42614.8731        158        158         18          0          0        316
          43280.8730        158        158         18          0          0        316
          43926.6550        158        158         18          0          0        316
          44670.5188        157        157         19          0          0        314
          45325.1875        157        157         19          0          0        314
          46063.0271        157        157         19          0          0        314
          46696.8769        157        157         19          0          0        314
          47496.3410        156        156         20          0          0        312
          48243.5486        156        156         20          0          0        312
          48916.1964        156        156         20          0          0        312
          49667.9123        156        156         20          0          0        312
          50324.0039        156        156         20          0          0        312
          51011.4890        156        156         20          0          0        312
          51806.3419        156        156         20          0          0        312
          52513.3030        155        155         21          0          0        310
          53141.4109        155        155         21          0          0        310
          53837.2785        155        155         21          0          0        310
          54592.8727        155        155         21          0          0        310
          55431.4215        155        155         21          0          0        310
          56166.4865        155        155         21          0          0        310
          56895.8792        155        155         21          0          0        310
          57470.5870        155        155         21          0          0        310
          58176.2006        155        155         21          0          0        310
          58899.0500        155        155         21          0          0        310
          59493.3475        155        155         21          0          0        310
          60180.8438        155        155         21          0          0        310
          60823.5506        155        155         21          0          0        310
          61498.0606        155        155         21          0          0        310
