                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
              0.3646        176        176          0          0          0        352
              0.6265        176        176          0          0          0        352
              3.6713        176        176          0          0          0        352
             19.7290        176        176          0          0          0        352
             31.4370        176        176          0          0          0        352
             38.6558        176        176          0          0          0        352
             40.9914        176        176          0          0          0        352
             41.5186        176        176          0          0          0        352
             46.4514        176        176          0          0          0        352
             46.8035        176        176          0          0          0        352
             49.7583        176        176          0          0          0        352
             58.0698        176        176          0          0          0        352
             59.2708        176        176          0          0          0        352
             68.5526        176        176          0          0          0        352
             70.6187        176        176          0          0          0        352
             74.2336        176        176          0          0          0        352
             75.9178        176        176          0          0          0        352
             80.2145        176        176          0          0          0        352
             89.9145        176        176          0          0          0        352
            150.7692        176        176          0          0          0        352
            260.3024        176        175          0          1          0        351
            280.5809        176        175          0          1          0        351
            370.7117        176        175          0          1          0        351
            400.1237        176        175          0          1          0        351
            420.3172        176        175          0          1          0        351
            540.4435        176        175          0          1          0        351
            570.9581        176        175          0          1          0        351
            580.7573        176        175          0          1          0        351
            600.2414        176        175          0          1          0        351
            690.5439        176        175          0          1          0        351
            710.0296        176        175          0          1          0        351
            820.6677        176        175          0          1          0        351
            840.9869        176        175          0          1          0        351
            970.6657        176        175          0          1          0        351
           1100.8480        176        175          0          1          0        351
           1400.0347        176        175          0          1          0        351
           1400.1329        176        175          0          1          0        351
           1500.5880        176        175          0          1          0        351
           2200.3021        176        175          0          1          0        351
           2400.3836        176        175          0          1          0        351
           2400.8694        176        175          0          1          0        351
           2500.9052        176        175          0          1          0        351
           2600.6342        176        175          0          1          0        351
           2800.0578        176        175          0          1          0        351
           2800.9414        176        175          0          1          0        351
           3000.1052        176        175          0          1          0        351
           3100.8059        176        175          0          1          0        351
           3300.1211        176        175          0          1          0        351
           3300.2876        176        175          0          1          0        351
           3900.1912        176        175          0          1          0        351
           4100.2108        176        175          0          1          0        351
           4100.7803        176        175          0          1          0        351
           7200.8424        176        175          0          1          0        351
           7700.3330        176        175          0          1          0        351
           8100.6213        176        175          0          1          0        351
           8300.1655        176        175          0          1          0        351
           8600.0140        176        175          0          1          0        351
           8900.3292        176        175          0          1          0        351
           9400.4178        176        175          0          1          0        351
           9900.0596        176        175          0          1          0        351
           9900.2859        176        175          0          1          0        351
          10600.5396        176        175          0          1          0        351
          12000.6689        176        175          0          1          0        351
          12100.1598        176        175          0          1          0        351
          12500.1199        176        175          0          1          0        351
          12600.0332        176        175          0          1          0        351
          13000.5095        176        175          0          1          0        351
          13500.3094        176        175          0          1          0        351
          13600.0202        176        175          0          1          0        351
          14200.4422        176        175          0          1          0        351
          15200.9685        176        175          0          1          0        351
          15400.9133        176        175          0          1          0        351
          15800.9528        176        175          0          1          0        351
          16900.5625        176        175          0          1          0        351
          17000.9243        176        175          0          1          0        351
          17200.3072        176        175          0          1          0        351
          17400.7914        176        175          0          1          0        351
          17900.3959        176        175          0          1          0        351
          17900.5476        176        175          0          1          0        351
          18100.9546        176        175          0          1          0        351
          18800.1184        176        175          0          1          0        351
          18900.6796        176        175          0          1          0        351
          19300.7399        176        175          0          1          0        351
          20000.2036        176        175          0          1          0        351
          20700.9570        176        175          0          1          0        351
          21800.4306        176        175          0          1          0        351
          22100.3394        176        175          0          1          0        351
          22400.7026        176        175          0          1          0        351
          22900.6258        176        175          0          1          0        351
          23200.9316        176        175          0          1          0        351
          23900.0568        176        175          0          1          0        351
          24000.8111        176        175          0          1          0        351
          25500.8059        176        175          0          1          0        351
          25800.3898        176        175          0          1          0        351
          26300.8581        176        175          0          1          0        351
          26500.3583        176        175          0          1          0        351
          26700.0452        176        175          0          1          0        351
          27100.5577        176        175          0          1          0        351
          27300.7388        176        175          0          1          0        351
          27500.0320        176        175          0          1          0        351
          27500.3730        176        175          0          1          0        351
          27900.2160        176        175          0          1          0        351
          28200.4090        176        175          0          1          0        351
          29000.4312        176        175          0          1          0        351
          29300.2427        176        175          0          1          0        351
          29500.5472        176        175          0          1          0        351
          29900.6606        176        175          0          1          0        351
          30400.6126        176        175          0          1          0        351
          30700.5414        176        175          0          1          0        351
          31000.7586        176        175          0          1          0        351
          31200.3043        176        175          0          1          0        351
          31800.5731        176        175          0          1          0        351
          32200.1546        176        175          0          1          0        351
          33500.0972        176        175          0          1          0        351
          33700.1203        176        175          0          1          0        351
          34500.8324        176        175          0          1          0        351
          34800.2302        176        175          0          1          0        351
          35600.3490        176        175          0          1          0        351
          35700.0088        176        175          0          1          0        351
          36000.3353        176        175          0          1          0        351
          36400.8516        176        175          0          1          0        351
          36600.8135        176        175          0          1          0        351
          38100.0282        176        175          0          1          0        351
          38200.5510        176        175          0          1          0        351
          38500.1602        176        175          0          1          0        351
          38500.5814        176        175          0          1          0        351
          38600.7714        176        175          0          1          0        351
          39100.0229        176        175          0          1          0        351
          39200.4486        176        175          0          1          0        351
          39400.5505        176        175          0          1          0        351
          39500.5628        176        175          0          1          0        351
          39600.6713        176        175          0          1          0        351
          39800.8755        176        175          0          1          0        351
          40500.7660        176        175          0          1          0        351
          40800.6419        176        175          0          1          0        351
          40900.1650        176        175          0          1          0        351
          41300.4524        176        175          0          1          0        351
          41900.7461        176        175          0          1          0        351
          42000.7322        176        175          0          1          0        351
          42300.3850        176        175          0          1          0        351
          43200.1493        176        175          0          1          0        351
          43800.7082        176        175          0          1          0        351
          44900.5880        176        175          0          1          0        351
          45000.1708        176        175          0          1          0        351
          45400.2518        176        175          0          1          0        351
          46000.1988        176        175          0          1          0        351
          46500.7927        176        175          0          1          0        351
          46800.5181        176        175          0          1          0        351
          46900.2683        176        175          0          1          0        351
          47000.5787        176        175          0          1          0        351
          47200.0010        176        175          0          1          0        351
          49200.8114        176        175          0          1          0        351
          49400.7707        176        175          0          1          0        351
          50500.3012        176        175          0          1          0        351
          50500.5118        176        175          0          1          0        351
          50700.9312        176        175          0          1          0        351
          51800.9227        176        175          0          1          0        351
          52100.7087        176        175          0          1          0        351
          52100.9138        176        175          0          1          0        351
          52200.1114        176        175          0          1          0        351
          52400.0947        176        175          0          1          0        351
          52500.6898        176        175          0          1          0        351
          53500.1298        176        175          0          1          0        351
          53600.2416        176        175          0          1          0        351
          54200.2629        176        175          0          1          0        351
          54500.6652        176        175          0          1          0        351
          55000.5429        176        175          0          1          0        351
          55100.4958        176        175          0          1          0        351
          55301.0000        176        175          0          1          0        351
          55400.8911        176        175          0          1          0        351
          55500.2675        176        175          0          1          0        351
          56000.3207        176        175          0          1          0        351
          56000.9123        176        175          0          1          0        351
          56900.4442        176        175          0          1          0        351
          57100.9719        176        175          0          1          0        351
          57400.1458        176        175          0          1          0        351
          57400.4106        176        175          0          1          0        351
          58000.8880        176        175          0          1          0        351
          59800.4501        176        175          0          1          0        351
          59900.6898        176        175          0          1          0        351
          61800.0145        176        175          0          1          0        351
          62000.2269        176        175          0          1          0        351
          63800.6838        176        175          0          1          0        351
          63900.0356        176        175          0          1          0        351
          64400.4052        176        175          0          1          0        351
          64600.4515        176        175          0          1          0        351
          64600.8135        176        175          0          1          0        351
