  Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects

2391.5500         76        144         32          0         68        220
6669.6060         42        140         36          0         98        182
13879.0859         30        140         36          0        110        170
23027.8984         24        140         36          0        116        164
34615.1289         20        140         36          0        120        160
47264.7383         19        140         36          0        121        159
63373.1563         14        140         36          0        126        154
83409.2813         12        138         36          2        128        150
105636.2109          9        136         38          2        129        145
134791.3750          8        136         38          2        130        144
167831.1094          7        136         38          2        131        143
205314.9844          6        136         38          2        132        142
248578.7344          5        132         39          5        132        137
303893.7813          4        130         39          7        133        134
364941.0938          4        129         39          8        133        133
426079.8125          4        126         39         11        133        130
487218.9063          4        124         39         13        133        128
547710.0000          4        124         39         13        133        128
606975.0000          4        120         39         17        133        124
666256.1250          4        119         39         18        133        123
725581.8750          4        118         39         19        133        122
789650.4375          3        116         39         21        134        119
869677.9375          3        116         39         21        134        119
949859.4375          3        114         39         23        134        117
1035830.0000          2        110         40         26        134        112
1152440.6250          2        108         40         28        134        110
1268735.3750          2        105         40         31        134        107
1385199.3750          2        104         40         32        134        106
1501781.0000          2        101         40         35        134        103
1618579.1250          2        100         40         36        134        102
1735367.3750          2         95         40         41        134         97
1852527.7500          2         93         40         43        134         95
1969792.7500          2         93         40         43        134         95
2087040.6250          2         89         40         47        134         91
2191458.2500          2         85         40         51        134         87
2295020.7500          2         84         40         52        134         86
2398595.7500          2         82         40         54        134         84
2502644.0000          2         77         40         59        134         79
2606605.5000          2         76         40         60        134         78
2710663.7500          2         75         40         61        134         77
2814712.7500          2         74         40         62        134         76
2918943.5000          2         74         40         62        134         76
3023224.2500          2         73         40         63        134         75
3127572.2500          2         72         40         64        134         74
3231947.0000          2         70         40         66        134         72
3336466.0000          2         68         40         68        134         70
3441024.5000          2         68         40         68        134         70
3545593.2500          2         67         40         69        134         69
3650433.7500          2         62         40         74        134         64
3755061.0000          2         62         40         74        134         64
3859713.0000          2         62         40         74        134         64
3964324.5000          2         62         40         74        134         64
4069231.2500          2         61         40         75        134         63
4174171.2500          2         60         40         76        134         62
4248903.5000          2         60         40         76        134         62
4316488.5000          2         60         40         76        134         62
4383899.0000          2         59         40         77        134         61
4451472.5000          2         58         40         78        134         60
4519505.0000          2         57         40         79        134         59
4587137.5000          2         57         40         79        134         59
4654883.5000          2         57         40         79        134         59
4722852.5000          2         55         40         81        134         57
4790650.5000          2         53         40         83        134         55
4858567.0000          2         52         40         84        134         54
4926543.0000          2         51         40         85        134         53
4994329.0000          2         51         40         85        134         53
5062228.0000          2         51         40         85        134         53
5130100.5000          2         51         40         85        134         53
5198121.5000          2         51         40         85        134         53
5266030.0000          2         50         40         86        134         52
5334045.5000          2         50         40         86        134         52
5402001.0000          2         50         40         86        134         52
5469863.5000          2         50         40         86        134         52
5537695.5000          2         49         40         87        134         51
5605640.5000          2         48         40         88        134         50
5674020.5000          2         48         40         88        134         50
5742044.5000          2         48         40         88        134         50
5827116.5000          1         48         40         88        135         49
6033177.0000          1         47         40         89        135         48
6239790.0000          1         47         40         89        135         48
6445734.0000          1         47         40         89        135         48
6652158.5000          1         47         40         89        135         48
6858434.5000          1         47         40         89        135         48
7065023.5000          1         46         40         90        135         47
7271479.5000          1         46         40         90        135         47
7478045.5000          1         45         40         91        135         46
7684211.5000          1         45         40         91        135         46
7890841.5000          1         44         40         92        135         45
8098326.5000          1         44         40         92        135         45
8305294.5000          1         42         40         94        135         43
8467855.0000          1         41         40         95        135         42
8601054.0000          1         41         40         95        135         42
8734491.0000          1         41         40         95        135         42
8866499.0000          1         41         40         95        135         42
8999508.0000          1         41         40         95        135         42
9132615.0000          1         41         40         95        135         42
9265197.0000          1         41         40         95        135         42
9397831.0000          1         41         40         95        135         42
9530364.0000          1         41         40         95        135         42
