                Time  Interstls  Vacancies   Recmbtns   VcncySfc   IntlnSfc  defects
              0.0000        176        176          0          0          0        352
              2.0006        176        176          0          0          0        352
             13.2922        176        176          0          0          0        352
             15.1386        176        176          0          0          0        352
             17.2380        176        176          0          0          0        352
             18.9387        176        176          0          0          0        352
             22.6135        176        176          0          0          0        352
             25.9091        176        176          0          0          0        352
             28.6629        176        176          0          0          0        352
             34.0712        176        176          0          0          0        352
             44.1153        176        176          0          0          0        352
             45.6439        176        176          0          0          0        352
             73.6185        176        176          0          0          0        352
             74.9286        176        176          0          0          0        352
             75.0276        176        176          0          0          0        352
             79.4814        176        176          0          0          0        352
             85.0504        176        176          0          0          0        352
             89.5820        176        176          0          0          0        352
             92.2503        176        176          0          0          0        352
             92.3198        176        176          0          0          0        352
             94.7172        176        176          0          0          0        352
             99.5716        176        176          0          0          0        352
            142.2259        176        176          0          0          0        352
            165.5794        176        176          0          0          0        352
            224.4171        176        176          0          0          0        352
            285.4819        176        176          0          0          0        352
            324.5594        176        176          0          0          0        352
            411.0593        176        176          0          0          0        352
            451.4192        176        176          0          0          0        352
            491.2030        176        176          0          0          0        352
            519.9534        176        176          0          0          0        352
            556.6766        176        176          0          0          0        352
            579.9363        176        176          0          0          0        352
            631.1475        176        176          0          0          0        352
            670.5345        176        176          0          0          0        352
            713.6371        176        176          0          0          0        352
            747.1100        176        176          0          0          0        352
            778.2123        176        176          0          0          0        352
            839.7115        176        176          0          0          0        352
            865.6972        176        176          0          0          0        352
            908.3836        176        176          0          0          0        352
            945.1573        176        176          0          0          0        352
            977.5776        176        176          0          0          0        352
           1242.7909        176        176          0          0          0        352
           1668.6691        176        176          0          0          0        352
           2209.0125        176        176          0          0          0        352
           2675.6287        176        176          0          0          0        352
           3006.9326        176        176          0          0          0        352
           3511.1213        176        176          0          0          0        352
           3963.8174        176        176          0          0          0        352
           4458.4995        176        176          0          0          0        352
           5002.9307        176        176          0          0          0        352
           5428.4561        176        176          0          0          0        352
           5912.7080        176        176          0          0          0        352
           6383.3105        176        176          0          0          0        352
           6783.7114        176        176          0          0          0        352
           7179.5151        176        176          0          0          0        352
           7665.4502        176        176          0          0          0        352
           8237.0088        176        176          0          0          0        352
           8780.6592        176        176          0          0          0        352
           9161.8525        176        176          0          0          0        352
           9639.7920        176        176          0          0          0        352
          10066.0420        176        176          0          0          0        352
          10620.6738        176        176          0          0          0        352
          11052.6182        176        176          0          0          0        352
          11538.6309        176        176          0          0          0        352
          12084.7725        176        176          0          0          0        352
          12518.8057        176        176          0          0          0        352
          13063.6807        176        176          0          0          0        352
          13541.8135        176        176          0          0          0        352
          13959.4717        176        176          0          0          0        352
          14450.4746        176        176          0          0          0        352
          14899.5830        176        176          0          0          0        352
          15365.6465        176        176          0          0          0        352
          15808.3330        176        176          0          0          0        352
          16400.3457        176        176          0          0          0        352
          16841.2305        176        176          0          0          0        352
          17330.9336        176        176          0          0          0        352
          17770.0039        176        176          0          0          0        352
          18231.0840        176        176          0          0          0        352
          18693.5879        176        176          0          0          0        352
          19147.6445        176        176          0          0          0        352
          19593.9141        176        176          0          0          0        352
          20019.5234        175        175          1          0          0        350
          20405.6367        175        175          1          0          0        350
          20841.9004        175        175          1          0          0        350
          21308.5703        175        175          1          0          0        350
          21707.0176        175        175          1          0          0        350
          22238.0586        175        175          1          0          0        350
          22809.5684        175        175          1          0          0        350
          23233.1113        175        175          1          0          0        350
          23649.1582        175        175          1          0          0        350
          24168.8711        175        175          1          0          0        350
          24621.3770        175        175          1          0          0        350
          25077.1406        175        175          1          0          0        350
          25567.5371        175        175          1          0          0        350
          26052.0586        175        175          1          0          0        350
          26497.2070        175        175          1          0          0        350
          26854.5195        175        175          1          0          0        350
          27372.1465        175        175          1          0          0        350
